OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_100,Rare OTUs,D0,14,0.2857142857142857,TRUE,8.332903792103443e-6,2.9174082143070702e-5,2.9174082143070702e-5,0.2857142857142857,0
OTU_100,Rare OTUs,D1,14,0.2857142857142857,TRUE,1.0297456468640692e-5,2.94709696324331e-5,2.9174082143070702e-5,0.2857142857142857,0.003029698352547072
OTU_100,Rare OTUs,D3,20,0,FALSE,0,0,2.9174082143070702e-5,0.2857142857142857,-0.5057300457496625
OTU_100,Rare OTUs,D5,20,0,FALSE,0,0,2.9174082143070702e-5,0.2857142857142857,-0.5057300457496625
OTU_100,Rare OTUs,D6,40,0,FALSE,0,0,2.9174082143070702e-5,0.2857142857142857,-0.5057300457496625
OTU_100,Rare OTUs,D7,40,0,FALSE,0,0,2.9174082143070702e-5,0.2857142857142857,-0.5057300457496625
OTU_1000,Rare OTUs,D0,14,0.2857142857142857,TRUE,2.1857638088187957e-5,7.64993897239065e-5,7.64993897239065e-5,0.2857142857142857,0
OTU_1000,Rare OTUs,D1,14,0.6428571428571429,TRUE,3.1490060595599615e-5,3.00932891965092e-5,7.64993897239065e-5,0.2857142857142857,-0.3161862511496105
OTU_1000,Rare OTUs,D3,20,0,FALSE,0,0,7.64993897239065e-5,0.2857142857142857,-0.8312289181561807
OTU_1000,Rare OTUs,D5,20,0,FALSE,0,0,7.64993897239065e-5,0.2857142857142857,-0.8312289181561807
OTU_1000,Rare OTUs,D6,40,0,FALSE,0,0,7.64993897239065e-5,0.2857142857142857,-0.8312289181561807
OTU_1000,Rare OTUs,D7,40,0,FALSE,0,0,7.64993897239065e-5,0.2857142857142857,-0.8312289181561807
OTU_1002,Abundant OTUs,D0,14,1,TRUE,0.0016979441496907993,0.00182504220990553,0.00182504220990553,1,0
OTU_1002,Abundant OTUs,D1,14,1,TRUE,0.0022185599965089823,0.00191186200951784,0.00182504220990553,1,0.02004161401228366
OTU_1002,Abundant OTUs,D3,20,0.1,TRUE,1.9635876095838064e-4,0.0019635876095838063,0.00182504220990553,1,0.03155669295979946
OTU_1002,Abundant OTUs,D5,20,0,FALSE,0,0,0.00182504220990553,1,-2.142680012078835
OTU_1002,Abundant OTUs,D6,40,0,FALSE,0,0,0.00182504220990553,1,-2.142680012078835
OTU_1002,Abundant OTUs,D7,40,0,FALSE,0,0,0.00182504220990553,1,-2.142680012078835
OTU_1003,Rare OTUs,D0,14,1,TRUE,2.2490619954503236e-4,2.11288877651166e-4,2.11288877651166e-4,1,0
OTU_1003,Rare OTUs,D1,14,1,TRUE,0.0013915593063915177,0.0013791193800743399,2.11288877651166e-4,1,0.792486900384862
OTU_1003,Rare OTUs,D3,20,0.35,TRUE,1.7450892261206794e-5,2.98275964922747e-5,2.11288877651166e-4,1,-0.717160558985587
OTU_1003,Rare OTUs,D5,20,0,FALSE,0,0,2.11288877651166e-4,1,-1.2295319103665698
OTU_1003,Rare OTUs,D6,40,0,FALSE,0,0,2.11288877651166e-4,1,-1.2295319103665698
OTU_1003,Rare OTUs,D7,40,0,FALSE,0,0,2.11288877651166e-4,1,-1.2295319103665698
OTU_1004,Rare OTUs,D0,14,1,TRUE,7.047709490609394e-5,8.7531187175428e-5,8.7531187175428e-5,1,0
OTU_1004,Rare OTUs,D1,14,1,TRUE,0.0025335317555931717,0.00238439989162006,8.7531187175428e-5,1,1.376467331263167
OTU_1004,Rare OTUs,D3,20,0.85,TRUE,1.0524674492473426e-4,1.44784849713326e-4,8.7531187175428e-5,1,0.19539648081711247
OTU_1004,Rare OTUs,D5,20,0.15,TRUE,4.587118981969175e-6,3.11924888486852e-5,8.7531187175428e-5,1,-0.3556618773851947
OTU_1004,Rare OTUs,D6,40,0,FALSE,0,0,8.7531187175428e-5,1,-0.8815847159033887
OTU_1004,Rare OTUs,D7,40,0.1,TRUE,5.793826933100737e-6,4.253472686674045e-5,8.7531187175428e-5,1,-0.2569155563383245
OTU_1008,Rare OTUs,D0,14,1,TRUE,2.1902221023902053e-4,2.4134565542061602e-4,2.4134565542061602e-4,1,0
OTU_1008,Rare OTUs,D1,14,1,TRUE,6.67542171625342e-5,5.972094646168945e-5,2.4134565542061602e-4,1,-0.5427637858389884
OTU_1008,Rare OTUs,D3,20,0.95,TRUE,1.9777513402409613e-4,1.50952510340247e-4,2.4134565542061602e-4,1,-0.19048507965359152
OTU_1008,Rare OTUs,D5,20,0.6,TRUE,1.9626429539443906e-4,1.726199299292755e-4,2.4134565542061602e-4,1,-0.13665117828168638
OTU_1008,Rare OTUs,D6,40,0.6,TRUE,4.446074252672658e-4,2.607740742280545e-4,2.4134565542061602e-4,1,0.031939518976067394
OTU_1008,Rare OTUs,D7,40,0.075,TRUE,6.714293582699085e-5,0.00107454667562122,2.4134565542061602e-4,1,0.6307160557392137
OTU_1009,Rare OTUs,D0,14,1,TRUE,2.3457763766257343e-4,2.373136101443e-4,2.373136101443e-4,1,0
OTU_1009,Rare OTUs,D1,14,0.42857142857142855,TRUE,2.0899099857049e-5,4.329762631986945e-5,2.373136101443e-4,1,-0.6465915496145991
