OTU_group,Treatment,Occupancy_class,n,total,prop
Abundant OTUs,D0,"Lost
(0)",0,NA,0
Abundant OTUs,D0,"Transient
(0–0.25]",0,NA,0
Abundant OTUs,D0,"Intermediate
(0.25–0.50]",0,NA,0
Abundant OTUs,D0,"High
(0.50–<1.00)",0,NA,0
Abundant OTUs,D0,"Persistent
(1.00)",110,110,1
Abundant OTUs,D1,"Lost
(0)",0,NA,0
Abundant OTUs,D1,"Transient
(0–0.25]",0,NA,0
Abundant OTUs,D1,"Intermediate
(0.25–0.50]",1,110,0.00909090909090909
Abundant OTUs,D1,"High
(0.50–<1.00)",8,110,0.07272727272727272
Abundant OTUs,D1,"Persistent
(1.00)",101,110,0.9181818181818182
Abundant OTUs,D3,"Lost
(0)",44,110,0.4
Abundant OTUs,D3,"Transient
(0–0.25]",26,110,0.23636363636363636
Abundant OTUs,D3,"Intermediate
(0.25–0.50]",7,110,0.06363636363636363
Abundant OTUs,D3,"High
(0.50–<1.00)",13,110,0.11818181818181818
Abundant OTUs,D3,"Persistent
(1.00)",20,110,0.18181818181818182
Abundant OTUs,D5,"Lost
(0)",70,110,0.6363636363636364
Abundant OTUs,D5,"Transient
(0–0.25]",18,110,0.16363636363636364
Abundant OTUs,D5,"Intermediate
(0.25–0.50]",0,NA,0
Abundant OTUs,D5,"High
(0.50–<1.00)",12,110,0.10909090909090909
Abundant OTUs,D5,"Persistent
(1.00)",10,110,0.09090909090909091
Abundant OTUs,D6,"Lost
(0)",74,110,0.6727272727272727
Abundant OTUs,D6,"Transient
(0–0.25]",12,110,0.10909090909090909
Abundant OTUs,D6,"Intermediate
(0.25–0.50]",9,110,0.08181818181818182
Abundant OTUs,D6,"High
(0.50–<1.00)",11,110,0.1
Abundant OTUs,D6,"Persistent
(1.00)",4,110,0.03636363636363636
Abundant OTUs,D7,"Lost
(0)",70,110,0.6363636363636364
Abundant OTUs,D7,"Transient
(0–0.25]",24,110,0.21818181818181817
Abundant OTUs,D7,"Intermediate
(0.25–0.50]",7,110,0.06363636363636363
Abundant OTUs,D7,"High
(0.50–<1.00)",6,110,0.05454545454545454
Abundant OTUs,D7,"Persistent
(1.00)",3,110,0.02727272727272727
Rare OTUs,D0,"Lost
(0)",0,NA,0
Rare OTUs,D0,"Transient
(0–0.25]",227,2237,0.10147518998658918
Rare OTUs,D0,"Intermediate
(0.25–0.50]",448,2237,0.20026821636119804
Rare OTUs,D0,"High
(0.50–<1.00)",798,2237,0.356727760393384
Rare OTUs,D0,"Persistent
(1.00)",764,2237,0.34152883325882877
Rare OTUs,D1,"Lost
(0)",135,2237,0.06034868126955744
Rare OTUs,D1,"Transient
(0–0.25]",593,2237,0.2650871703173894
Rare OTUs,D1,"Intermediate
(0.25–0.50]",560,2237,0.25033527045149756
Rare OTUs,D1,"High
(0.50–<1.00)",676,2237,0.3021904336164506
Rare OTUs,D1,"Persistent
(1.00)",273,2237,0.12203844434510505
Rare OTUs,D3,"Lost
(0)",1596,2237,0.713455520786768
Rare OTUs,D3,"Transient
(0–0.25]",398,2237,0.1779168529280286
Rare OTUs,D3,"Intermediate
(0.25–0.50]",99,2237,0.04425569959767546
Rare OTUs,D3,"High
(0.50–<1.00)",87,2237,0.038891372373714796
Rare OTUs,D3,"Persistent
(1.00)",57,2237,0.02548055431381314
Rare OTUs,D5,"Lost
(0)",1880,2237,0.8404112650871703
Rare OTUs,D5,"Transient
(0–0.25]",215,2237,0.09611086276262852
Rare OTUs,D5,"Intermediate
(0.25–0.50]",49,2237,0.021904336164506034
Rare OTUs,D5,"High
(0.50–<1.00)",70,2237,0.031291908806437195
Rare OTUs,D5,"Persistent
(1.00)",23,2237,0.010281627179257935
Rare OTUs,D6,"Lost
(0)",1795,2237,0.8024139472507823
Rare OTUs,D6,"Transient
(0–0.25]",326,2237,0.14573088958426464
Rare OTUs,D6,"Intermediate
(0.25–0.50]",54,2237,0.024139472507822977
Rare OTUs,D6,"High
(0.50–<1.00)",56,2237,0.025033527045149755
Rare OTUs,D6,"Persistent
(1.00)",6,2237,0.002682163611980331
Rare OTUs,D7,"Lost
(0)",1748,2237,0.7814036656236031
Rare OTUs,D7,"Transient
(0–0.25]",435,2237,0.19445686186857397
Rare OTUs,D7,"Intermediate
(0.25–0.50]",27,2237,0.012069736253911488
Rare OTUs,D7,"High
(0.50–<1.00)",27,2237,0.012069736253911488
Rare OTUs,D7,"Persistent
(1.00)",0,NA,0
