OTU_group,Treatment,retained_OTUs,total_OTUs,retained_prop,mean_occupancy
Abundant OTUs,D0,110,110,1,1
Abundant OTUs,D1,110,110,1,0.9863636363636363
Abundant OTUs,D3,66,110,0.6,0.3231818181818182
Abundant OTUs,D5,40,110,0.36363636363636365,0.19454545454545455
Abundant OTUs,D6,36,110,0.32727272727272727,0.15477272727272728
Abundant OTUs,D7,40,110,0.36363636363636365,0.10954545454545454
Rare OTUs,D0,2237,2237,1,0.7057602656619196
Rare OTUs,D1,2102,2237,0.9396513187304426,0.48224663133022544
Rare OTUs,D3,641,2237,0.286544479213232,0.09074653553866786
Rare OTUs,D5,357,2237,0.15958873491282968,0.051698703620920876
Rare OTUs,D6,442,2237,0.1975860527492177,0.041517657577112205
Rare OTUs,D7,489,2237,0.21859633437639697,0.024340634778721504
