OTUID,D0,D1,D3,D5,D6,D7
OTU_10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_100,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1000,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1001,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1002,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1003,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1004,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
OTU_1005,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1006,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1007,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1008,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1009,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_101,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1010,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1011,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1012,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1016,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1017,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1018,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1019,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_102,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1021,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1023,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1024,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1025,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1026,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1027,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1028,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1029,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_103,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1030,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1031,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1032,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1033,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1034,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1035,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1036,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
OTU_1037,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1038,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1039,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_104,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1040,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1041,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1042,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1043,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1044,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1045,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1046,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1047,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1048,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1049,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_105,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1050,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1051,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1052,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1053,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1054,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1055,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
OTU_1056,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1057,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1058,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1059,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_106,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1060,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1061,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1062,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1063,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1064,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1065,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1066,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1067,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1068,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
OTU_1069,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_107,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1070,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1071,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
OTU_1072,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1073,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
OTU_1074,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
OTU_1075,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1076,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1077,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1078,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1079,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_108,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1080,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1081,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1082,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
OTU_1083,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
OTU_1084,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1085,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1086,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OTU_1087,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
OTU_1088,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_1089,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
OTU_109,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
