Analysis,n_subsample,Iteration,Cutoff_label,dominance_cutoff,OTU_group,Treatment,retained_OTUs,total_OTUs,retained_prop,mean_occupancy
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D0,732,732,1,0.9934621389539422
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D1,726,732,0.9918032786885246,0.664032006245121
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D3,220,732,0.3005464480874317,0.12684426229508197
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D5,121,732,0.16530054644808742,0.07862021857923497
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D6,135,732,0.18442622950819673,0.060109289617486336
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D7,175,732,0.2390710382513661,0.03992486338797814
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D0,1615,1615,1,0.5954002653693056
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D1,1486,1615,0.920123839009288,0.43418841220698806
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D3,487,1615,0.3015479876160991,0.09021671826625387
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D5,276,1615,0.17089783281733747,0.049226006191950465
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D6,343,1615,0.21238390092879256,0.04080495356037152
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D7,354,1615,0.21919504643962848,0.02308049535603715
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D0,110,110,1,1
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D1,110,110,1,0.9863636363636363
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D3,66,110,0.6,0.3231818181818182
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D5,40,110,0.36363636363636365,0.19454545454545455
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D6,36,110,0.32727272727272727,0.15477272727272728
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D7,40,110,0.36363636363636365,0.10954545454545454
Full data,NA,NA,0.1%,0.001,Rare OTUs,D0,2237,2237,1,0.7057602656619196
Full data,NA,NA,0.1%,0.001,Rare OTUs,D1,2102,2237,0.9396513187304426,0.48224663133022544
Full data,NA,NA,0.1%,0.001,Rare OTUs,D3,641,2237,0.286544479213232,0.09074653553866786
Full data,NA,NA,0.1%,0.001,Rare OTUs,D5,357,2237,0.15958873491282968,0.051698703620920876
Full data,NA,NA,0.1%,0.001,Rare OTUs,D6,442,2237,0.1975860527492177,0.041517657577112205
Full data,NA,NA,0.1%,0.001,Rare OTUs,D7,489,2237,0.21859633437639697,0.024340634778721504
Full data,NA,NA,1%,0.01,Abundant OTUs,D0,13,13,1,1
Full data,NA,NA,1%,0.01,Abundant OTUs,D1,13,13,1,1
Full data,NA,NA,1%,0.01,Abundant OTUs,D3,11,13,0.8461538461538461,0.6115384615384616
Full data,NA,NA,1%,0.01,Abundant OTUs,D5,10,13,0.7692307692307693,0.38846153846153847
Full data,NA,NA,1%,0.01,Abundant OTUs,D6,9,13,0.6923076923076923,0.3096153846153846
Full data,NA,NA,1%,0.01,Abundant OTUs,D7,9,13,0.6923076923076923,0.2326923076923077
Full data,NA,NA,1%,0.01,Rare OTUs,D0,2334,2334,1,0.7179887379116171
Full data,NA,NA,1%,0.01,Rare OTUs,D1,2199,2334,0.9421593830334191,0.5031215571061329
Full data,NA,NA,1%,0.01,Rare OTUs,D3,696,2334,0.2982005141388175,0.09880034275921165
Full data,NA,NA,1%,0.01,Rare OTUs,D5,387,2334,0.16580976863753213,0.056555269922879174
Full data,NA,NA,1%,0.01,Rare OTUs,D6,469,2334,0.200942587832048,0.04536203941730934
Full data,NA,NA,1%,0.01,Rare OTUs,D7,520,2334,0.22279348757497858,0.02719580119965724
