Analysis,n_subsample,Iteration,Cutoff_label,dominance_cutoff,OTU_group,Treatment,n_retained,median_log10_shift,mean_log10_shift,q25_log10_shift,q75_log10_shift,prop_increase,prop_decrease
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D1,726,-0.5442361714055914,-0.4641581855003008,-0.7405364185185918,-0.3288506745434657,0.1184573002754821,0.8815426997245179
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D3,220,-0.7535160642082912,-0.7273059332002557,-1.1421782829320892,-0.4887840535054878,0.11818181818181818,0.8818181818181818
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D5,121,-0.669183456336722,-0.6121877046809174,-1.1262278233631813,-0.22786209679959635,0.2231404958677686,0.7768595041322314
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D6,135,-0.6409526133994956,-0.5085843962700679,-0.9338433418454486,-0.14965835773645297,0.22962962962962963,0.7703703703703704
Full data,NA,NA,0.01%,1e-4,Abundant OTUs,D7,175,-0.6059630930328868,-0.5336128801815325,-0.9235021683187032,-0.30288980508238006,0.2,0.8
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D1,1486,-0.007260294857505567,0.023165754611374732,-0.22326638710405233,0.14195622044609968,0.38896366083445494,0.6110363391655451
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D3,487,-0.009212640601072408,0.03654843108517328,-0.1248786460497111,0.006560670280453262,0.3203285420944558,0.675564681724846
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D5,276,0.010328564161208753,0.128389833632548,-0.019564779494727347,0.22521464902566435,0.6195652173913043,0.3804347826086957
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D6,343,0.010436277814140027,0.15283281559159312,-0.02114924680310626,0.24722386298390586,0.6239067055393586,0.3760932944606414
Full data,NA,NA,0.01%,1e-4,Rare OTUs,D7,354,0.013773182439205556,0.22032359919518268,-0.027628197020529432,0.3568018591719533,0.5451977401129944,0.4548022598870056
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D1,110,-0.7192372134551743,-0.5703468354954223,-0.9871157305966615,-0.14603494764759647,0.17272727272727273,0.8272727272727273
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D3,66,-1.4162690208976736,-1.264638031976873,-1.8527053443387724,-0.7783879282896919,0.09090909090909091,0.9090909090909091
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D5,40,-1.4882634688598513,-1.2731066197325567,-1.8676001359166208,-0.8762884122351968,0.15,0.85
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D6,36,-1.2949243849362972,-0.9914372940480143,-1.705012964947402,-0.39616916001354036,0.19444444444444445,0.8055555555555556
Full data,NA,NA,0.1%,0.001,Abundant OTUs,D7,40,-1.510313355014517,-1.199507036861684,-1.8732488604932696,-0.6091440963926252,0.125,0.875
Full data,NA,NA,0.1%,0.001,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA
Full data,NA,NA,0.1%,0.001,Rare OTUs,D1,2102,-0.09241202930864834,-0.11408961913235921,-0.38396916476595067,0.01786454638944379,0.30685061845861084,0.6931493815413892
Full data,NA,NA,0.1%,0.001,Rare OTUs,D3,641,-0.014213644936337921,-0.09164135609220475,-0.2482720618946752,0.0012019566282583938,0.2745709828393136,0.7223088923556942
Full data,NA,NA,0.1%,0.001,Rare OTUs,D5,357,0.005326463193491726,0.034412175365530824,-0.22750598999466742,0.2252250345722837,0.5378151260504201,0.46218487394957986
Full data,NA,NA,0.1%,0.001,Rare OTUs,D6,442,0.0053397291208381326,0.04401471682621218,-0.22424907783173165,0.23694651441950598,0.5384615384615384,0.46153846153846156
Full data,NA,NA,0.1%,0.001,Rare OTUs,D7,489,-0.007858080382406207,0.06665149602820825,-0.2497180460859596,0.3037416029298896,0.4560327198364008,0.5439672801635992
Full data,NA,NA,1%,0.01,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA
Full data,NA,NA,1%,0.01,Abundant OTUs,D1,13,-0.4809624962509653,-0.5565470654074083,-0.894944766314965,-0.07684781512426886,0.15384615384615385,0.8461538461538461
Full data,NA,NA,1%,0.01,Abundant OTUs,D3,11,-2.322893521771835,-1.7181742492125738,-2.6714146668287118,-0.8804276464526952,0.09090909090909091,0.9090909090909091
Full data,NA,NA,1%,0.01,Abundant OTUs,D5,10,-2.2044203965894233,-1.9240943734843667,-2.8224871129521705,-1.3392583079856448,0.1,0.9
Full data,NA,NA,1%,0.01,Abundant OTUs,D6,9,-1.6710437486564385,-1.6916931759088674,-2.662715465221246,-1.0126531991952936,0.1111111111111111,0.8888888888888888
Full data,NA,NA,1%,0.01,Abundant OTUs,D7,9,-2.240898174312174,-1.8371958240615467,-2.5176396691940646,-1.0981901421664302,0.1111111111111111,0.8888888888888888
Full data,NA,NA,1%,0.01,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA
Full data,NA,NA,1%,0.01,Rare OTUs,D1,2199,-0.12328915231290605,-0.13429714391560674,-0.3902516702812404,0.017567433994383208,0.30104592996816737,0.6989540700318326
Full data,NA,NA,1%,0.01,Rare OTUs,D3,696,-0.016107149202758908,-0.17716710147160714,-0.3947765617115614,2.2715301609688154e-4,0.2600574712643678,0.7370689655172413
Full data,NA,NA,1%,0.01,Rare OTUs,D5,387,6.995103517803969e-4,-0.05012448178026897,-0.2504415772037807,0.21848893571851713,0.5090439276485789,0.4909560723514212
Full data,NA,NA,1%,0.01,Rare OTUs,D6,469,0.0031366525804017442,-0.0021577807363815002,-0.24371208217444185,0.23654706257766822,0.5202558635394456,0.47974413646055436
Full data,NA,NA,1%,0.01,Rare OTUs,D7,520,-0.010106771816871252,0.0022058894228469132,-0.38792400120853365,0.2869138739630296,0.43653846153846154,0.5634615384615385
