OTUID	D001	D002	D003	D004	D005	D006	D007	D008	D009	D010	D011	D012	D013	D014	D101	D102	D103	D104	D105	D106	D107	D108	D109	D110	D111	D112	D113	D114	D301	D302	D303	D304	D305	D306	D307	D308	D309	D310	D311	D312	D313	D314	D315	D316	D317	D318	D319	D320	D501	D502	D503	D504	D505	D506	D507	D508	D509	D510	D511	D512	D513	D514	D515	D516	D517	D518	D519	D520	D601	D602	D603	D604	D605	D606	D607	D608	D609	D610	D611	D612	D613	D614	D615	D616	D617	D618	D619	D620	D621	D622	D623	D624	D625	D626	D627	D628	D629	D630	D631	D632	D633	D634	D635	D636	D637	D638	D639	D640	D701	D702	D703	D704	D705	D706	D707	D708	D709	D710	D711	D712	D713	D714	D715	D716	D717	D718	D719	D720	D721	D722	D723	D724	D725	D726	D727	D728	D729	D730	D731	D732	D733	D734	D735	D736	D737	D738	D739	D740
OTU_10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000735458702395037	0	0.00148731408573928	0.0020799029378629	0.00160180351210252	0.0016405962718864	0.00213599145603418	0.00132853094000945	0.00126391814625339	0.00214341916053938	0.00107353730542136	0.00200412442998635	0.00135563888087684	0.00133912629448875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_100	0	0	0	0	0	0	0	2.91706776348415e-05	2.91774866512999e-05	2.91834471487772e-05	2.91290416545296e-05	0	0	0	0	3.00543984612148e-05	0	2.88875408036514e-05	0	0	0	0	0	2.71318881080934e-05	0	5.80905631880101e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1000	0	0	6.11882763262559e-05	0	0	0	0	0	0	0	0	6.11807892321811e-05	9.18105031215571e-05	9.18273645546373e-05	0	9.01631953836444e-05	0	2.88875408036514e-05	0	0	8.8999644001424e-05	2.95229097779877e-05	3.00932891965092e-05	0	5.65019634432297e-05	5.80905631880101e-05	2.88433804441881e-05	2.975836209975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.96665480004747e-05	0	0	0	0	0	0	2.975836209975e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1002	0.00193032725079174	0.0019555763112577	0.00110138897387261	0.00205307810754506	0.00189907759088443	0.00196025211858017	0.00208213886960983	0.00172106998045565	0.00157558427917019	0.00175100682892663	0.00203903291581707	0.00131538696849189	0.00116293303953972	0.0012243648607285	0.00207847024589902	0.00111201274306495	0.00186643336249635	0.00187769015223734	0.00121618414807784	0.006732101943258	0.00278865551204462	0.00271610769957487	0.00072223894071622	0.00132946251729658	0.00370087860553154	0.00194603386679834	0.00100951831554658	0.0019640518985835	0	0.000785660245591573	0	0	0	0	0	0.00314151497357604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1003	0.000211129543055346	0.000175126236829048	0.000336535519794407	0.000211346275776698	0.000150720443720986	0.000211104074308634	0.000211231479525634	0.000233365421078732	0.000262597379861699	0.000175100682892663	0.000174774249927177	0.000214132762312634	0.000275431509364671	0.000306091215182124	0.000447670514501327	0.00165299191536681	0.00137066200058326	0.00109772655053875	0.00103820598006645	0.00132944870308036	0.00121632846801946	0.00138757675956542	0.00159494432741499	0.00141085818162086	0.00194931773879142	0.00209126027476836	0.00161522930487453	0.00127960957028925	0.000115827879770661	0	2.84778584650434e-05	0	2.98275964922747e-05	5.9828292799665e-05	2.85526653913143e-05	0	0	0	0	5.7332874670336e-05	0	2.91706776348415e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1004	6.03227265872417e-05	8.75631184145238e-05	9.17824144893838e-05	3.01923251109568e-05	3.01440887441973e-05	3.01577249012335e-05	6.03518512930384e-05	8.75120329045244e-05	2.91774866512999e-05	8.75503414463316e-05	0.000116516166618118	9.17711838482716e-05	9.18105031215571e-05	9.18273645546373e-05	0.00345345825472452	0.00438794217533736	0.00285797608632254	0.00187769015223734	0.0019874228761272	0.00175374084236133	0.00367865195205886	0.00363131790269249	0.00334035510081252	0.000488373985945682	0.00211882362912111	0.00212030555636237	0.00112489183732333	0.00264849422687775	0.000144784849713326	0.000174591165687016	0	0.000150952510340247	0.000178965578953648	2.99141463998325e-05	2.85526653913143e-05	0.000205519671168526	0.000145959831854274	0.000118726069276661	5.85960389077698e-05	0.000171998624011008	8.61796558559076e-05	0.000233365421078732	0	2.91366801666618e-05	0.000202288752745347	5.89379383509165e-05	8.64652985934978e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11924888486852e-05	0	0	0	2.87331551877712e-05	3.18167356029271e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118722545411374	0	0	0	0	0	0	0	0	0	0	0	0	0	2.79610781791746e-05	0	5.59675388274801e-05	2.91019149060008e-05	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19764653215234e-05	0	0	2.88875408036514e-05	0	0	0	0	3.00932891965092e-05	2.71318881080934e-05	2.82509817216148e-05	0	2.88433804441881e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88217661978326e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.11924888486852e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.00543984612148e-05	0	0	0	0	0	2.95229097779877e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93599530240752e-05	0	2.96815173191654e-05	0	2.8666437335168e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.91630212890055e-05	0	0	0	2.96665480004747e-05	2.95229097779877e-05	0	0	0	0	5.76867608883761e-05	2.975836209975e-05	0	0	0	0	0	0	0	2.93599530240752e-05	5.83839327417095e-05	2.96815173191654e-05	0	0	0	0	0	0	0	5.89379383509165e-05	0	0	0	0	0	0	0	0	0	0	0	2.97548202808855e-05	0	0	0	0	3.11924888486852e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
