Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
0.01%,1e-4,8,"Mean abundant decrease proportion, D1-D7",0.7638735504562694,0.013748591609211805,0.7637563623550687,0.7373445133022644,0.790447893758743,1000
0.01%,1e-4,8,"Mean abundant median log10 shift vs D0, D1-D7",-0.5606794782371598,0.026651907886594325,-0.5627070847831687,-0.608776132376292,-0.504551643892056,1000
0.01%,1e-4,8,"Mean rare decrease proportion, D1-D7",0.448017051879279,0.02377628731574557,0.44784025990881937,0.40230232484270595,0.49496841870089053,1000
0.01%,1e-4,8,"Mean rare median log10 shift vs D0, D1-D7",0.03898094167719142,0.017138997595107234,0.03843348279585321,0.005899959639394116,0.07262517436831688,1000
0.01%,1e-4,8,"Mean rare transient/lost proportion, D1-D7",0.8450774512477192,0.0032175557336561935,0.845106642233725,0.8389175600743772,0.8512506417237089,1000
0.01%,1e-4,8,"Mean rare transient/lost proportion, D3-D7",0.9424251456901537,0.002874424873783906,0.9425188284782307,0.9367861651533507,0.9478644887713458,1000
0.01%,1e-4,8,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.07401950229117413,0.004007408513109488,0.07397973084387673,0.0658340403961984,0.08198122657501326,1000
0.01%,1e-4,8,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.026389565689894433,0.0032159141405396084,0.02646895710333859,0.01993943291664221,0.032323386682932144,1000
0.01%,1e-4,8,"Mean retention gap: abundant minus rare, D1-D7",0.02788369388623031,0.004506620740355343,0.0277464169310795,0.019337575002430423,0.0370334891340803,1000
0.01%,1e-4,8,"Mean retention gap: abundant minus rare, D3-D7",0.0058792262294413925,0.005351735948053921,0.0055838498073603,-0.004191752920378971,0.01716647099740462,1000
0.01%,1e-4,8,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.01%,1e-4,8,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.01%,1e-4,8,Retention gap > 0 in all diluted treatments,0.188,0.39090767299812473,0,0,1,1000
0.01%,1e-4,8,Retention gap > 0 in all stronger dilution treatments,0.188,0.39090767299812473,0,0,1,1000
0.01%,1e-4,8,Spearman rho: abundant retained proportion vs dilution rank,-0.9479331106690221,0.0655467908155744,-0.9428571428571428,-1,-0.8116794499134278,1000
0.01%,1e-4,8,Spearman rho: rare retained proportion vs dilution rank,-0.9734340121670612,0.03724904562157744,-1,-1,-0.898645105261295,1000
0.01%,1e-4,10,"Mean abundant decrease proportion, D1-D7",0.7747835853798551,0.012049130750852061,0.7752767645647747,0.7497281941795741,0.7963459764190101,1000
0.01%,1e-4,10,"Mean abundant median log10 shift vs D0, D1-D7",-0.5774888842360176,0.021336170972863503,-0.5782500453337787,-0.6152944658959392,-0.5310659150935022,1000
0.01%,1e-4,10,"Mean rare decrease proportion, D1-D7",0.45796045403469954,0.019829658048753897,0.4574181431384387,0.4209418029760508,0.4984045261042961,1000
0.01%,1e-4,10,"Mean rare median log10 shift vs D0, D1-D7",0.029802231821526443,0.01318598077092199,0.030269567943033725,0.0053200019715305144,0.05574333311611416,1000
0.01%,1e-4,10,"Mean rare transient/lost proportion, D1-D7",0.82376997446983935,0.0026783524849003505,0.8237916357961441,0.818543294311749,0.828787725950971,1000
0.01%,1e-4,10,"Mean rare transient/lost proportion, D3-D7",0.9324718699238237,0.0028233418447694315,0.9324681456160653,0.9267626440852024,0.9380455163043477,1000
0.01%,1e-4,10,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.0694862982313869,0.003234411713964857,0.06945599886879797,0.06295497590486056,0.07556140063721918,1000
0.01%,1e-4,10,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.0237847647435123,0.002990213942231981,0.02376763263272956,0.017661785183643787,0.029814058473120963,1000
0.01%,1e-4,10,"Mean retention gap: abundant minus rare, D1-D7",0.022018961579963643,0.004308320926896343,0.021965631407877217,0.01365615913535119,0.030606976619927714,1000
0.01%,1e-4,10,"Mean retention gap: abundant minus rare, D3-D7",0.0034448271983790117,0.005160801382362393,0.003304896088803147,-0.006436475593425241,0.013934487722105772,1000
0.01%,1e-4,10,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.01%,1e-4,10,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.01%,1e-4,10,Retention gap > 0 in all diluted treatments,0.067,0.25014710386805117,0,0,1,1000
0.01%,1e-4,10,Retention gap > 0 in all stronger dilution treatments,0.067,0.25014710386805117,0,0,1,1000
0.01%,1e-4,10,Spearman rho: abundant retained proportion vs dilution rank,-0.9284330696763775,0.07483130154235842,-0.9428571428571428,-1,-0.7714285714285715,1000
0.01%,1e-4,10,Spearman rho: rare retained proportion vs dilution rank,-0.9703166025628776,0.040344201316526496,-1,-1,-0.8285714285714285,1000
