Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,Occupancy_class,prop_Mean,prop_Median,prop_Q2.5,prop_Q97.5,n_Median,N_iterations
0.01%,1e-4,8,Abundant OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,8,Abundant OTUs,D0,Transient (0-0.25],0,0,0,0,0,1000
0.01%,1e-4,8,Abundant OTUs,D0,Intermediate (0.25-0.50],5.640137664434747e-4,0,0,0.0013909175730277795,0,1000
0.01%,1e-4,8,Abundant OTUs,D0,High (0.50-<1.00),0.034551394279400745,0.03429355281207133,0.024467010105012878,0.04502663949382154,25,1000
0.01%,1e-4,8,Abundant OTUs,D0,Persistent (1.00),0.9648845919541558,0.9655647382920111,0.953360768175583,0.9752755731922398,706,1000
0.01%,1e-4,8,Abundant OTUs,D1,Lost (0),0.031290738813829225,0.03116531165311653,0.022008253094910592,0.04133655349564439,23,1000
0.01%,1e-4,8,Abundant OTUs,D1,Transient (0-0.25],0.15985668596785915,0.15962485244580082,0.13835616438356163,0.18069589445608686,117,1000
0.01%,1e-4,8,Abundant OTUs,D1,Intermediate (0.25-0.50],0.1946521074862076,0.19476888503181455,0.17330310594868137,0.21544978870661832,143,1000
0.01%,1e-4,8,Abundant OTUs,D1,High (0.50-<1.00),0.2703320611377791,0.27071823204419887,0.24390160829401208,0.2944408485826396,198,1000
0.01%,1e-4,8,Abundant OTUs,D1,Persistent (1.00),0.34386840659432494,0.3434065934065934,0.32697547683923706,0.3628952606103646,251,1000
0.01%,1e-4,8,Abundant OTUs,D3,Lost (0),0.7686251766141851,0.7676630434782609,0.7456009618499507,0.7932468729059639,562,1000
0.01%,1e-4,8,Abundant OTUs,D3,Transient (0-0.25],0.09194824465086518,0.09216916539232939,0.07387140902872777,0.11004533587850544,67,1000
0.01%,1e-4,8,Abundant OTUs,D3,Intermediate (0.25-0.50],0.03320268355489938,0.033012379642365884,0.023670357666306006,0.04258388190214187,24,1000
0.01%,1e-4,8,Abundant OTUs,D3,High (0.50-<1.00),0.037022384156476365,0.036635006784260515,0.02758525695829771,0.04909234022060502,27,1000
0.01%,1e-4,8,Abundant OTUs,D3,Persistent (1.00),0.06920151102357405,0.06891891891891892,0.06301369863013699,0.07629427792915532,50,1000
0.01%,1e-4,8,Abundant OTUs,D5,Lost (0),0.8711892091902004,0.871191135734072,0.8569462584233464,0.885873436670403,638,1000
0.01%,1e-4,8,Abundant OTUs,D5,Transient (0-0.25],0.043829422904450625,0.0438957475994513,0.02872581057550721,0.057379011459711596,32,1000
0.01%,1e-4,8,Abundant OTUs,D5,Intermediate (0.25-0.50],0.012816560080763961,0.012448132780082987,0.006830601092896175,0.018921489424206815,9,1000
0.01%,1e-4,8,Abundant OTUs,D5,High (0.50-<1.00),0.0308977910214016,0.03112313937753721,0.02435723951285521,0.03819918144611187,23,1000
0.01%,1e-4,8,Abundant OTUs,D5,Persistent (1.00),0.04126701680318345,0.0411522633744856,0.03503925224829768,0.047879616963064295,30,1000
0.01%,1e-4,8,Abundant OTUs,D6,Lost (0),0.8842612377544061,0.8844288927289237,0.8671209178268062,0.9009662620735523,647,1000
0.01%,1e-4,8,Abundant OTUs,D6,Transient (0-0.25],0.04610609457669338,0.045423283731399276,0.029629509641302097,0.06602931271640657,33,1000
0.01%,1e-4,8,Abundant OTUs,D6,Intermediate (0.25-0.50],0.02050561406034563,0.020435967302452316,0.012194709396349715,0.030220819414423263,15,1000
0.01%,1e-4,8,Abundant OTUs,D6,High (0.50-<1.00),0.02535554838737694,0.024861878453038673,0.017759562841530054,0.0333355614973262,18,1000
0.01%,1e-4,8,Abundant OTUs,D6,Persistent (1.00),0.023771505221177883,0.024623803009575923,0.013774104683195593,0.031207598371777476,18,1000
0.01%,1e-4,8,Abundant OTUs,D7,Lost (0),0.8877129019659165,0.8878248974008208,0.8532226440044229,0.9179206566347469,650,1000
0.01%,1e-4,8,Abundant OTUs,D7,Transient (0-0.25],0.07047003234431962,0.06986301369863014,0.039670327719345456,0.10489703666499246,51,1000
0.01%,1e-4,8,Abundant OTUs,D7,Intermediate (0.25-0.50],0.015846026843948865,0.016183419361175073,0.009484773974938666,0.023257409002456375,12,1000
0.01%,1e-4,8,Abundant OTUs,D7,High (0.50-<1.00),0.01766282652516338,0.017711171662125342,0.01092896174863388,0.024726977567886655,13,1000
0.01%,1e-4,8,Abundant OTUs,D7,Persistent (1.00),0.008308212320651697,0.008174386920980926,0.004098360655737705,0.015006821282401092,6,1000
0.01%,1e-4,8,Rare OTUs,D0,Lost (0),0,0,0,0,0,1000
0.01%,1e-4,8,Rare OTUs,D0,Transient (0-0.25],0.21150983347073982,0.21327934098046264,0.1309090915532244,0.24890836487746024,341,1000
0.01%,1e-4,8,Rare OTUs,D0,Intermediate (0.25-0.50],0.23920452690177416,0.23043206011271133,0.18073047858942065,0.2979553398807793,368,1000
0.01%,1e-4,8,Rare OTUs,D0,High (0.50-<1.00),0.36967496386192156,0.3698630136986301,0.3388697883086734,0.4040195275139523,589,1000
0.01%,1e-4,8,Rare OTUs,D0,Persistent (1.00),0.1796106757655645,0.17781961922614992,0.16363636363636364,0.22697346610349692,283,1000
0.01%,1e-4,8,Rare OTUs,D1,Lost (0),0.1471923033272152,0.14708663473198358,0.1306769504511512,0.16384569865036536,233,1000
0.01%,1e-4,8,Rare OTUs,D1,Transient (0-0.25],0.30849437015076603,0.3084702907711757,0.28886091881686593,0.3285617989646247,489,1000
