Cutoff_label,dominance_cutoff,n_subsample,OTU_group,Treatment,n_retained_Median,median_log10_shift_Mean,median_log10_shift_Median,median_log10_shift_Q2.5,median_log10_shift_Q97.5,prop_decrease_Median,prop_increase_Median,N_iterations
0.01%,1e-4,8,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,8,Abundant OTUs,D1,709,-0.5420211382622738,-0.5411785084140827,-0.568464228440781,-0.5254391312635192,0.8753561369189184,0.12464386308108152,1000
0.01%,1e-4,8,Abundant OTUs,D3,170,-0.70029815553532615,-0.7034210054521672,-0.7461644633443315,-0.6503226542200345,0.8520710059171598,0.14792899408284024,1000
0.01%,1e-4,8,Abundant OTUs,D5,94,-0.5982043194369725,-0.6004851252690709,-0.6848346911533019,-0.5002239375973706,0.7252747252747253,0.27472527472527475,1000
0.01%,1e-4,8,Abundant OTUs,D6,85,-0.4751606896177474,-0.48374799609642505,-0.6102088182119302,-0.33078769074749376,0.6794871794871795,0.32051282051282054,1000
0.01%,1e-4,8,Abundant OTUs,D7,82,-0.487713088333479,-0.49619496853599143,-0.6361620336021581,-0.27582485494711484,0.6904761904761905,0.30952380952380953,1000
0.01%,1e-4,8,Rare OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,8,Rare OTUs,D1,1357,-0.006039748302840675,-0.005508419245686458,-0.011278994987882207,-0.0010708695685642375,0.5774551933759564,0.4225448066240436,1000
0.01%,1e-4,8,Rare OTUs,D3,353,-0.00627064200605586,-0.00651010354550241,-0.010912350672530014,-0.001724881018884628,0.5910346559517831,0.40847419596110696,1000
0.01%,1e-4,8,Rare OTUs,D5,200.5,0.03786757913546981,0.026884203187460765,0.0016010267265546662,0.09798143286706423,0.3333333333333333,0.6666666666666666,1000
0.01%,1e-4,8,Rare OTUs,D6,194,0.060734952084497765,0.03306096938760206,0.009005324127841286,0.15884185014856889,0.32019704433497537,0.6798029556650246,1000
0.01%,1e-4,8,Rare OTUs,D7,148,0.10861256747488605,0.11409034708697996,2.757221859112314e-4,0.21650163186057236,0.4064516129032258,0.5935483870967742,1000
0.01%,1e-4,10,Abundant OTUs,D0,0,NA,NA,NA,NA,NA,NA,1000
0.01%,1e-4,10,Abundant OTUs,D1,714,-0.543802635702932,-0.5430183599296475,-0.5604726972631465,-0.5318326108033974,0.8776077885952712,0.12239221140472879,1000
0.01%,1e-4,10,Abundant OTUs,D3,181,-0.7167803632698634,-0.7198823238567156,-0.7523183453421578,-0.6665315143583099,0.8610368389780154,0.13896316102198455,1000
0.01%,1e-4,10,Abundant OTUs,D5,100,-0.6157403367599592,-0.6177771424909793,-0.6906553480408011,-0.5286464708335507,0.7368421052631579,0.2631578947368421,1000
0.01%,1e-4,10,Abundant OTUs,D6,90,-0.5024617227335,-0.49926103941818645,-0.6228250924035506,-0.3783418620739713,0.6963538224278476,0.30364617757215245,1000
