Group	Simulation_Strategy	permanova_R2	permanova_F	permanova_p	anosim_R	anosim_p	mrpp_delta	mrpp_E_delta	mrpp_A	mrpp_p	betadisper_F	betadisper_p	Rank_by_PERMANOVA_R2	Closest_strategy
D1	Random_select	0.119883220722076	15.255839948749	0.001	0.999560177969224	0.001	0.512470757656806	0.542175831427473	0.054788635067811	0.001	59.0578166028032	0.001	4	FALSE
D1	Observed_probability	0.0858852276314788	10.522907828961	0.001	0.999982146399524	0.001	0.583530012155875	0.609310086524664	0.0423102701546129	0.001	360.589298807432	0.001	1	TRUE
D1	Brokenstick	0.141245300214413	18.4214114088274	0.001	0.99954402471165	0.001	0.474953376595011	0.506818437310243	0.062872733842014	0.001	2.7692993826523	0.121	5	FALSE
D1	Preemption	0.402359452355263	75.4036165072548	0.001	0.99999773287613	0.001	0.335872422872395	0.404749948535409	0.170173031305495	0.001	372.953227682969	0.001	7	FALSE
D1	Lognormal	0.223044555086138	32.1524101969799	0.001	0.999996599314195	0.001	0.454100782400441	0.503379364284183	0.097895514556535	0.001	2.41747412901774	0.135	6	FALSE
D1	Zipf	0.0949907629615264	11.7556429440495	0.001	0.999998583047581	0.001	0.563977407780176	0.591049239299805	0.0458030054343691	0.001	246.899450803552	0.001	2	FALSE
D1	Mandelbrot	0.0982999436484516	12.2098181219745	0.001	0.999999716609516	0.001	0.563367050222861	0.591373437996542	0.0473582105218666	0.001	241.013926508241	0.001	3	FALSE
D3	Random_select	0.17461931439396	24.9643339828796	0.001	1	0.001	0.713649208471551	0.781607444460085	0.086946761408444	0.001	2839.42198568088	0.001	1	TRUE
D3	Observed_probability	0.245039501417143	38.2995682840344	0.001	1	0.001	0.631036696336249	0.713885103776111	0.116052859208902	0.001	229.456089766514	0.001	4	FALSE
D3	Brokenstick	0.262103387252458	41.9140014488338	0.001	1	0.001	0.614421601733118	0.700686330125389	0.123114615889301	0.001	174.191484005154	0.001	5	FALSE
D3	Preemption	0.380991099993711	72.6273076183574	0.001	1	0.001	0.499234736161853	0.604069115000411	0.173546993605999	0.001	367.399450992713	0.001	7	FALSE
D3	Lognormal	0.289206206965265	48.0115791053814	0.001	1	0.001	0.585629954383497	0.676523424393685	0.134353766230118	0.001	8.59886567021624	0.008	6	FALSE
D3	Zipf	0.234796771615519	36.2073995807949	0.001	1	0.001	0.643025230520953	0.724023383281276	0.11187228842422	0.001	391.425739529679	0.001	2	FALSE
D3	Mandelbrot	0.241813743058378	37.634580447276	0.001	1	0.001	0.635051333801977	0.717368449655059	0.114748726254498	0.001	288.587060829379	0.001	3	FALSE
D5	Random_select	0.127534380273648	17.2488823995272	0.001	1	0.001	0.809689879071556	0.867721076988558	0.066877709273123	0.001	2549.5532946207	0.001	1	TRUE
D5	Observed_probability	0.282258473913831	46.4045881578732	0.001	1	0.001	0.613588316761053	0.706269462233219	0.131226324268798	0.001	2.2637207408993	0.111	6	FALSE
D5	Brokenstick	0.214871299231422	32.293830660486	0.001	1	0.001	0.689319061757141	0.768652158023865	0.103210659644387	0.001	377.526756374891	0.001	2	FALSE
D5	Preemption	0.28671886839505	47.4326671090947	0.001	1	0.001	0.601023527989474	0.692847553433332	0.132531355546878	0.001	0.163393504258339	0.684	7	FALSE
D5	Lognormal	0.281322343890813	46.1904392002865	0.001	1	0.001	0.613593295903769	0.7058952922064	0.130758764538753	0.001	2.72365308223276	0.095	5	FALSE
D5	Zipf	0.262521273837346	42.0046154741209	0.001	1	0.001	0.633854789922099	0.722722399071123	0.122962300965407	0.001	21.3819644860603	0.001	3	FALSE
D5	Mandelbrot	0.272832222959357	44.2734171200832	0.001	1	0.001	0.622506007593434	0.713270552876486	0.127251216129722	0.001	7.6486698340151	0.005	4	FALSE
D6	Random_select	0.126575472844846	19.9987688798736	0.001	0.999773909249564	0.001	0.8500161898602	0.909946310920316	0.065861161632165	0.001	2159.7774240988	0.001	1	TRUE
D6	Observed_probability	0.359306940498005	77.3917510941449	0.001	1	0.001	0.613584557228961	0.745881795608942	0.177370247080467	0.001	197.870025994526	0.001	7	FALSE
D6	Brokenstick	0.220725263903875	39.0877376204036	0.001	1	0.001	0.742905216591228	0.833452409998335	0.108641108143521	0.001	124.384565798759	0.001	2	FALSE
D6	Preemption	0.265722730778315	49.9399046987747	0.001	1	0.001	0.693460616232805	0.796848782632939	0.129746281419318	0.001	9.36422151607718	0.001	3	FALSE
D6	Lognormal	0.339248152728533	70.8529915880859	0.001	1	0.001	0.631553545058916	0.757907311826722	0.166714009478634	0.001	155.149365306063	0.001	4	FALSE
D6	Zipf	0.350397235123422	74.4375194527064	0.001	1	0.001	0.620215827885016	0.749527359016632	0.172524097454255	0.001	186.843783216223	0.001	5	FALSE
D6	Mandelbrot	0.358564092272122	77.1423054702835	0.001	1	0.001	0.613912305442685	0.745869385139776	0.176917141695475	0.001	202.086222826745	0.001	6	FALSE
D7	Random_select	0.0966116392527187	14.7582222620697	0.001	0.993468237347295	0.001	0.896564669751296	0.942531919693816	0.0487699662813043	0.001	574.961234355989	0.001	1	TRUE
D7	Observed_probability	0.306657480715322	61.0358245191347	0.001	0.999782853403141	0.001	0.647186744053603	0.762412974496036	0.151133616946378	0.001	224.585192976675	0.001	5	FALSE
D7	Brokenstick	0.167974918891768	27.8603846607463	0.001	0.999939659685864	0.001	0.792570583050872	0.86264758946485	0.081234802333883	0.001	4.76210611037193	0.026	2	FALSE
D7	Preemption	0.182361018200699	30.7786456760126	0.001	0.999789703315881	0.001	0.772674618971225	0.847276059371052	0.0880485640715553	0.001	2.44566056555666	0.115	3	FALSE
D7	Lognormal	0.291178947583224	56.689477025942	0.001	0.999781544502618	0.001	0.6617673342323	0.771957511349761	0.142741246114432	0.001	194.122439541583	0.001	4	FALSE
D7	Zipf	0.307751833235615	61.3504737542625	0.001	0.999784991273997	0.001	0.644896031311058	0.760244646257199	0.15172565241205	0.001	232.142930556187	0.001	6	FALSE
D7	Mandelbrot	0.320428785549308	65.0692252195342	0.001	0.999800043630017	0.001	0.632959365281747	0.752415522977333	0.158763547597867	0.001	240.577936573259	0.001	7	FALSE
