ztOrder	ztDiversity	Group
1	1	D0
2	0.830800464603281	D0
3	0.743340848974652	D0
4	0.688591210929239	D0
5	0.653482552975511	D0
6	0.625962187539652	D0
7	0.603995516643404	D0
8	0.585764073933088	D0
9	0.570863426807089	D0
10	0.557684726980502	D0
11	0.546156123620912	D0
12	0.535692789213916	D0
13	0.526202258596625	D0
14	0.517531616123165	D0
1	1	D1
2	0.686104834202844	D1
3	0.542404709590306	D1
4	0.457567077297956	D1
5	0.407862370831641	D1
6	0.368822706556563	D1
7	0.341431072605027	D1
8	0.32084707368801	D1
9	0.30374712332476	D1
10	0.290553224132485	D1
11	0.279060928241922	D1
12	0.269600441524091	D1
13	0.261540544199269	D1
14	0.254591399305086	D1
1	1	D3
2	0.586911492264887	D3
3	0.458727107416548	D3
4	0.401683335498117	D3
5	0.364475905961813	D3
6	0.338664761657358	D3
7	0.319963631640473	D3
8	0.306959345369529	D3
9	0.295609819457072	D3
10	0.284787634757761	D3
11	0.276698272502922	D3
12	0.269663592674373	D3
13	0.263454994155085	D3
14	0.257145083777114	D3
15	0.252625016235875	D3
16	0.24760618262112	D3
17	0.244013508247824	D3
18	0.240304619191829	D3
19	0.236913884920119	D3
20	0.233796596960644	D3
1	1	D5
2	0.556505320622672	D5
3	0.408906219535972	D5
4	0.336459348800936	D5
5	0.289378046402808	D5
6	0.26130239812829	D5
7	0.23587054006629	D5
8	0.219641255605381	D5
9	0.202866055761357	D5
10	0.191390134529148	D5
11	0.180928056151297	D5
12	0.172111522713979	D5
13	0.164889842074478	D5
14	0.156634821602652	D5
15	0.151327744199649	D5
16	0.145193994930786	D5
17	0.140343146812244	D5
18	0.136068383084832	D5
19	0.132189510625853	D5
20	0.128680054591538	D5
1	1	D6
2	0.450876950697417	D6
3	0.296234590065829	D6
4	0.224411729503291	D6
5	0.188146020347098	D6
6	0.16223578695392	D6
7	0.144593656493118	D6
8	0.134185517654099	D6
9	0.122834230999402	D6
10	0.115317773788151	D6
11	0.108974266906044	D6
12	0.102989826451227	D6
13	0.0988007181328546	D6
14	0.0929455415918612	D6
15	0.0901208856971873	D6
16	0.0867169359664871	D6
17	0.0828007181328546	D6
18	0.0802968282465589	D6
19	0.0771944943147816	D6
20	0.0766104129263914	D6
21	0.0744991023339318	D6
22	0.0717223219628965	D6
23	0.069802513464991	D6
24	0.067312986235787	D6
25	0.0664751645721125	D6
26	0.0641867145421903	D6
27	0.0624536205864752	D6
28	0.0610939557151406	D6
29	0.0600263315380012	D6
30	0.0592076600837822	D6
31	0.0572639138240574	D6
32	0.056392579293836	D6
33	0.054884500299222	D6
34	0.0541184919210054	D6
35	0.0528689407540395	D6
36	0.0516002393776182	D6
37	0.0505709156193896	D6
38	0.0498150961346653	D6
39	0.0488330341113106	D6
40	0.0478755236385398	D6
1	1	D7
2	0.348121076468428	D7
3	0.214776085473971	D7
4	0.155107979086156	D7
5	0.117599454421459	D7
6	0.100304614685156	D7
7	0.0853739486246874	D7
8	0.075580813821323	D7
9	0.0680063650829734	D7
10	0.0611320754716981	D7
11	0.0561036599227097	D7
12	0.0525210275062514	D7
13	0.0500113662195954	D7
14	0.0471379859058877	D7
15	0.0460922937031143	D7
16	0.0440463741759491	D7
17	0.0422732439190725	D7
18	0.0406637872243692	D7
19	0.0395271652648329	D7
20	0.038590588770175	D7
21	0.037617640372812	D7
22	0.0368265514889748	D7
23	0.036490111388952	D7
24	0.0358445101159354	D7
25	0.0351079790861559	D7
26	0.0344169129347579	D7
27	0.0335712661968629	D7
28	0.0332075471698113	D7
29	0.0320800181859514	D7
30	0.0319799954535122	D7
31	0.0316162764264606	D7
32	0.0308251875426233	D7
33	0.0305614912480109	D7
34	0.0300704705614913	D7
35	0.0294248692884747	D7
36	0.0288974766992498	D7
37	0.0286246874289611	D7
38	0.0281882245964992	D7
39	0.0277335758126847	D7
40	0.0272789270288702	D7
