SampleID	Group	Measure	Value
D001	D0	Observed	1759
D002	D0	Observed	1655
D003	D0	Observed	1674
D004	D0	Observed	1718
D005	D0	Observed	1727
D006	D0	Observed	1740
D007	D0	Observed	1723
D008	D0	Observed	1668
D009	D0	Observed	1663
D010	D0	Observed	1666
D011	D0	Observed	1653
D012	D0	Observed	1677
D013	D0	Observed	1667
D014	D0	Observed	1653
D101	D1	Observed	1815
D102	D1	Observed	1660
D103	D1	Observed	1656
D104	D1	Observed	1557
D105	D1	Observed	1693
D106	D1	Observed	1480
D107	D1	Observed	1668
D108	D1	Observed	1652
D109	D1	Observed	1634
D110	D1	Observed	1146
D111	D1	Observed	1505
D112	D1	Observed	1528
D113	D1	Observed	1448
D114	D1	Observed	1719
D301	D3	Observed	581
D302	D3	Observed	404
D303	D3	Observed	290
D304	D3	Observed	467
D305	D3	Observed	376
D306	D3	Observed	440
D307	D3	Observed	385
D308	D3	Observed	483
D309	D3	Observed	435
D310	D3	Observed	388
D311	D3	Observed	327
D312	D3	Observed	460
D313	D3	Observed	326
D314	D3	Observed	374
D315	D3	Observed	277
D316	D3	Observed	333
D317	D3	Observed	390
D318	D3	Observed	302
D319	D3	Observed	366
D320	D3	Observed	295
D501	D5	Observed	198
D502	D5	Observed	263
D503	D5	Observed	240
D504	D5	Observed	268
D505	D5	Observed	252
D506	D5	Observed	270
D507	D5	Observed	235
D508	D5	Observed	262
D509	D5	Observed	341
D510	D5	Observed	221
D511	D5	Observed	267
D512	D5	Observed	144
D513	D5	Observed	224
D514	D5	Observed	283
D515	D5	Observed	390
D516	D5	Observed	287
D517	D5	Observed	227
D518	D5	Observed	227
D519	D5	Observed	234
D520	D5	Observed	296
D601	D6	Observed	245
D602	D6	Observed	209
D603	D6	Observed	217
D604	D6	Observed	199
D605	D6	Observed	235
D606	D6	Observed	214
D607	D6	Observed	230
D608	D6	Observed	205
D609	D6	Observed	218
D610	D6	Observed	182
D611	D6	Observed	193
D612	D6	Observed	225
D613	D6	Observed	199
D614	D6	Observed	224
D615	D6	Observed	179
D616	D6	Observed	194
D617	D6	Observed	178
D618	D6	Observed	206
D619	D6	Observed	241
D620	D6	Observed	183
D621	D6	Observed	175
D622	D6	Observed	265
D623	D6	Observed	129
D624	D6	Observed	113
D625	D6	Observed	165
D626	D6	Observed	211
D627	D6	Observed	178
D628	D6	Observed	212
D629	D6	Observed	138
D630	D6	Observed	174
D631	D6	Observed	307
D632	D6	Observed	215
D633	D6	Observed	266
D634	D6	Observed	249
D635	D6	Observed	266
D636	D6	Observed	211
D637	D6	Observed	251
D638	D6	Observed	236
D639	D6	Observed	314
D640	D6	Observed	104
D701	D7	Observed	100
D702	D7	Observed	140
D703	D7	Observed	138
D704	D7	Observed	87
D705	D7	Observed	111
D706	D7	Observed	57
D707	D7	Observed	155
D708	D7	Observed	122
D709	D7	Observed	80
D710	D7	Observed	109
D711	D7	Observed	213
D712	D7	Observed	163
D713	D7	Observed	128
D714	D7	Observed	114
D715	D7	Observed	157
D716	D7	Observed	93
D717	D7	Observed	86
D718	D7	Observed	106
D719	D7	Observed	135
D720	D7	Observed	106
D721	D7	Observed	103
D722	D7	Observed	131
D723	D7	Observed	82
D724	D7	Observed	92
D725	D7	Observed	125
D726	D7	Observed	76
D727	D7	Observed	144
D728	D7	Observed	150
D729	D7	Observed	103
D730	D7	Observed	39
D731	D7	Observed	62
D732	D7	Observed	141
D733	D7	Observed	76
D734	D7	Observed	105
D735	D7	Observed	88
D736	D7	Observed	63
D737	D7	Observed	140
D738	D7	Observed	80
D739	D7	Observed	85
D740	D7	Observed	114
D001	D0	Chao1	2245.722
D002	D0	Chao1	2034.462
D003	D0	Chao1	2116.447
D004	D0	Chao1	2120.324
D005	D0	Chao1	2128.485
D006	D0	Chao1	2311.571
D007	D0	Chao1	2172.969
D008	D0	Chao1	2080.858
D009	D0	Chao1	2093.953
D010	D0	Chao1	2101.968
D011	D0	Chao1	2036.297
D012	D0	Chao1	2146.594
D013	D0	Chao1	2097.331
D014	D0	Chao1	2027.24
D101	D1	Chao1	2490.803
D102	D1	Chao1	2265.287
D103	D1	Chao1	2152.981
D104	D1	Chao1	2341.021
D105	D1	Chao1	2579.344
