Compares	diff	lwr	upr	p.adj
D1-D0	-105.857142857144	-179.432310619824	-32.2819750944632	0.000777121786373569
D3-D0	-1303.83571428571	-1371.66866729979	-1236.00276127163	0
D5-D0	-1432.33571428571	-1500.16866729979	-1364.50276127163	0
D6-D0	-1479.91071428571	-1540.35888286948	-1419.46254570194	0
D7-D0	-1578.81071428571	-1639.25888286948	-1518.36254570194	0
D3-D1	-1197.97857142857	-1265.81152444265	-1130.14561841449	0
D5-D1	-1326.47857142857	-1394.31152444265	-1258.64561841449	0
D6-D1	-1374.05357142857	-1434.50174001234	-1313.6054028448	0
D7-D1	-1472.95357142857	-1533.40174001234	-1412.5054028448	0
D5-D3	-128.5	-190.057401812574	-66.9425981874267	1.99959635183156e-07
D6-D3	-176.075000000001	-229.385273760655	-122.764726239346	0
D7-D3	-274.975000000001	-328.285273760656	-221.664726239346	0
D6-D5	-47.5750000000003	-100.885273760655	5.73527376065452	0.109461514699094
D7-D5	-146.475000000001	-199.785273760656	-93.1647262393459	8.42004244105965e-12
D7-D6	-98.9000000000004	-142.427656253896	-55.3723437461047	1.36517893656318e-08
