Compares	diff	lwr	upr	p.adj
D1-D0	-14.1640714285715	-18.2408998066508	-10.0872430504922	0
D3-D0	-98.1265928571426	-101.885242904788	-94.3679428094971	0
D5-D0	-108.898192857143	-112.656842904788	-105.139542809497	0
D6-D0	-110.774267857143	-114.12372415577	-107.424811558516	0
D7-D0	-117.818942857143	-121.16839915577	-114.469486558516	0
D3-D1	-83.9625214285712	-87.7211714762167	-80.2038713809256	0
D5-D1	-94.7341214285712	-98.4927714762167	-90.9754713809257	0
D6-D1	-96.6101964285712	-99.959652727198	-93.2607401299444	0
D7-D1	-103.654871428571	-107.004327727198	-100.305415129944	0
D5-D3	-10.7716	-14.1825193389787	-7.36068066102131	0
D6-D3	-12.647675	-15.6016177978152	-9.69373220218487	0
D7-D3	-19.6923500000001	-22.6462927978152	-16.7384072021849	0
D6-D5	-1.87607500000004	-4.8300177978152	1.07786779781513	0.446905574621687
D7-D5	-8.92075000000008	-11.8746927978152	-5.96680720218491	6.68354260824344e-14
D7-D6	-7.04467500000004	-9.45655919467221	-4.63279080532787	4.74731365329717e-13
