Compares	diff	lwr	upr	p.adj
D1-D0	-0.593785714285715	-0.921905588952226	-0.265665839619203	8.83518344330092e-06
D3-D0	-2.74009999999999	-3.04261157718092	-2.43758842281907	0
D5-D0	-2.80445	-3.10696157718092	-2.50193842281907	0
D6-D0	-3.00559999999999	-3.27517798538092	-2.73602201461907	0
D7-D0	-3.34485	-3.61442798538092	-3.07527201461907	0
D3-D1	-2.14631428571428	-2.44882586289521	-1.84380270853335	0
D5-D1	-2.21066428571428	-2.51317586289521	-1.90815270853335	0
D6-D1	-2.41181428571428	-2.6813922710952	-2.14223630033336	0
D7-D1	-2.75106428571428	-3.02064227109521	-2.48148630033336	0
D5-D3	-0.064350000000001	-0.338874783044842	0.21017478304484	0.984198003533898
D6-D3	-0.2655	-0.503245436085244	-0.0277545639147566	0.0190443300183848
D7-D3	-0.604750000000002	-0.842495436085246	-0.367004563914759	2.15968132266653e-10
D6-D5	-0.201149999999999	-0.438895436085243	0.0365954360852444	0.148328304150161
D7-D5	-0.540400000000001	-0.778145436085245	-0.302654563914758	1.34702968779266e-08
D7-D6	-0.339250000000002	-0.533368335694775	-0.145131664305229	1.96376355183769e-05
