Compares	diff	lwr	upr	p.adj
D1-D0	-0.0248571428571431	-0.126356761233945	0.0766424755196583	0.980781178003681
D3-D0	-0.226278571428571	-0.31985659583089	-0.132700547026253	1.50990553393626e-09
D5-D0	-0.206228571428571	-0.29980659583089	-0.112650547026253	3.73684999610546e-08
D6-D0	-0.250003571428571	-0.333394017273281	-0.166613125583861	1.12687636999453e-13
D7-D0	-0.345428571428572	-0.428819017273282	-0.262038125583862	0
D3-D1	-0.201421428571428	-0.294999452973746	-0.10784340416911	7.88494953773977e-08
D5-D1	-0.181371428571428	-0.274949452973747	-0.0877934041691098	1.5950650753549e-06
D6-D1	-0.225146428571428	-0.308536874416138	-0.141755982726718	1.81570314339297e-11
D7-D1	-0.320571428571429	-0.403961874416139	-0.237180982726718	0
D5-D3	0.0200499999999999	-0.0648706734043334	0.104970673404333	0.983677826963989
D6-D3	-0.023725	-0.0972684604746342	0.0498184604746342	0.937601337117463
D7-D3	-0.11915	-0.192693460474635	-0.0456065395253663	9.55181630575286e-05
D6-D5	-0.0437749999999999	-0.117318460474634	0.0297684604746343	0.521208538419376
D7-D5	-0.1392	-0.212743460474634	-0.0656565395253662	2.9457269085098e-06
D7-D6	-0.0954250000000004	-0.155472984027133	-0.0353770159728683	0.000138480360953763
