Group	OTU	fV	fM	fN	rChisqX	rChisqP	rKsD	rKsP
D0	OTU_100	0.21978021978022	0.285714285714286	4	10	0.693934367980749	0.443172413153085	0.0081796743008038
D0	OTU_1000	1.45054945054945	0.714285714285714	4	26.4	0.0150158148253565	0.437718441620251	0.00935746294962103
D0	OTU_1002	153.208791208791	56.8571428571429	14	35.0301507537688	0.000837694779276972	0.211579237989307	0.4926411564689
D0	OTU_1003	2.88461538461538	7.5	14	5	0.975193133324013	0.258627964246705	0.306264969280012
D0	OTU_1004	1.01648351648352	2.35714285714286	14	5.60606060606061	0.959323662276146	0.309569168807186	0.136627375368422
D0	OTU_1008	9.32417582417582	7.35714285714286	14	16.4757281553398	0.224391709691349	0.154800654270871	0.890554980961707
D0	OTU_1009	2.9010989010989	7.85714285714286	14	4.8	0.979335868075303	0.252293103083554	0.334925528663356
D0	OTU_1010	3165.71978021978	478.785714285714	14	85.9556914814262	8.24996601512817e-13	0.187591622409437	0.641811970836193
D0	OTU_1011	19.0549450549451	41.8571428571429	14	5.91808873720137	0.949083268647776	0.129803532107671	0.972372436485303
D0	OTU_1012	1440.70879120879	417.642857142857	14	44.8450487429451	2.2210058358097e-05	0.147767012660411	0.876999671109321
D0	OTU_1013	2.59340659340659	2.14285714285714	14	15.7333333333333	0.263830107315934	0.332474270301434	0.0905329383792012
D0	OTU_1014	60.1538461538462	34	14	23	0.041676284212665	0.221977451252674	0.495308507634826
D0	OTU_1015	523.054945054945	104.142857142857	14	65.2921810699589	5.83417649350601e-09	0.198347358972531	0.640397479429441
D0	OTU_1016	4.13186813186813	3.14285714285714	12	17.0909090909091	0.195181499600851	0.186271309131163	0.716284191023917
D0	OTU_1017	968.373626373626	218.714285714286	14	57.5584585238406	1.42947664166143e-07	0.160163765125191	0.865237434489559
D0	OTU_1018	278.884615384615	111.5	14	32.5156950672646	0.00201345765867267	0.266047885554749	0.274932392432065
D0	OTU_1019	5.87362637362637	4.78571428571429	14	15.955223880597	0.251556198954858	0.176692819230469	0.774585060652923
D0	OTU_102	0.417582417582418	0.428571428571429	5	12.6666666666667	0.473876307164751	0.389259620683797	0.0287389696194046
D0	OTU_1020	11.8736263736264	14.2142857142857	14	10.8592964824121	0.62260358362079	0.167650295040381	0.826221120890243
D0	OTU_1021	21.2582417582418	21.7857142857143	14	12.6852459016393	0.472407521890919	0.124322539838808	0.981995260551104
D0	OTU_1022	14.3736263736264	11.2857142857143	14	16.5569620253165	0.220356449088393	0.174426097724628	0.787908541961316
D0	OTU_1023	12.9230769230769	15	14	11.2	0.594067216301929	0.180989298054164	0.748778247747403
D0	OTU_1024	37.3461538461538	30.5	14	15.9180327868852	0.253584396029536	0.158762572012705	0.872080965296249
D0	OTU_1025	78.0659340659341	61.7142857142857	14	16.4444444444444	0.225960331436149	0.123716859179621	0.982891808563848
D0	OTU_1026	2.22527472527473	1.92857142857143	13	15	0.307352774644318	0.304614529402666	0.148765315564192
D0	OTU_1027	11.7197802197802	6.78571428571429	14	22.4526315789474	0.0487333026250272	0.151314084539365	0.905671499771538
D0	OTU_1028	6.41758241758242	11.5714285714286	14	7.20987654320988	0.89101409291864	0.21359515197167	0.545444866160904
D0	OTU_1029	0.131868131868132	0.142857142857143	2	12	0.527643855535093	0.51013004552799	0.00136942081189584
D0	OTU_1030	11.5659340659341	3.78571428571429	11	39.7169811320755	0.000153503736531462	0.189165367150847	0.69822768909481
D0	OTU_1031	4.22527472527473	6.07142857142857	14	9.04705882352941	0.769380173792414	0.270327943964632	0.257902211905547
D0	OTU_1032	64.7252747252747	35.5714285714286	14	23.6546184738956	0.0344597064875277	0.291716426398293	0.184446357848839
D0	OTU_1033	0.21978021978022	0.285714285714286	4	10	0.693934367980749	0.443172413153085	0.0081796743008038
D0	OTU_1035	361.912087912088	84.7142857142857	14	55.5379426644182	3.25065374386847e-07	0.15274785293426	0.852210976886593
D0	OTU_1036	81.1043956043956	69.7857142857143	14	15.1084953940635	0.300628707669686	0.168278723829257	0.822775827380576
D0	OTU_1038	23.6703296703297	35.1428571428571	14	8.75609756097561	0.791104740316801	0.159904184768693	0.866516970848583
D0	OTU_1040	19.1868131868132	26.5714285714286	14	9.38709677419355	0.743120037806459	0.146783961965075	0.923602708890034
D0	OTU_1041	0.730769230769231	0.5	4	19	0.123103661190318	0.434977445498844	0.0100056681531884
D0	OTU_1042	1.95604395604396	1.42857142857143	9	17.8	0.165262049306604	0.203619731284334	0.607216039275495
D0	OTU_1043	12.0934065934066	29.3571428571429	14	5.35523114355231	0.966518346561088	0.144758680858018	0.930966226385977
D0	OTU_1044	0.269230769230769	0.5	7	7	0.902151561226564	0.33238279310202	0.0906871987300122
D0	OTU_1045	5.84615384615385	6	14	12.6666666666667	0.473876307164751	0.231839576349024	0.439183883266844
D0	OTU_1046	0.642857142857143	1.21428571428571	11	6.88235294117647	0.908112080799628	0.265017975144195	0.279137576483611
D0	OTU_1048	4.11538461538461	4.5	14	11.8888888888889	0.536775403301745	0.127314195569536	0.977088158211325
D0	OTU_1049	0.840659340659341	0.928571428571429	8	11.7692307692308	0.546651752373562	0.272983329582622	0.247752846293509
D0	OTU_105	2.21978021978022	4.28571428571429	14	6.73333333333333	0.915365913153204	0.218895317087008	0.513511987957004
D0	OTU_1050	3.91208791208791	8.71428571428571	14	5.83606557377049	0.951916110925846	0.228285526795199	0.459012673526868
D0	OTU_1052	1.1043956043956	1.21428571428571	9	11.8235294117647	0.542164925908096	0.272666416743521	0.248948361576062
