otu_id	count	project_id	sample_id	run_id	nreads	classification
OTU_1002	64	D0	D001	D001	33155	D0
OTU_1003	7	D0	D001	D001	33155	D0
OTU_1004	2	D0	D001	D001	33155	D0
OTU_1008	10	D0	D001	D001	33155	D0
OTU_1009	8	D0	D001	D001	33155	D0
OTU_1010	425	D0	D001	D001	33155	D0
OTU_1011	47	D0	D001	D001	33155	D0
OTU_1012	366	D0	D001	D001	33155	D0
OTU_1013	1	D0	D001	D001	33155	D0
OTU_1014	35	D0	D001	D001	33155	D0
OTU_1015	131	D0	D001	D001	33155	D0
OTU_1016	6	D0	D001	D001	33155	D0
OTU_1017	221	D0	D001	D001	33155	D0
OTU_1018	100	D0	D001	D001	33155	D0
OTU_1019	5	D0	D001	D001	33155	D0
OTU_1020	11	D0	D001	D001	33155	D0
OTU_1021	20	D0	D001	D001	33155	D0
OTU_1022	6	D0	D001	D001	33155	D0
OTU_1023	16	D0	D001	D001	33155	D0
OTU_1024	30	D0	D001	D001	33155	D0
OTU_1025	56	D0	D001	D001	33155	D0
OTU_1026	1	D0	D001	D001	33155	D0
OTU_1027	3	D0	D001	D001	33155	D0
OTU_1028	9	D0	D001	D001	33155	D0
OTU_1030	8	D0	D001	D001	33155	D0
OTU_1031	5	D0	D001	D001	33155	D0
OTU_1032	29	D0	D001	D001	33155	D0
OTU_1035	58	D0	D001	D001	33155	D0
OTU_1036	58	D0	D001	D001	33155	D0
OTU_1038	29	D0	D001	D001	33155	D0
OTU_1040	20	D0	D001	D001	33155	D0
OTU_1042	2	D0	D001	D001	33155	D0
OTU_1043	32	D0	D001	D001	33155	D0
OTU_1044	1	D0	D001	D001	33155	D0
OTU_1045	7	D0	D001	D001	33155	D0
OTU_1046	2	D0	D001	D001	33155	D0
OTU_1048	8	D0	D001	D001	33155	D0
OTU_1049	2	D0	D001	D001	33155	D0
OTU_105	3	D0	D001	D001	33155	D0
OTU_1050	7	D0	D001	D001	33155	D0
OTU_1056	23	D0	D001	D001	33155	D0
OTU_1057	2	D0	D001	D001	33155	D0
OTU_1058	57	D0	D001	D001	33155	D0
OTU_1059	2	D0	D001	D001	33155	D0
OTU_1060	14	D0	D001	D001	33155	D0
OTU_1061	12	D0	D001	D001	33155	D0
OTU_1062	1	D0	D001	D001	33155	D0
OTU_1064	4	D0	D001	D001	33155	D0
OTU_1065	6	D0	D001	D001	33155	D0
OTU_1069	7	D0	D001	D001	33155	D0
OTU_1072	1	D0	D001	D001	33155	D0
OTU_1074	14	D0	D001	D001	33155	D0
OTU_1078	32	D0	D001	D001	33155	D0
OTU_1080	3	D0	D001	D001	33155	D0
OTU_1081	5	D0	D001	D001	33155	D0
OTU_1085	13	D0	D001	D001	33155	D0
OTU_1086	2	D0	D001	D001	33155	D0
OTU_1088	23	D0	D001	D001	33155	D0
OTU_1089	14	D0	D001	D001	33155	D0
OTU_1091	5	D0	D001	D001	33155	D0
OTU_1092	1	D0	D001	D001	33155	D0
OTU_1094	9	D0	D001	D001	33155	D0
OTU_1099	3	D0	D001	D001	33155	D0
OTU_11	19	D0	D001	D001	33155	D0
OTU_1100	1	D0	D001	D001	33155	D0
OTU_1102	12	D0	D001	D001	33155	D0
OTU_1104	5	D0	D001	D001	33155	D0
OTU_1105	22	D0	D001	D001	33155	D0
OTU_1109	1	D0	D001	D001	33155	D0
OTU_1110	1	D0	D001	D001	33155	D0
OTU_1111	1	D0	D001	D001	33155	D0
OTU_1113	4	D0	D001	D001	33155	D0
OTU_1114	2	D0	D001	D001	33155	D0
OTU_1116	12	D0	D001	D001	33155	D0
OTU_1119	1	D0	D001	D001	33155	D0
OTU_112	4	D0	D001	D001	33155	D0
OTU_1120	8	D0	D001	D001	33155	D0
OTU_1127	9	D0	D001	D001	33155	D0
OTU_1128	10	D0	D001	D001	33155	D0
OTU_1129	6	D0	D001	D001	33155	D0
OTU_1130	4	D0	D001	D001	33155	D0
OTU_1133	4	D0	D001	D001	33155	D0
OTU_1134	3	D0	D001	D001	33155	D0
OTU_1136	6	D0	D001	D001	33155	D0
OTU_1138	7	D0	D001	D001	33155	D0
OTU_1139	7	D0	D001	D001	33155	D0
OTU_1144	1	D0	D001	D001	33155	D0
OTU_1145	8	D0	D001	D001	33155	D0
OTU_1146	1	D0	D001	D001	33155	D0
OTU_1147	1	D0	D001	D001	33155	D0
OTU_115	2	D0	D001	D001	33155	D0
OTU_1151	1	D0	D001	D001	33155	D0
OTU_1152	1	D0	D001	D001	33155	D0
OTU_1153	9	D0	D001	D001	33155	D0
OTU_1154	6	D0	D001	D001	33155	D0
OTU_1155	6	D0	D001	D001	33155	D0
OTU_1156	6	D0	D001	D001	33155	D0
OTU_1161	7	D0	D001	D001	33155	D0
OTU_1162	4	D0	D001	D001	33155	D0
