"Common_n","Group","Model","Mean_AIC","Median_AIC","Q2.5_AIC","Q97.5_AIC","N_iterations"
8,"D0","Exponential",-31.5973128246135,-31.2107215402984,-33.4218115266352,-30.3519614160396,100
8,"D0","PowerLaw",-70.4737297044533,-66.8189552062647,-91.4818538206959,-58.4685544760798,100
8,"D1","Exponential",-20.1108606547613,-19.9739885030751,-21.893057911621,-18.6036563888575,100
8,"D1","PowerLaw",-61.5433245307767,-61.7753361983473,-69.1171053876813,-54.3166006405038,100
8,"D3","Exponential",-14.1849639879408,-14.199234848658,-15.2243557570062,-12.976633199401,100
8,"D3","PowerLaw",-30.4802567409943,-30.5464869727394,-33.0567118441488,-27.6734646889348,100
8,"D5","Exponential",-13.2880079190587,-13.2532329538018,-14.7632143426779,-11.9105750882654,100
8,"D5","PowerLaw",-39.6916223548662,-39.0905350955029,-50.3586087612669,-32.8760159744926,100
8,"D6","Exponential",-7.73867579794474,-7.72461367861612,-9.75179802587223,-6.03719734525239,100
8,"D6","PowerLaw",-31.9792743939978,-30.9625506070229,-44.4581664400241,-23.1384379884002,100
8,"D7","Exponential",-4.15212703555097,-4.24446622175041,-8.49872378617478,-0.964352439368373,100
8,"D7","PowerLaw",-27.5640695357228,-25.5440352784209,-45.2164658395382,-17.5784133382198,100
10,"D0","Exponential",-38.239008123318,-38.1277911802516,-39.407173503487,-37.4531301404559,100
10,"D0","PowerLaw",-81.2275004098569,-80.4076490270502,-93.8755220949247,-73.5487437141615,100
10,"D1","Exponential",-23.6671327083747,-23.5086606117516,-25.5776122226904,-22.4402014339017,100
10,"D1","PowerLaw",-70.5985309149693,-69.8042153829337,-78.8681103724727,-63.7764548501823,100
10,"D3","Exponential",-17.8754181435357,-17.863148349722,-19.0028320810019,-16.6131362996497,100
10,"D3","PowerLaw",-37.7603455826514,-37.7408406479959,-40.9466995237104,-34.8434534800573,100
10,"D5","Exponential",-16.2461224208485,-16.2664712880344,-17.8533879434293,-14.4847200475914,100
10,"D5","PowerLaw",-49.0419827516931,-48.6553358624904,-60.6570180150247,-40.9254969569771,100
10,"D6","Exponential",-9.09248809355455,-9.12943616128756,-10.8404515317915,-7.30593973132817,100
10,"D6","PowerLaw",-37.1192052444394,-35.4645744144002,-49.922506919526,-28.7892267465019,100
10,"D7","Exponential",-4.87392539442815,-4.92341065763423,-9.3772724496557,-0.504864235238454,100
10,"D7","PowerLaw",-33.1591267639542,-33.1069202376954,-51.3901957574432,-20.499468965724,100
12,"D0","Exponential",-45.0963968966165,-45.0251529229512,-45.8733216838365,-44.672287734886,100
12,"D0","PowerLaw",-95.4287056233345,-95.1110605023277,-102.308466399771,-89.2724826115851,100
12,"D1","Exponential",-27.1305823182111,-26.8880451965713,-29.1978632681426,-26.2346016030585,100
12,"D1","PowerLaw",-77.1314990579699,-76.6630900120796,-83.874190399226,-71.969511433426,100
12,"D3","Exponential",-21.437802308736,-21.4941136922527,-22.5139920411922,-20.4274683727015,100
12,"D3","PowerLaw",-45.2487700472122,-45.1924958758592,-48.2401492347885,-42.8369910660394,100
12,"D5","Exponential",-19.2641856278932,-19.2427085286674,-20.9915388150674,-17.6061194931741,100
12,"D5","PowerLaw",-60.5497582837549,-60.5711611024547,-74.6293220116857,-48.7174120324589,100
12,"D6","Exponential",-10.4457424137774,-10.4122165534449,-12.0071586027268,-8.74374725704331,100
12,"D6","PowerLaw",-41.9499343852676,-40.5608525149196,-57.2693380570686,-32.9444947789854,100
12,"D7","Exponential",-5.4583652473365,-5.18605544905651,-10.1260720696392,-1.06111977803624,100
12,"D7","PowerLaw",-39.6116309240029,-40.3454908634463,-58.5239540807704,-25.8479828622003,100
14,"D0","Exponential",-52.0686493309711,-52.0678876553378,-52.1732518932627,-51.9656424224791,100
14,"D0","PowerLaw",-110.579735521127,-110.675887736695,-111.627685858801,-109.361196818315,100
14,"D1","Exponential",-30.3304454259471,-30.3364161215626,-30.5288960071551,-30.1392716840245,100
14,"D1","PowerLaw",-83.0394678813744,-83.0801688844627,-84.5538081818591,-81.6812877105904,100
14,"D3","Exponential",-25.2804712844541,-25.2140809661837,-26.4651125634176,-24.3432511984812,100
14,"D3","PowerLaw",-52.7758870354777,-52.7686026686014,-54.7285594238941,-50.5696096529548,100
14,"D5","Exponential",-22.1566979361799,-22.1632673356444,-24.0275518220217,-20.3734890871178,100
14,"D5","PowerLaw",-70.5540519271294,-70.0012981536722,-84.240873468421,-57.9010022573914,100
14,"D6","Exponential",-11.9510864756216,-11.9785854152647,-13.8087500069117,-10.2005240792181,100
14,"D6","PowerLaw",-49.4260490662754,-47.0386820683556,-68.340314964987,-37.430162393645,100
14,"D7","Exponential",-5.7458727433564,-5.72291018124061,-12.6575185516928,-1.26962720545787,100
14,"D7","PowerLaw",-44.4351312728014,-43.6292745565318,-67.9154834451911,-28.5272218638476,100
