"Item","Description"
"Purpose","Summary workbook for common-n subsampling sensitivity analysis of zeta diversity underlying Fig. S2B-D. This script does not rerun Zeta.decline.mc()."
"Input","Existing CSV outputs from the completed common-n zeta analysis."
"Source files","curve_common_n*.csv, aic_common_n*.csv, metrics_common_n*.csv."
"Binary transformation","All nonzero OTU abundances were converted to presence/absence in the original zeta run."
"Common-n settings","8, 10, 12, 14"
"Primary common-n","n = 14, the largest replicate number shared by all dilution treatments."
"Subsampling iterations","100 iterations detected from CSV files."
"Monte Carlo samples in Zeta.decline.mc","1000, according to the zeta run script."
"Zeta settings","Zeta.decline.mc with confint.level = 0.95, rescale = TRUE, normalize = TRUE, empty.row = 'empty'."
"Main framework comparison","High-order zeta diversity, zeta decay slopes and zeta-ratio patterns were compared across dilution treatments."
"Model comparison","AIC values of exponential and power-law regressions were extracted from Zeta.decline.mc outputs; DeltaAIC_ExpMinusPower > 0 indicates stronger support for the power-law model."
