"Common_n","Group","Order","Mean_Zeta","Median_Zeta","Q2.5_Zeta","Q97.5_Zeta","Mean_Ratio","Median_Ratio","Q2.5_Ratio","Q97.5_Ratio","N_iterations"
8,"D0",1,1,1,1,1,NA,NA,NA,NA,100
8,"D0",2,0.831161550388805,0.828597932738331,0.824375918216457,0.844331060310267,0.831161550388805,0.828597932738331,0.824375918216457,0.844331060310267,100
8,"D0",3,0.743756557296209,0.741090164364717,0.734411686912428,0.76159795611621,0.894818463980431,0.894300352922631,0.890631908245747,0.90235229268666,100
8,"D0",4,0.690111558670842,0.688119659152632,0.680083579401546,0.710086485224684,0.927863291783417,0.927818821786857,0.925464007970508,0.931314912561581,100
8,"D0",5,0.653030082577489,0.651108268138526,0.642655828714578,0.672165015487916,0.946265975472768,0.946418584169242,0.942565176849012,0.949584480620732,100
8,"D0",6,0.625331745695032,0.624410176622211,0.614310632353622,0.642892557607791,0.957590156033097,0.95764576839721,0.953502060029609,0.961759559740768,100
8,"D0",7,0.603470965799355,0.6030467233361,0.592768438713041,0.619259211062652,0.96504988854131,0.965318505945426,0.960566526399022,0.969340246009963,100
8,"D0",8,0.585417726157431,0.585344132179212,0.57492801488679,0.599176494454382,0.970088667152374,0.970723939680075,0.965303736338219,0.974695042801158,100
8,"D1",1,1,1,1,1,NA,NA,NA,NA,100
8,"D1",2,0.684421380206795,0.678088357320221,0.665317338872341,0.711667816959656,0.684421380206795,0.678088357320221,0.665317338872341,0.711667816959656,100
8,"D1",3,0.540294325341506,0.530698478071487,0.515816733102853,0.578894622497079,0.789124587769593,0.78218826215425,0.772997601060053,0.813571811310186,100
8,"D1",4,0.458044388868659,0.445558119572661,0.430718076417262,0.50202266726636,0.847322125774332,0.841045390281444,0.833268824397808,0.867602074672612,100
8,"D1",5,0.40488259542738,0.390256909104546,0.376357130736848,0.451372025569209,0.883430037108996,0.878293760873151,0.870937775477421,0.900374955004706,100
8,"D1",6,0.367721748773456,0.351447984694683,0.338110973383291,0.415995059003319,0.9076964485362,0.903834520413287,0.896295752642029,0.922160475975392,100
8,"D1",7,0.340281434241696,0.323467823730204,0.309828127455144,0.389697022600178,0.924865218647817,0.92206197189498,0.914346984361295,0.93774124517143,100
8,"D1",8,0.319159848888053,0.30183081300442,0.289224622786381,0.369062209552287,0.93743867783066,0.935406428509243,0.925833888112928,0.948460518302657,100
8,"D3",1,1,1,1,1,NA,NA,NA,NA,100
8,"D3",2,0.587295953085837,0.588610432018595,0.569618339008281,0.601324193829706,0.587295953085837,0.588610432018595,0.569618339008281,0.601324193829706,100
8,"D3",3,0.461422514590017,0.462127011048653,0.439859541960325,0.479185130194391,0.785582278188851,0.786353525236678,0.768745617179954,0.798758072028546,100
8,"D3",4,0.401206792261369,0.401586760079312,0.378335560005439,0.42011268575339,0.869402726452384,0.869585017128796,0.85674162451181,0.881381894348907,100
8,"D3",5,0.365158215830907,0.365942545481868,0.341785517265568,0.385896579035083,0.910063331153518,0.909824915174709,0.899188420422185,0.920333954885521,100
8,"D3",6,0.34055193840362,0.34137694808827,0.316899933334157,0.361269324672709,0.932525775006201,0.932592594542393,0.922546614573017,0.943931653405661,100
8,"D3",7,0.322320975322624,0.322736387388573,0.297609943066882,0.343998539860654,0.94636273908572,0.946876845478396,0.935674919318523,0.95731447432433,100
8,"D3",8,0.308072204496968,0.308923252131189,0.282370941418662,0.331693071811263,0.955672631989676,0.956001596704146,0.945737460579427,0.96607253607087,100
8,"D5",1,1,1,1,1,NA,NA,NA,NA,100
8,"D5",2,0.5548175381424,0.555134853941577,0.530360797522417,0.580825873159743,0.5548175381424,0.555134853941577,0.530360797522417,0.580825873159743,100
8,"D5",3,0.409117681402152,0.408269893361314,0.37929314156895,0.438702412957176,0.737096424861457,0.735603907523608,0.711223620678289,0.762482212475633,100
8,"D5",4,0.336111330724476,0.333644565793066,0.304369419092862,0.36863537386774,0.821077378322735,0.820499283096624,0.798937323177035,0.843273457369468,100
8,"D5",5,0.291168401937133,0.288783505088145,0.257503645344519,0.325889839191636,0.865703183281179,0.865677551347701,0.844687426933538,0.886227960326078,100
8,"D5",6,0.259922340314555,0.257677943429523,0.225015665527806,0.295860540846666,0.892008246293017,0.89244468683009,0.869000310598193,0.912416636599588,100
8,"D5",7,0.236484245272057,0.235418998572831,0.200149270806433,0.272928726188632,0.90902214938327,0.909652632711229,0.882250158127767,0.930576304543131,100
8,"D5",8,0.217993221348973,0.217476995281832,0.179285384415438,0.256375022370742,0.920839113059912,0.922444976297159,0.89119170984456,0.943794255086146,100
8,"D6",1,1,1,1,1,NA,NA,NA,NA,100
8,"D6",2,0.448072816657118,0.452456429257582,0.411577382200207,0.481290816092782,0.448072816657118,0.452456429257582,0.411577382200207,0.481290816092782,100
8,"D6",3,0.291449196721046,0.295535059064604,0.254413616288119,0.324780676231773,0.649798680380384,0.651856424915117,0.61342658674189,0.689037033942588,100
8,"D6",4,0.222391493939445,0.224490612588997,0.186308214985599,0.257803750816409,0.761868678093525,0.763660666523563,0.724476217806236,0.798885549644337,100
8,"D6",5,0.184019861672122,0.186070955694445,0.145726033834586,0.219247561273206,0.82578386725765,0.830763386126,0.78104070998215,0.86392648717011,100
8,"D6",6,0.159452822407605,0.161696175148611,0.120431310241218,0.193383244585995,0.864276628583537,0.86849042904985,0.815104079468721,0.904585885265146,100
8,"D6",7,0.142143211584062,0.145358082548569,0.103274799210006,0.1762515239833,0.888507624723336,0.8940531664125,0.835303312856516,0.928975364827212,100
8,"D6",8,0.129066068258824,0.133034787215257,0.0860198328690808,0.166026299812956,0.904040580280008,0.911398367176052,0.842912381735911,0.947534491154033,100
8,"D7",1,1,1,1,1,NA,NA,NA,NA,100
8,"D7",2,0.346869545992962,0.343790064842696,0.291598465546692,0.404894631297495,0.346869545992962,0.343790064842696,0.291598465546692,0.404894631297495,100
8,"D7",3,0.209226567500315,0.205304775801671,0.160166516772488,0.273128342245989,0.600378569508613,0.595957937193892,0.536014493285543,0.678922747873865,100
8,"D7",4,0.151021658594736,0.147585507540526,0.107560397126889,0.217673601136931,0.71784653731864,0.717546533048412,0.651009683957661,0.793958505433488,100
8,"D7",5,0.118536879382456,0.115286642327458,0.0790802820187607,0.182696312126692,0.780548539793393,0.781524122807018,0.721659879375226,0.847736259659409,100
8,"D7",6,0.0979397181636536,0.0946443415271345,0.059694374100005,0.160064826911929,0.821769206278817,0.825338199755848,0.750808566433566,0.885165042871625,100
8,"D7",7,0.0838301060833172,0.0801937432164032,0.0498093723173257,0.143382063472836,0.851183611773494,0.857142857142857,0.771644015259895,0.919894703745723,100
8,"D7",8,0.0736513456148484,0.0701328439906523,0.0425268766054609,0.130461510508146,0.872706480376946,0.878584829804342,0.785535197685631,0.952742537313433,100
10,"D0",1,1,1,1,1,NA,NA,NA,NA,100
10,"D0",2,0.830529145292945,0.829803670802255,0.82691759136037,0.8378351870378,0.830529145292945,0.829803670802255,0.82691759136037,0.8378351870378,100
10,"D0",3,0.742966343452443,0.741853580497377,0.738001396100161,0.752996331822907,0.894564389140859,0.89422027922273,0.892398935987765,0.898740400824124,100
10,"D0",4,0.68940767789622,0.688675939640956,0.683780822595486,0.700075381179365,0.92790855801253,0.927600856372175,0.926384106725446,0.929958120488668,100
10,"D0",5,0.652473111874172,0.651806456243017,0.646550871658246,0.663083491895356,0.946422895714546,0.946117437690612,0.944816031970106,0.948372424999869,100
10,"D0",6,0.624977728882248,0.624343795588301,0.618944369892204,0.635289601040204,0.957857958987698,0.957703876778983,0.956011105541451,0.959992871130356,100
10,"D0",7,0.603381531482794,0.602339120032111,0.596910286713398,0.613360403303321,0.965443601746566,0.965398736338798,0.963253249038098,0.968016547443377,100
10,"D0",8,0.585684497979336,0.584531180119758,0.579409978281134,0.595487030607374,0.970668382346997,0.970632588799166,0.968384560688171,0.973290006714046,100
10,"D0",9,0.570681800535289,0.569553105737316,0.564090481350302,0.580592008474078,0.974381076001371,0.974459190239956,0.97216727711816,0.976729154028622,100
10,"D0",10,0.557651892065052,0.556345924928467,0.550187757382648,0.567880892132054,0.977162987023533,0.977186879557582,0.975059556309892,0.979102100516793,100
10,"D1",1,1,1,1,1,NA,NA,NA,NA,100
10,"D1",2,0.685612024812007,0.681841229475372,0.673366834170854,0.70821378745178,0.685612024812007,0.681841229475372,0.673366834170854,0.70821378745178,100
10,"D1",3,0.541731166854773,0.535530903226066,0.525377262502971,0.574438170365623,0.789993815224028,0.785889208694265,0.779758085541147,0.811108403837759,100
10,"D1",4,0.459431144884187,0.451727960927025,0.441576746754109,0.497229191294254,0.847853274135566,0.844080825887142,0.839508552507763,0.865975903597969,100
10,"D1",5,0.406119951149719,0.397770147367489,0.388080355571748,0.446648600970077,0.883706117785535,0.880286028704187,0.876373986355509,0.898819410367997,100
10,"D1",6,0.368788293903873,0.360211154797762,0.350765023736327,0.410974839639998,0.907815549211193,0.905073989196062,0.901208037680925,0.920495953173604,100
10,"D1",7,0.341193414429702,0.332303505082222,0.323251294395884,0.384642075888541,0.92492104500395,0.922639968836772,0.918876803178114,0.935743135606278,100
10,"D1",8,0.319964810698446,0.310732977625176,0.302140097195255,0.364227624933932,0.937546126429686,0.935981688433418,0.931787405866123,0.946646119565597,100
10,"D1",9,0.303125187800979,0.293580571452299,0.28561380311667,0.347706712549055,0.947160177298251,0.94575030476676,0.941677366634271,0.954747142245979,100
10,"D1",10,0.289437183266051,0.279509408688062,0.272329975102105,0.333882683269243,0.954662924628817,0.95384665339869,0.949302355759575,0.961063363223542,100
10,"D3",1,1,1,1,1,NA,NA,NA,NA,100
10,"D3",2,0.589200259775036,0.589753632847425,0.573188416869119,0.604108980647443,0.589200259775036,0.589753632847425,0.573188416869119,0.604108980647443,100
10,"D3",3,0.463503715451436,0.463565572757589,0.440624539703199,0.480309104712968,0.786583654587772,0.787598358217126,0.770578559567656,0.798050329214063,100
10,"D3",4,0.403259703763024,0.403726091059609,0.37846743440089,0.420498598782046,0.869931085985644,0.871217389647847,0.859362599294171,0.878956248044485,100
10,"D3",5,0.367207139320357,0.368565042205492,0.341884878514539,0.385254034572826,0.910512987686644,0.910782851174128,0.902493498738305,0.918184413806051,100
10,"D3",6,0.342623711837854,0.343896514414952,0.317333158488899,0.3609993316403,0.932970405207153,0.933233538027511,0.925542399606059,0.940622770480626,100
10,"D3",7,0.324433483485928,0.325814206909908,0.299362490111484,0.344017958671478,0.946818945129318,0.946772350591264,0.939702524317549,0.953968938396577,100
10,"D3",8,0.310217141427098,0.31136920159514,0.285240254735895,0.331175724316988,0.956077415347723,0.955890796093531,0.948884219915759,0.963095723777559,100
10,"D3",9,0.298669978088608,0.299863189024916,0.273264728286109,0.321396502835538,0.962656499041827,0.962493322928274,0.955109962272701,0.97061197245442,100
10,"D3",10,0.289023549477734,0.290275207936015,0.262218825528894,0.313530414528761,0.967560832051505,0.96788517733341,0.959147424511545,0.977126599538494,100
10,"D5",1,1,1,1,1,NA,NA,NA,NA,100
10,"D5",2,0.557017964208808,0.556964738185811,0.53619091333002,0.579614979359718,0.557017964208808,0.556964738185811,0.53619091333002,0.579614979359718,100
10,"D5",3,0.41112708835433,0.411721297243571,0.384667875341678,0.438180479586729,0.73790632219957,0.738976270289343,0.717287180902381,0.757606922652364,100
10,"D5",4,0.338048815332643,0.338966915126352,0.31102284467316,0.36512625194132,0.821984751528006,0.822816735140451,0.803755166644362,0.837187206875573,100
10,"D5",5,0.293228965450049,0.295137982366641,0.264821100685599,0.320398497014599,0.867105135499713,0.868296355862326,0.850227805290697,0.881663276739872,100
10,"D5",6,0.262140026406381,0.263230016487845,0.233136687388653,0.289789874653048,0.893616715914222,0.894506011167526,0.877029858387656,0.90689360092076,100
10,"D5",7,0.238838905007775,0.238975174650699,0.208669850137397,0.266732085722319,0.91068453415398,0.912018860638434,0.8922645348652,0.92533379662398,100
10,"D5",8,0.22048248738863,0.219891873445937,0.189736844895001,0.248830029478159,0.922630132994284,0.923782559501356,0.902598798147735,0.939086716660089,100
10,"D5",9,0.205528793212504,0.20454168948501,0.173783563113455,0.236186933890292,0.931561124239507,0.933097898795939,0.910651770922893,0.95025029548988,100
10,"D5",10,0.19304720859586,0.192836103018337,0.159685155850128,0.227151114800103,0.938536413673091,0.940346234882294,0.915885416666667,0.959520844168286,100
10,"D6",1,1,1,1,1,NA,NA,NA,NA,100
10,"D6",2,0.450838886413955,0.454535037321928,0.415607787274454,0.475267449686315,0.450838886413955,0.454535037321928,0.415607787274454,0.475267449686315,100
10,"D6",3,0.29400359504512,0.297650736035491,0.256996859362997,0.31955134298396,0.651579495797482,0.654558622503123,0.617662660332299,0.679415089334318,100
10,"D6",4,0.224954933298288,0.22795279416056,0.189965954104505,0.25270379665358,0.76422673912552,0.765825569144579,0.732203351251881,0.791873450811199,100
10,"D6",5,0.186715463786792,0.189316977331728,0.151332910239508,0.214436919904847,0.828863061678088,0.829169022676277,0.793040026059894,0.857482562417725,100
10,"D6",6,0.162299122113625,0.164992209142464,0.125745447180149,0.189673426119188,0.867878668503944,0.870779219570605,0.832206307026082,0.894755290732997,100
10,"D6",7,0.145193384128052,0.147105679349489,0.107442907833972,0.173360966114435,0.892984563786221,0.896393851112961,0.856100252953066,0.920214846682128,100
10,"D6",8,0.13241796961326,0.134318778891346,0.0935960425108355,0.161937646716891,0.910019653541372,0.914601154495995,0.87142884809048,0.938957129300223,100
10,"D6",9,0.122422021833795,0.124438970477817,0.0825527921642428,0.154041096691974,0.922021422803032,0.925907396238828,0.878520514911876,0.955598845923487,100
10,"D6",10,0.114333611901444,0.11681301751025,0.0731207494052036,0.148574482297929,0.930818888745373,0.934405744835659,0.882332178154281,0.967231182795699,100
10,"D7",1,1,1,1,1,NA,NA,NA,NA,100
10,"D7",2,0.348648028701399,0.345536586649049,0.300534068672984,0.401433149564957,0.348648028701399,0.345536586649049,0.300534068672984,0.401433149564957,100
10,"D7",3,0.212199367350677,0.210046646731793,0.169965758541908,0.263939614937587,0.606344385194133,0.60436662350397,0.548327590607352,0.668718039128904,100
10,"D7",4,0.154274247214434,0.151378093223245,0.117286923443026,0.203816553948325,0.723293944865587,0.721543220495269,0.659280198150552,0.788443321692691,100
10,"D7",5,0.121898860824551,0.118985115537059,0.0868767555557328,0.171219680160359,0.785759807439194,0.781793911631706,0.733686881994066,0.847416264333133,100
10,"D7",6,0.101251002818314,0.0966874452375749,0.0662780949854813,0.149485702600382,0.826033184920672,0.824252104515952,0.769149296183779,0.881395368734162,100
10,"D7",7,0.0870477173593164,0.081492716758016,0.0521732954545455,0.133671739731735,0.855037499573564,0.85502794671016,0.793845883350225,0.908378714797215,100
10,"D7",8,0.0767937924324508,0.0702533817682856,0.0444097053351552,0.123422397841003,0.877294258247547,0.876944561059801,0.804579804716551,0.930069334070439,100
10,"D7",9,0.0691520170012113,0.0647000183889357,0.0395815662530068,0.116304397990444,0.895089941388236,0.9,0.80394750795334,0.949119718309859,100
10,"D7",10,0.063350976870178,0.0588364744106462,0.034047560015485,0.111356460776511,0.909772158484995,0.912291933418694,0.794829222011385,0.970094086021505,100
12,"D0",1,1,1,1,1,NA,NA,NA,NA,100
12,"D0",2,0.830582070632844,0.829823000098883,0.828677448640849,0.834448573007538,0.830582070632844,0.829823000098883,0.828677448640849,0.834448573007538,100
12,"D0",3,0.743023806445599,0.742125366097257,0.740328862245977,0.7480062682711,0.894580581010909,0.894456192862023,0.893261466635004,0.896404837065596,100
12,"D0",4,0.6893959877711,0.688710632829008,0.686279028426768,0.69464673240912,0.927823965187176,0.927726070633133,0.927073616293532,0.92896620746702,100
12,"D0",5,0.652378636602236,0.651950177165887,0.649236031040305,0.657579263107693,0.946303890570321,0.946173810893435,0.945362772371155,0.947764474053864,100
12,"D0",6,0.624817026964275,0.624620817575126,0.621775775770621,0.629669613846447,0.957751371778902,0.957612274216404,0.956775020746321,0.959464147829927,100
12,"D0",7,0.603176540662524,0.60275640423046,0.599689912004084,0.608025450550171,0.965364215605282,0.965126961954057,0.964292243585763,0.967194287808145,100
12,"D0",8,0.58545108526973,0.584967311190026,0.581484766158075,0.590766423520888,0.970611985081146,0.970451512524288,0.969503839945605,0.972387534466586,100
12,"D0",9,0.57042562867442,0.570017989606989,0.566232490809348,0.576202984758063,0.974333706391734,0.974301874419367,0.973163632133094,0.975844070766666,100
12,"D0",10,0.557349267256653,0.556890542751016,0.55277295421023,0.563382595491468,0.97707428373017,0.977125628645201,0.975828009147304,0.978272221520773,100
12,"D0",11,0.545752799412633,0.545400806867995,0.540981169474727,0.552017006545228,0.979191462823398,0.979333968879768,0.977926285945727,0.980115768334848,100
12,"D0",12,0.535334167025708,0.53503535397545,0.530426164519326,0.541816048926104,0.980907359308687,0.981105041640548,0.979681093394077,0.981769196228109,100
12,"D1",1,1,1,1,1,NA,NA,NA,NA,100
12,"D1",2,0.686637043919257,0.684148990038821,0.679138663839638,0.705753838627343,0.686637043919257,0.684148990038821,0.679138663839638,0.705753838627343,100
12,"D1",3,0.543239558685983,0.539500799248619,0.533832060395218,0.570853641137962,0.791086527633015,0.788451759262586,0.785463139036998,0.808853960406869,100
12,"D1",4,0.461161078560885,0.456513684918971,0.451379094990467,0.493089843290772,0.848802330088473,0.846444602052791,0.844376181551465,0.863772465835926,100
12,"D1",5,0.407954054291372,0.402893111728499,0.398122464781093,0.442253265794974,0.884506192786989,0.882957473097951,0.880357818273256,0.896897644825784,100
