"Common_n","Iteration","Mean_Zeta_last_D3D7","Mean_Zeta_last_D5D7","D0_Zeta_last","D1_Zeta_last","D7_Zeta_last","Mean_Exp_slope_D3D7","D0_Exp_slope","D7_Exp_slope","Mean_Power_slope_D3D7","D0_Power_slope","D7_Power_slope","Spearman_ZetaLast_vs_DilutionRank","Spearman_ExpSlope_vs_DilutionRank","Spearman_PowerSlope_vs_DilutionRank","Prop_Groups_PowerLawBetter","ZetaLast_D3D7_minus_D0","ZetaLast_D5D7_minus_D0","ZetaLast_D7_minus_D0","ExpSlope_D3D7_minus_D0","ExpSlope_D7_minus_D0","PowerSlope_D3D7_minus_D0","PowerSlope_D7_minus_D0","Stronger_lower_high_order_zeta","D7_lower_high_order_zeta","Stronger_more_negative_exp_slope","D7_more_negative_exp_slope","ZetaLast_decreases_with_dilution"
8,1,0.183266082802249,0.143805558649725,0.582310124255569,0.292013243963498,0.0817369093231162,-0.232460000666479,-0.0717782809106461,-0.326361372959905,-0.87174869805773,-0.261784864731356,-1.22165738246294,-0.942857142857143,-0.942857142857143,-0.942857142857143,1,-0.39904404145332,-0.438504565605844,-0.500573214932453,-0.160681719755833,-0.254583092049259,-0.609963833326374,-0.959872517731584,TRUE,TRUE,TRUE,TRUE,TRUE
8,2,0.169506674112027,0.124266887487619,0.578155267471316,0.352795798578931,0.0677146311970979,-0.252383139745077,-0.0722796704679792,-0.343903964469086,-0.936971440169421,-0.265408021587986,-1.30320822158421,-1,-1,-1,1,-0.408648593359289,-0.453888379983697,-0.510440636274218,-0.180103469277097,-0.271624294001107,-0.671563418581435,-1.03780019999622,TRUE,TRUE,TRUE,TRUE,TRUE
8,3,0.17904607593469,0.134540383720712,0.585840707964602,0.363552621478468,0.0791208791208791,-0.233508964957042,-0.0700486997150724,-0.3191336984336,-0.875708413976974,-0.258232837275365,-1.19955927490202,-1,-1,-1,1,-0.406794632029912,-0.45130032424389,-0.506719828843723,-0.16346026524197,-0.249084998718528,-0.617475576701608,-0.941326437626655,TRUE,TRUE,TRUE,TRUE,TRUE
8,4,0.179487710375869,0.133904772497238,0.578027835356826,0.357859015887706,0.045933014354067,-0.251067745623002,-0.0722386036765665,-0.40221202549246,-0.927566278543612,-0.265132308375199,-1.45804367336978,-1,-1,-1,1,-0.398540124980957,-0.444123062859588,-0.532094821002759,-0.178829141946435,-0.329973421815894,-0.662433970168413,-1.19291136499458,TRUE,TRUE,TRUE,TRUE,TRUE
8,5,0.160977198482364,0.104232867615551,0.585423255129808,0.288020256369679,0.0244897959183673,-0.284274181367657,-0.0707135869086512,-0.470299657352357,-1.03389142346916,-0.257572654055023,-1.67522642363239,-0.942857142857143,-0.942857142857143,-0.942857142857143,1,-0.424446056647444,-0.481190387514257,-0.560933459211441,-0.213560594459006,-0.399586070443706,-0.776318769414137,-1.41765376957737,TRUE,TRUE,TRUE,TRUE,TRUE
8,6,0.171664113504775,0.126388199113859,0.583475109105703,0.294673334921013,0.0529801324503311,-0.246061465460801,-0.0708521355490094,-0.37141756792639,-0.914779666196674,-0.260380196555331,-1.3712708535456,-0.942857142857143,-0.942857142857143,-0.942857142857143,1,-0.411810995600928,-0.457086909991844,-0.530494976655372,-0.175209329911792,-0.300565432377381,-0.654399469641343,-1.11089065699027,TRUE,TRUE,TRUE,TRUE,TRUE
8,7,0.183665202775299,0.142786645605735,0.599487742407611,0.299770260635348,0.0767386091127098,-0.228378886933136,-0.0686573341557466,-0.324121326814274,-0.848739409100204,-0.247773689388153,-1.18479913066157,-0.942857142857143,-0.942857142857143,-0.942857142857143,1,-0.415822539632312,-0.456701096801876,-0.522749133294901,-0.159721552777389,-0.255463992658527,-0.600965719712051,-0.937025441273417,TRUE,TRUE,TRUE,TRUE,TRUE
8,8,0.180887171755721,0.139838987324438,0.585537918871252,0.343952984843798,0.0903387703889586,-0.227655522971346,-0.0707257398325949,-0.298302070484924,-0.853629687330517,-0.257515253857746,-1.13099839596248,-1,-1,-1,1,-0.404650747115531,-0.445698931546814,-0.495199148482293,-0.156929783138751,-0.227576330652329,-0.596114433472771,-0.873483142104734,TRUE,TRUE,TRUE,TRUE,TRUE
8,9,0.168926432233182,0.127614742672512,0.588235294117647,0.339409176618479,0.0506329113924051,-0.252513228334986,-0.0701331247575275,-0.37592338643205,-0.947114473105629,-0.255135748013076,-1.41122613707625,-1,-1,-1,1,-0.419308861884465,-0.460620551445135,-0.537602382725242,-0.182380103577459,-0.305790261674523,-0.691978725092553,-1.15609038906317,TRUE,TRUE,TRUE,TRUE,TRUE
8,10,0.179968950075233,0.142628712072748,0.586222288349948,0.34325689856199,0.0509013785790032,-0.245132186282965,-0.0699999058490244,-0.388561252299183,-0.90834132420226,-0.258063639764011,-1.41512295431537,-1,-1,-1,1,-0.406253338274715,-0.4435935762772,-0.535320909770945,-0.175132280433941,-0.318561346450159,-0.650277684438249,-1.15705931455136,TRUE,TRUE,TRUE,TRUE,TRUE
