"Common_n","Framework_metric","Mean","Median","Q2.5","Q97.5","N_iterations"
8,"ExpSlope_D3D7_minus_D0",-0.165984316572076,-0.165945416716207,-0.191901073569262,-0.139737361095341,100
8,"ExpSlope_D7_minus_D0",-0.267920036685124,-0.270263049112205,-0.34561073334462,-0.181976869641284,100
8,"PowerSlope_D3D7_minus_D0",-0.623758145636815,-0.622786740159761,-0.713923319009472,-0.530250557331804,100
8,"PowerSlope_D7_minus_D0",-0.999641489901915,-1.00923717493939,-1.25217701485672,-0.697642936796386,100
8,"Prop_Groups_PowerLawBetter",1,1,1,1,100
8,"Spearman_ExpSlope_vs_DilutionRank",-0.957714285714286,-0.942857142857143,-1,-0.885714285714286,100
8,"Spearman_PowerSlope_vs_DilutionRank",-0.963428571428571,-0.942857142857143,-1,-0.885714285714286,100
8,"Spearman_ZetaLast_vs_DilutionRank",-0.969142857142857,-0.971428571428571,-1,-0.885714285714286,100
8,"ZetaLast_D3D7_minus_D0",-0.403222016227528,-0.402511050801745,-0.426554154201391,-0.382520478897048,100
8,"ZetaLast_D5D7_minus_D0",-0.445180847749883,-0.445529287630811,-0.469096894049173,-0.415642081856667,100
8,"ZetaLast_D7_minus_D0",-0.511766380542583,-0.513784757373699,-0.547193507478163,-0.459574636035899,100
10,"ExpSlope_D3D7_minus_D0",-0.129258489381854,-0.129959655254863,-0.149535391355529,-0.108589001515235,100
10,"ExpSlope_D7_minus_D0",-0.209982012396308,-0.211827570228415,-0.271369039824653,-0.140413289690997,100
10,"PowerSlope_D3D7_minus_D0",-0.584590909190647,-0.586550039238597,-0.661521743075054,-0.497603049319866,100
10,"PowerSlope_D7_minus_D0",-0.941587691225951,-0.946670401494673,-1.17549258215458,-0.660743350853081,100
10,"Prop_Groups_PowerLawBetter",1,1,1,1,100
10,"Spearman_ExpSlope_vs_DilutionRank",-0.945714285714286,-0.942857142857143,-1,-0.885714285714286,100
10,"Spearman_PowerSlope_vs_DilutionRank",-0.950857142857143,-0.942857142857143,-1,-0.885714285714286,100
10,"Spearman_ZetaLast_vs_DilutionRank",-0.964571428571429,-0.942857142857143,-1,-0.912857142857143,100
10,"ZetaLast_D3D7_minus_D0",-0.392713055353748,-0.392784780941087,-0.411073560016387,-0.371599591510857,100
10,"ZetaLast_D5D7_minus_D0",-0.434074626275891,-0.433817251237659,-0.456517349187013,-0.407014830104995,100
10,"ZetaLast_D7_minus_D0",-0.494300915194874,-0.497828448235712,-0.525719076292363,-0.444904044545977,100
12,"ExpSlope_D3D7_minus_D0",-0.106170189799097,-0.105999816797423,-0.122553482126756,-0.0940401682232072,100
12,"ExpSlope_D7_minus_D0",-0.172963008992539,-0.172358372237024,-0.222028455346385,-0.129544206395395,100
12,"PowerSlope_D3D7_minus_D0",-0.561057437817621,-0.559775127683048,-0.635931316140138,-0.50308182641722,100
12,"PowerSlope_D7_minus_D0",-0.905876355545094,-0.896941246388652,-1.13471846514416,-0.691400141478895,100
12,"Prop_Groups_PowerLawBetter",1,1,1,1,100
12,"Spearman_ExpSlope_vs_DilutionRank",-0.945142857142857,-0.942857142857143,-1,-0.885714285714286,100
12,"Spearman_PowerSlope_vs_DilutionRank",-0.949142857142857,-0.942857142857143,-1,-0.912857142857143,100
12,"Spearman_ZetaLast_vs_DilutionRank",-0.967428571428571,-0.942857142857143,-1,-0.942857142857143,100
12,"ZetaLast_D3D7_minus_D0",-0.385826983020701,-0.385096501713046,-0.400839353313122,-0.369619525602816,100
12,"ZetaLast_D5D7_minus_D0",-0.425652135686247,-0.424916335411715,-0.444672861949416,-0.40684892024161,100
12,"ZetaLast_D7_minus_D0",-0.481041742906232,-0.482533343659978,-0.509428117311264,-0.450575513305314,100
14,"ExpSlope_D3D7_minus_D0",-0.0903536462306022,-0.0900239823067524,-0.104404545615771,-0.0781398110373968,100
14,"ExpSlope_D7_minus_D0",-0.146799552814622,-0.145270833965056,-0.186600117424832,-0.107020151064101,100
14,"PowerSlope_D3D7_minus_D0",-0.545959031511057,-0.545137407125329,-0.616457312241287,-0.48107448332318,100
14,"PowerSlope_D7_minus_D0",-0.881035249601659,-0.877402521430194,-1.08942926458939,-0.656657394141331,100
14,"Prop_Groups_PowerLawBetter",1,1,1,1,100
14,"Spearman_ExpSlope_vs_DilutionRank",-0.939428571428571,-0.942857142857143,-0.942857142857143,-0.885714285714286,100
14,"Spearman_PowerSlope_vs_DilutionRank",-0.941142857142857,-0.942857142857143,-0.942857142857143,-0.912857142857143,100
14,"Spearman_ZetaLast_vs_DilutionRank",-0.964571428571429,-0.942857142857143,-1,-0.942857142857143,100
14,"ZetaLast_D3D7_minus_D0",-0.37928423038556,-0.379701113696436,-0.391495737551443,-0.367669186407107,100
14,"ZetaLast_D5D7_minus_D0",-0.419046989974733,-0.419917678645062,-0.436647743648242,-0.403121976435141,100
14,"ZetaLast_D7_minus_D0",-0.469638892283714,-0.470880246007046,-0.490656014003704,-0.43847346858305,100
