"Distance","Group1","Group2","F","R2","P","P.adj.BH"
"Bray-Curtis","D0","D1",135.538568358117,0.839047725479649,0.001,0.001
"Bray-Curtis","D0","D3",364.607309775043,0.919315657550159,0.001,0.001
"Bray-Curtis","D0","D5",77.2540346149767,0.70710463816946,0.001,0.001
"Bray-Curtis","D0","D6",51.5692798904505,0.497920618401494,0.001,0.001
"Bray-Curtis","D0","D7",26.957555594008,0.341418315083374,0.001,0.001
"Bray-Curtis","D1","D3",177.279444899766,0.847094395652061,0.001,0.001
"Bray-Curtis","D1","D5",47.8042702663526,0.599018951076206,0.001,0.001
"Bray-Curtis","D1","D6",30.4514647040722,0.369325939974093,0.001,0.001
"Bray-Curtis","D1","D7",16.6773591828052,0.242836349289632,0.001,0.001
"Bray-Curtis","D3","D5",5.91347907237858,0.134662049040385,0.001,0.001
"Bray-Curtis","D3","D6",10.621324087266,0.154781683806609,0.001,0.001
"Bray-Curtis","D3","D7",14.2791814805533,0.197555937796488,0.001,0.001
"Bray-Curtis","D5","D6",7.44861971625,0.113808660114502,0.001,0.001
"Bray-Curtis","D5","D7",9.9945245324002,0.146990137825549,0.001,0.001
"Bray-Curtis","D6","D7",5.238826479145,0.0629372938175379,0.001,0.001
"CLR/Aitchison","D0","D1",35.2634896084785,0.575603672494657,0.001,0.001
"CLR/Aitchison","D0","D3",96.0076093126582,0.750014861055329,0.001,0.001
"CLR/Aitchison","D0","D5",85.7879915823507,0.728325446676562,0.001,0.001
"CLR/Aitchison","D0","D6",89.9882098479422,0.633772409302944,0.001,0.001
"CLR/Aitchison","D0","D7",95.8984540778795,0.648407413558103,0.001,0.001
"CLR/Aitchison","D1","D3",45.5744415478934,0.587493002057338,0.001,0.001
"CLR/Aitchison","D1","D5",46.3275969882263,0.591459444302753,0.001,0.001
"CLR/Aitchison","D1","D6",53.0116710365862,0.504816945709939,0.001,0.001
"CLR/Aitchison","D1","D7",57.481386184753,0.525033416070853,0.001,0.001
"CLR/Aitchison","D3","D5",12.1342113710889,0.242034551641245,0.001,0.001
"CLR/Aitchison","D3","D6",21.8996237638861,0.274089197573725,0.001,0.001
"CLR/Aitchison","D3","D7",34.1096174088319,0.370315482447779,0.001,0.001
"CLR/Aitchison","D5","D6",7.82651007222441,0.118896020214914,0.001,0.001
"CLR/Aitchison","D5","D7",19.4654607664494,0.251279222686557,0.001,0.001
"CLR/Aitchison","D6","D7",9.37010382662523,0.107246110697304,0.001,0.001
