"Group","Dilution_strength","Process","Process_code","Mean","SD","N","SE","Mean_percent","SE_percent"
"D0",0,"Homogeneous selection","HoS",0.234149796548211,0.046285570590956,91,0.00485204618095211,23.4149796548211,0.485204618095211
"D0",0,"Heterogeneous selection","HeS",0.000223001408416707,0.000218835094500444,91,2.29401511307423e-05,0.0223001408416707,0.00229401511307423
"D0",0,"Dispersal limitation","DL",0.300811372654955,0.202339868600699,91,0.0212109816118419,30.0811372654955,2.12109816118419
"D0",0,"Homogenizing dispersal","HD",0.0510275112436906,0.0694644836846767,91,0.00728185649373637,5.10275112436906,0.728185649373637
"D0",0,"Drift","DR",0.413788318144727,0.133035936677838,91,0.0139459555158475,41.3788318144727,1.39459555158475
"D1",1,"Homogeneous selection","HoS",0.548753274960145,0.110218638515416,91,0.0115540527479845,54.8753274960145,1.15540527479845
"D1",1,"Heterogeneous selection","HeS",0.000461006231372829,0.000502519295744105,91,5.26783357888723e-05,0.0461006231372829,0.00526783357888723
"D1",1,"Dispersal limitation","DL",0.254092094615115,0.0920143090536567,91,0.00964572049423926,25.4092094615115,0.964572049423926
"D1",1,"Homogenizing dispersal","HD",0.0124392113308853,0.0191701032804758,91,0.00200957285873159,1.24392113308853,0.200957285873159
"D1",1,"Drift","DR",0.184254412862482,0.107088665026241,91,0.0112259423731802,18.4254412862482,1.12259423731802
"D3",3,"Homogeneous selection","HoS",0.764449331740405,0.204894852819573,190,0.0148646349490387,76.4449331740405,1.48646349490387
"D3",3,"Heterogeneous selection","HeS",0.00013608437534026,0.000440074313207429,190,3.19263462515464e-05,0.013608437534026,0.00319263462515464
"D3",3,"Dispersal limitation","DL",0.00189214477357361,0.00757208732148942,190,0.00054933695154997,0.189214477357361,0.054933695154997
"D3",3,"Homogenizing dispersal","HD",0.00579393611996206,0.0079600649999827,190,0.00057748381068194,0.579393611996207,0.057748381068194
"D3",3,"Drift","DR",0.227728502990719,0.205263617608485,190,0.0148913879586619,22.7728502990719,1.48913879586619
"D5",5,"Homogeneous selection","HoS",0.593838512625223,0.227155661401904,190,0.0164796037425113,59.3838512625223,1.64796037425113
"D5",5,"Heterogeneous selection","HeS",0.000253371579563654,0.000859808375701376,190,6.23770556217014e-05,0.0253371579563654,0.00623770556217014
"D5",5,"Dispersal limitation","DL",0.106728755536202,0.127958308887708,190,0.00928307141022728,10.6728755536202,0.928307141022728
"D5",5,"Homogenizing dispersal","HD",0.00168625528692119,0.00189444292404628,190,0.000137437334858454,0.168625528692119,0.0137437334858454
"D5",5,"Drift","DR",0.29749310497209,0.221425777045871,190,0.0160639142408934,29.749310497209,1.60639142408934
"D6",6,"Homogeneous selection","HoS",0.695315200869842,0.234237011610686,780,0.00838703040324797,69.5315200869842,0.838703040324797
"D6",6,"Heterogeneous selection","HeS",0.0523667767085246,0.103660179855126,780,0.00371162983199292,5.23667767085246,0.371162983199292
"D6",6,"Dispersal limitation","DL",0.0318200087069276,0.0653531086294551,780,0.00234001665771338,3.18200087069276,0.234001665771338
"D6",6,"Homogenizing dispersal","HD",0.000427877449737202,0.00073510363916315,780,2.63209324982624e-05,0.0427877449737202,0.00263209324982624
"D6",6,"Drift","DR",0.220070136264969,0.20238398512591,780,0.00724650910080198,22.0070136264969,0.724650910080198
"D7",7,"Homogeneous selection","HoS",0.503891274318375,0.264725417988932,780,0.009478690467909,50.3891274318375,0.9478690467909
"D7",7,"Heterogeneous selection","HeS",0.0779236972054365,0.134858522529886,780,0.00482870969373165,7.79236972054365,0.482870969373165
"D7",7,"Dispersal limitation","DL",0.10017245800696,0.172297306145661,780,0.00616923318439167,10.017245800696,0.616923318439167
"D7",7,"Homogenizing dispersal","HD",1.00773772169173e-05,3.499987663917e-05,780,1.25319661254275e-06,0.00100773772169173,0.000125319661254275
"D7",7,"Drift","DR",0.318002493092011,0.218438363583105,780,0.00782134806113474,31.8002493092011,0.782134806113474
