"Bins","Group","Process","Relative importance","Family","Phylum","Rank_within_group_process","Shown_in_Fig4D"
"Bin1","D0","DL",0.000251611057950386,"LK-44f","Cloacimonadota",56,"No"
"Bin1","D0","DR",0.00112728090887526,"LK-44f","Cloacimonadota",37,"No"
"Bin1","D0","HoS",0,"LK-44f","Cloacimonadota",66,"No"
"Bin1","D1","DL",0.0065443074504161,"LK-44f","Cloacimonadota",8,"No"
"Bin1","D1","DR",0,"LK-44f","Cloacimonadota",102,"No"
"Bin1","D1","HoS",0.000361735470699141,"LK-44f","Cloacimonadota",49,"No"
"Bin1","D3","DL",0,"LK-44f","Cloacimonadota",11,"No"
"Bin1","D3","DR",1.85296281535271e-05,"LK-44f","Cloacimonadota",63,"No"
"Bin1","D3","HoS",4.5811455089469e-05,"LK-44f","Cloacimonadota",44,"No"
"Bin1","D5","DL",0,"LK-44f","Cloacimonadota",17,"No"
"Bin1","D5","DR",7.83686826645655e-07,"LK-44f","Cloacimonadota",81,"No"
"Bin1","D5","HoS",1.60034655372669e-07,"LK-44f","Cloacimonadota",65,"No"
"Bin1","D6","DL",0,"LK-44f","Cloacimonadota",27,"No"
"Bin1","D6","DR",9.35755565249544e-07,"LK-44f","Cloacimonadota",83,"No"
"Bin1","D6","HoS",3.77475084374218e-08,"LK-44f","Cloacimonadota",82,"No"
"Bin1","D7","DL",0,"LK-44f","Cloacimonadota",26,"No"
"Bin1","D7","DR",0,"LK-44f","Cloacimonadota",95,"No"
"Bin1","D7","HoS",0,"LK-44f","Cloacimonadota",73,"No"
"Bin2","D0","DL",0,"MSBL8","Cloacimonadota",67,"No"
"Bin2","D0","DR",0.000698476346017812,"MSBL8","Cloacimonadota",53,"No"
"Bin2","D0","HoS",2.3489768433079e-05,"MSBL8","Cloacimonadota",55,"No"
"Bin2","D1","DL",0.00707261613279214,"MSBL8","Cloacimonadota",7,"No"
"Bin2","D1","DR",0.00053372970890887,"MSBL8","Cloacimonadota",32,"No"
"Bin2","D1","HoS",0.00112677908036253,"MSBL8","Cloacimonadota",34,"No"
"Bin2","D3","DL",0,"MSBL8","Cloacimonadota",11,"No"
"Bin2","D3","DR",8.79099902837751e-06,"MSBL8","Cloacimonadota",72,"No"
"Bin2","D3","HoS",3.69845225719445e-06,"MSBL8","Cloacimonadota",73,"No"
"Bin2","D5","DL",0,"MSBL8","Cloacimonadota",17,"No"
