"Bins","Group","Process","Relative importance","Family","Phylum","Rank_within_group_process"
"Bin75","D3","HoS",0.338319614292688,"Vibrionaceae","Proteobacteria",1
"Bin100","D3","HoS",0.323074993330754,"Fusobacteriaceae","Fusobacteriota",2
"Bin100","D6","HoS",0.256298581775384,"Fusobacteriaceae","Fusobacteriota",1
"Bin100","D5","HoS",0.238288347890337,"Fusobacteriaceae","Fusobacteriota",1
"Bin75","D5","HoS",0.218093959032613,"Vibrionaceae","Proteobacteria",2
"Bin100","D7","DR",0.143106690896227,"Fusobacteriaceae","Fusobacteriota",1
"Bin107","D0","DR",0.133989621038099,"uncultured","Firmicutes",1
"Bin75","D6","HoS",0.129798685371658,"Vibrionaceae","Proteobacteria",2
"Bin75","D5","DR",0.119058761700767,"Vibrionaceae","Proteobacteria",1
"Bin100","D7","HoS",0.116159597544655,"Fusobacteriaceae","Fusobacteriota",1
"Bin100","D3","DR",0.112901437197821,"Fusobacteriaceae","Fusobacteriota",1
"Bin71","D6","HoS",0.109182338727923,"Shewanellaceae","Proteobacteria",3
"Bin100","D6","DR",0.104670080376048,"Fusobacteriaceae","Fusobacteriota",1
"Bin107","D1","HoS",0.0930138092550458,"uncultured","Firmicutes",1
"Bin100","D1","DR",0.0885349770924103,"Fusobacteriaceae","Fusobacteriota",1
"Bin46","D1","HoS",0.0832223360395384,"Bacteroidaceae","Bacteroidota",2
"Bin73","D5","DL",0.0830497441865856,"Vibrionaceae","Proteobacteria",1
"Bin54","D7","HoS",0.0783393517168692,"Prolixibacteraceae","Bacteroidota",2
"Bin73","D5","DR",0.069041217949203,"Vibrionaceae","Proteobacteria",2
"Bin54","D6","HoS",0.0659106264769272,"Prolixibacteraceae","Bacteroidota",4
"Bin100","D5","DR",0.0659001213675158,"Fusobacteriaceae","Fusobacteriota",3
"Bin89","D0","DR",0.0652750685962259,"Clostridiaceae","Firmicutes",2
"Bin75","D7","HoS",0.0595547249393364,"Vibrionaceae","Proteobacteria",3
"Bin89","D0","DL",0.0592932433145298,"Clostridiaceae","Firmicutes",1
"Bin34","D7","DR",0.0580246132891409,"Marinifilaceae","Bacteroidota",2
"Bin100","D1","DL",0.0568942548048797,"Fusobacteriaceae","Fusobacteriota",1
"Bin73","D3","DR",0.051834286096128,"Vibrionaceae","Proteobacteria",2
"Bin102","D0","HoS",0.0483314740686,"Dethiosulfatibacteraceae","Firmicutes",1
"Bin34","D7","HoS",0.0443113735553673,"Marinifilaceae","Bacteroidota",4
"Bin71","D7","HoS",0.0426491027101956,"Shewanellaceae","Proteobacteria",5
"Bin100","D1","HoS",0.0422603283395954,"Fusobacteriaceae","Fusobacteriota",3
"Bin109","D1","HoS",0.040775929334161,"livecontrolB21","Firmicutes",4
"Bin93","D6","HoS",0.0406298795967137,"Exiguobacteraceae","Firmicutes",5
"Bin71","D7","DR",0.039362620113517,"Shewanellaceae","Proteobacteria",3
"Bin93","D7","HoS",0.0384673811559091,"Exiguobacteraceae","Firmicutes",6
"Bin101","D7","HoS",0.0372564687946593,"Fusobacteriaceae","Fusobacteriota",7
"Bin104","D1","HoS",0.035892126771738,"Dethiosulfatibacteraceae","Firmicutes",5
"Bin34","D1","HoS",0.0331021718881773,"Marinifilaceae","Bacteroidota",6
