OTUID	Kingdom	Phylum	Class	Order	Family	Genus
OTU_8	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
OTU_11	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_9	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio
OTU_5	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_2	Bacteria	TA06	terrestrial__metagenome	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_7	Bacteria	Latescibacterota	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_10	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	Candidatus__Cloacimonas
OTU_13	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_17	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	uncultured__bacterium	uncultured__bacterium
OTU_3	Bacteria	TA06	terrestrial__metagenome	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_4	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_6	Bacteria	Myxococcota	Polyangia	MidBa8	uncultured__delta__proteobacterium	uncultured__bacterium
OTU_15	Bacteria	Thermotogota	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga
OTU_16	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
OTU_12	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_23	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	SHA-4	uncultured__bacterium
OTU_26	Bacteria	Gemmatimonadota	PAUC43f__marine__benthic__group	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_27	Bacteria	Thermotogota	Thermotogae	Kosmotogales	Kosmotogaceae	uncultured
OTU_28	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
OTU_30	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	PBS-18	uncultured__bacterium
OTU_32	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_31	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup__23
OTU_34	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_36	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_19	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup__23
OTU_35	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
OTU_37	Bacteria	Latescibacterota	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_39	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_20	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	LNR__A2-18
OTU_38	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup__23
OTU_21	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	uncultured__bacterium	uncultured__bacterium
OTU_22	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_25	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	PBS-18	uncultured__bacterium
OTU_40	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	uncultured
OTU_44	Bacteria	Acidobacteriota	Aminicenantia	Aminicenantales	uncultured__bacterium	uncultured__bacterium
OTU_24	Bacteria	Latescibacterota	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_45	Bacteria	Myxococcota	bacteriap25	uncultured__delta__proteobacterium	uncultured__bacterium	uncultured__bacterium
OTU_47	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_29	Bacteria	Latescibacterota	saltmarsh__clone__LCP-67	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_43	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup__23
OTU_46	Bacteria	Marinimicrobia__(SAR406__clade)	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_33	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_18	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured__bacterium	uncultured__bacterium
OTU_42	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	uncultured__bacterium
OTU_48	Bacteria	Latescibacterota	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_52	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Halodesulfovibrio
OTU_50	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
OTU_53	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_56	Bacteria	Latescibacterota	uncultured__organism	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_55	Bacteria	Latescibacterota	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_54	Bacteria	Latescibacterota	uncultured__Bacteroidetes__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_49	Bacteria	Latescibacterota	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_60	Bacteria	Fermentibacterota	Fermentibacteria	Fermentibacterales	Fermentibacteraceae	uncultured__bacterium
OTU_58	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_61	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_59	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_51	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	Cloacimonadaceae	LNR__A2-18
OTU_63	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_62	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
OTU_66	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup__23
OTU_65	Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio
OTU_57	Bacteria	WPS-2	bacterium__ADurb.Bin236	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
OTU_64	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_69	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
OTU_72	Bacteria	Cyanobacteria	Vampirivibrionia	Gastranaerophilales	uncultured__bacterium	uncultured__bacterium
OTU_68	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_67	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
OTU_75	Bacteria	Cloacimonadota	Cloacimonadia	Cloacimonadales	CW-1__termite__group	uncultured__bacterium
