SampleID	Group
D001	D0
D002	D0
D003	D0
D004	D0
D005	D0
D006	D0
D007	D0
D008	D0
D009	D0
D010	D0
D011	D0
D012	D0
D013	D0
D014	D0
D101	D1
D102	D1
D103	D1
D104	D1
D105	D1
D106	D1
D107	D1
D108	D1
D109	D1
D110	D1
D111	D1
D112	D1
D113	D1
D114	D1
D301	D3
D302	D3
D303	D3
D304	D3
D305	D3
D306	D3
D307	D3
D308	D3
D309	D3
D310	D3
D311	D3
D312	D3
D313	D3
D314	D3
D315	D3
D316	D3
D317	D3
D318	D3
D319	D3
D320	D3
D501	D5
D502	D5
D503	D5
D504	D5
D505	D5
D506	D5
D507	D5
D508	D5
D509	D5
D510	D5
D511	D5
D512	D5
D513	D5
D514	D5
D515	D5
D516	D5
D517	D5
D518	D5
D519	D5
D520	D5
D601	D6
D602	D6
D603	D6
D604	D6
D605	D6
D606	D6
D607	D6
D608	D6
D609	D6
D610	D6
D611	D6
D612	D6
D613	D6
D614	D6
D615	D6
D616	D6
D617	D6
D618	D6
D619	D6
D620	D6
D621	D6
D622	D6
D623	D6
D624	D6
D625	D6
D626	D6
D627	D6
D628	D6
D629	D6
D630	D6
D631	D6
D632	D6
D633	D6
D634	D6
D635	D6
D636	D6
D637	D6
D638	D6
D639	D6
D640	D6
D701	D7
D702	D7
D703	D7
D704	D7
D705	D7
D706	D7
D707	D7
D708	D7
D709	D7
D710	D7
D711	D7
D712	D7
D713	D7
D714	D7
D715	D7
D716	D7
D717	D7
D718	D7
D719	D7
D720	D7
D721	D7
D722	D7
D723	D7
D724	D7
D725	D7
D726	D7
D727	D7
D728	D7
D729	D7
D730	D7
D731	D7
D732	D7
D733	D7
D734	D7
D735	D7
D736	D7
D737	D7
D738	D7
D739	D7
D740	D7
