"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","D001","D002",0.000414469828867122,0.23174537055404,0.259818619116373,0.0110491393101835,0.496972401190536
"CbMPDiCbraya","D001","D003",0.000196481636278043,0.221201975357983,0.510827229969636,0.0128540498680115,0.254920263168091
"CbMPDiCbraya","D001","D004",0,0.355573507541031,0,0.189208782186534,0.455217710272436
"CbMPDiCbraya","D001","D005",0,0.353570778924981,0.00257810557962764,0.215230080587501,0.428621034907891
"CbMPDiCbraya","D001","D006",0.000346835666718509,0.352761128456313,0,0.156558184313763,0.490333851563205
"CbMPDiCbraya","D001","D007",0,0.378269501360326,0.00782871591233626,0.0815458460025993,0.532355936724738
"CbMPDiCbraya","D001","D008",0.000489737009074509,0.231507131896347,0.255854784416309,0.0101262402316557,0.502022106446614
"CbMPDiCbraya","D001","D009",0.000475202737880526,0.230746601369525,0.253339703919925,0.0126950703199649,0.502743421652704
"CbMPDiCbraya","D001","D010",0.000399844033377554,0.228026439437332,0.303471577228137,0.0160887230662331,0.45201341623492
"CbMPDiCbraya","D001","D011",0.000592387888661959,0.231475102400816,0.254347938868812,0.0161931026593791,0.497391468182332
"CbMPDiCbraya","D001","D012",0.000196477892731005,0.223535449681799,0.505818580460834,0.0147360126447064,0.255713479319929
"CbMPDiCbraya","D001","D013",0.000181189248635174,0.201880650444254,0.521805959533153,0.0119410070465311,0.264191193727426
"CbMPDiCbraya","D001","D014",0.000181192058874021,0.214913843239476,0.503408790287912,0.0155143216391348,0.265981852774603
"CbMPDiCbraya","D001","D101",0.00287069814490159,0.547681211258283,0.429414763703301,0.00085631633540275,0.0191770105581119
"CbMPDiCbraya","D001","D102",0.00266216749013044,0.457248855989588,0.515103871713124,0.000632318980841978,0.0243527858263149
"CbMPDiCbraya","D001","D103",0.00327132705908368,0.391550497260079,0.586060489234201,0.00255993361509447,0.016557752831542
"CbMPDiCbraya","D001","D104",0.00330184852772019,0.453773634869073,0.514342200919647,0.00185387655484705,0.0267284391287129
"CbMPDiCbraya","D001","D105",0.00129358089747878,0.424778370523401,0.550288349593677,0.00208425470190531,0.0215554442835377
"CbMPDiCbraya","D001","D106",0.000577911786761405,0.458436774155814,0.515455260815789,0.00177592782546924,0.0237541254161664
"CbMPDiCbraya","D001","D107",0.002310043406486,0.45638619131041,0.521243062094559,0.0008853068795235,0.0191753963090215
"CbMPDiCbraya","D001","D108",0.00384995483987657,0.447107613236721,0.533805450711852,0.000973859771886347,0.0142631214396644
"CbMPDiCbraya","D001","D109",0.0021080278738921,0.44475498612128,0.532775034215176,0.00126613055440952,0.0190958212352426
"CbMPDiCbraya","D001","D110",0.000548896795375404,0.458051139022318,0.379407460349421,0.00301876563886265,0.158973738194023
"CbMPDiCbraya","D001","D111",0.00324304271006082,0.446349556277453,0.534440399454311,0.00151052899518058,0.0144564725629946
"CbMPDiCbraya","D001","D112",0.000791477134085639,0.464808866913429,0.51172591964705,0.00202362870232563,0.0206501076031099
"CbMPDiCbraya","D001","D113",0.00307944952858624,0.388180412452076,0.589317285753949,0.00218588760511946,0.017236964660269
"CbMPDiCbraya","D001","D114",0.00206219301114791,0.436550545567578,0.543555204010065,0.00141294956107067,0.0164191078501383
"CbMPDiCbraya","D001","D301",0.0149033524118614,0.422264674880129,0.264943914004323,0.00855890999240097,0.289329148711286
"CbMPDiCbraya","D001","D302",0.00629681649645249,0.413099308882104,0.325238840723436,0.0169966878231232,0.238368346074884
"CbMPDiCbraya","D001","D303",0.0088221987633841,0.330596800529136,0.307287885960929,0.0207286191719462,0.332564495574605
