"","taxon.name"
"1","OTU_2917"
"2","OTU_3147"
"3","OTU_306"
"4","OTU_278"
"5","OTU_286"
"6","OTU_321"
"7","OTU_281"
"8","OTU_512"
"9","OTU_513"
"10","OTU_2741"
"11","OTU_3027"
"12","OTU_2959"
"13","OTU_2925"
"14","OTU_3177"
"15","OTU_3160"
"16","OTU_2669"
"17","OTU_2819"
"18","OTU_2871"
"19","OTU_2253"
"20","OTU_2399"
"21","OTU_2389"
"22","OTU_2510"
"23","OTU_2585"
"24","OTU_2338"
"25","OTU_2387"
"26","OTU_2385"
"27","OTU_2511"
"28","OTU_2379"
"29","OTU_2171"
"30","OTU_2826"
"31","OTU_2375"
"32","OTU_1924"
"33","OTU_2502"
"34","OTU_2513"
"35","OTU_2749"
"36","OTU_2856"
"37","OTU_2647"
"38","OTU_2868"
"39","OTU_731"
"40","OTU_2636"
"41","OTU_2702"
"42","OTU_2714"
"43","OTU_2735"
"44","OTU_2779"
"45","OTU_2657"
"46","OTU_2865"
"47","OTU_2400"
"48","OTU_2762"
"49","OTU_2555"
"50","OTU_2113"
"51","OTU_2646"
"52","OTU_2497"
"53","OTU_2615"
"54","OTU_2767"
"55","OTU_2723"
"56","OTU_2720"
"57","OTU_2622"
"58","OTU_2634"
"59","OTU_2784"
"60","OTU_2824"
"61","OTU_2668"
"62","OTU_2381"
"63","OTU_2506"
"64","OTU_2596"
"65","OTU_2882"
"66","OTU_2515"
"67","OTU_2825"
"68","OTU_2485"
"69","OTU_2401"
"70","OTU_2336"
"71","OTU_2363"
"72","OTU_2501"
"73","OTU_2354"
"74","OTU_2528"
"75","OTU_2353"
"76","OTU_2366"
"77","OTU_2344"
"78","OTU_2261"
"79","OTU_2085"
"80","OTU_2229"
"81","OTU_2149"
"82","OTU_2258"
"83","OTU_2109"
"84","OTU_2268"
"85","OTU_2843"
"86","OTU_2652"
"87","OTU_2823"
"88","OTU_2818"
"89","OTU_2719"
"90","OTU_2653"
"91","OTU_2737"
"92","OTU_2774"
"93","OTU_2732"
"94","OTU_2604"
"95","OTU_2814"
"96","OTU_2699"
"97","OTU_2605"
"98","OTU_2847"
"99","OTU_2822"
"100","OTU_2813"
"101","OTU_2686"
"102","OTU_2654"
"103","OTU_2649"
"104","OTU_2764"
"105","OTU_3040"
"106","OTU_3164"
"107","OTU_2910"
"108","OTU_3097"
"109","OTU_2915"
"110","OTU_2924"
"111","OTU_3090"
"112","OTU_2954"
"113","OTU_3047"
"114","OTU_2904"
"115","OTU_3128"
"116","OTU_2768"
"117","OTU_2736"
"118","OTU_2830"
"119","OTU_3144"
"120","OTU_2667"
"121","OTU_2769"
"122","OTU_2783"
"123","OTU_2930"
"124","OTU_3187"
"125","OTU_2943"
"126","OTU_2698"
"127","OTU_2713"
"128","OTU_2997"
"129","OTU_3055"
"130","OTU_2633"
"131","OTU_2625"
"132","OTU_2743"
"133","OTU_2807"
"134","OTU_2788"
"135","OTU_2834"
"136","OTU_2820"
"137","OTU_2614"
"138","OTU_2635"
"139","OTU_2701"
"140","OTU_2071"
"141","OTU_2070"
"142","OTU_3134"
"143","OTU_2612"
"144","OTU_2858"
"145","OTU_2700"
"146","OTU_2722"
"147","OTU_2832"
"148","OTU_2817"
"149","OTU_2665"
"150","OTU_2809"
"151","OTU_2672"
"152","OTU_2838"
"153","OTU_2613"
"154","OTU_2692"
"155","OTU_2685"
"156","OTU_2827"
"157","OTU_2833"
"158","OTU_2697"
"159","OTU_2771"
"160","OTU_2765"
"161","OTU_2873"
"162","OTU_2610"
"163","OTU_2683"
"164","OTU_2786"
"165","OTU_2842"
"166","OTU_2849"
"167","OTU_2673"
"168","OTU_2816"
"169","OTU_2675"
"170","OTU_2806"
"171","OTU_2717"
"172","OTU_2695"
"173","OTU_2761"
"174","OTU_2711"
"175","OTU_2796"
"176","OTU_2687"
"177","OTU_2787"
"178","OTU_3140"
"179","OTU_2343"
"180","OTU_2721"
"181","OTU_2734"
"182","OTU_2877"
"183","OTU_2712"
"184","OTU_2740"
"185","OTU_2212"
"186","OTU_2517"
"187","OTU_2846"
"188","OTU_2412"
"189","OTU_2884"
"190","OTU_2378"
"191","OTU_2420"
"192","OTU_2804"
"193","OTU_2844"
"194","OTU_3020"
"195","OTU_2808"
"196","OTU_2805"
"197","OTU_2611"
"198","OTU_2671"
"199","OTU_2638"
"200","OTU_2674"
"201","OTU_2696"
"202","OTU_2745"
"203","OTU_2777"
"204","OTU_2840"
"205","OTU_2248"
"206","OTU_2748"
"207","OTU_2739"
"208","OTU_2694"
"209","OTU_3074"
"210","OTU_3175"
"211","OTU_925"
"212","OTU_159"
