Bin	BinRA	TaxonID	Taxon.Phylum	Taxon.Class	Taxon.Order	Taxon.Family	Taxon.Genus
Bin1	0.000835722	OTU_11	Cloacimonadota	Cloacimonadia	Cloacimonadales	LK-44f	uncultured__bacterium
Bin2	0.000917538	OTU_4	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
Bin3	0.000139181	OTU_18	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured__bacterium	uncultured__bacterium
Bin4	0.000143045	OTU_2946	Cloacimonadota	Cloacimonadia	Cloacimonadales	MSBL8	uncultured__bacterium
Bin5	0.00073813	OTU_2848	Campilobacterota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum
Bin6	0.005834257	OTU_2731	Campilobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	Halarcobacter
Bin7	0.000191761	OTU_2359	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
Bin8	0.001434814	OTU_388	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
Bin9	0.006100797	OTU_564	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sphaerochaeta
Bin10	0.000333039	OTU_407	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta
Bin11	0.000290677	OTU_930	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	RBG-16-49-21
Bin12	7.69E-05	OTU_2953	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	uncultured__bacterium
Bin13	0.001042888	OTU_3309	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	uncultured	marine__sediment__metagenome
Bin14	0.000383734	OTU_2338	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45	uncultured__bacterium
Bin15	0.000526021	OTU_2113	Chloroflexi	Anaerolineae	RBG-13-54-9	uncultured__Chloroflexi__bacterium	uncultured__bacterium
Bin16	0.001615512	OTU_2596	Chloroflexi	Anaerolineae	SBR1031	uncultured__bacterium	uncultured__bacterium
Bin17	0.001901988	OTU_2904	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Bin18	0.000960075	OTU_2605	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Bin19	0.000714515	OTU_2613	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured
Bin20	0.000213799	OTU_2343	Chloroflexi	Anaerolineae	SBR1031	uncultured__bacterium	uncultured__bacterium
Bin21	0.000792862	OTU_2925	Chloroflexi	KD4-96	uncultured__bacterium	uncultured__bacterium	uncultured__bacterium
Bin22	0.001258859	OTU_2056	Thermotogota	Thermotogae	Petrotogales	Petrotogaceae	SC103
Bin23	0.000442726	OTU_154	Caldatribacteriota	JS1	uncultured__organism	uncultured__bacterium	uncultured__bacterium
