Bin,BinRA,TopTaxonID,TopTaxonRAinBin,TopTaxon.Kingdom,TopTaxon.Phylum,TopTaxon.Class,TopTaxon.Order,TopTaxon.Family,TopTaxon.Genus,Kingdom.maxNamed,Kingdom.maxNamed.Percent,Phylum.maxNamed,Phylum.maxNamed.Percent,Class.maxNamed,Class.maxNamed.Percent,Order.maxNamed,Order.maxNamed.Percent,Family.maxNamed,Family.maxNamed.Percent,Genus.maxNamed,Genus.maxNamed.Percent
Bin1,0.000835722,OTU_11,0.365928067,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,LK-44f,uncultured__bacterium,Bacteria,1,Cloacimonadota,0.929573984,Cloacimonadia,0.929573984,Cloacimonadales,0.929573984,LK-44f,0.484786463,uncultured__bacterium,0.689339875
Bin2,0.000917538,OTU_4,0.739517628,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,MSBL8,uncultured__bacterium,Bacteria,1,Cloacimonadota,1,Cloacimonadia,1,Cloacimonadales,1,MSBL8,0.986567891,uncultured__bacterium,0.993518796
Bin3,0.000139181,OTU_18,0.377856078,Bacteria,Nitrospirota,Thermodesulfovibrionia,uncultured,uncultured__bacterium,uncultured__bacterium,Bacteria,1,Cloacimonadota,0.53703442,Cloacimonadia,0.53703442,Cloacimonadales,0.53703442,LK-44f,0.53703442,uncultured__bacterium,1
Bin4,0.000143045,OTU_2946,0.146452593,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,MSBL8,uncultured__bacterium,Bacteria,1,Cloacimonadota,0.845780238,Cloacimonadia,0.845780238,Cloacimonadales,0.845780238,MSBL8,0.845780238,uncultured__bacterium,0.845780238
Bin5,0.00073813,OTU_2848,0.460886614,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,Bacteria,1,Campilobacterota,1,Campylobacteria,1,Campylobacterales,1,Sulfurovaceae,0.614516951,Sulfurovum,0.614516951
Bin6,0.005834257,OTU_2731,0.473919109,Bacteria,Campilobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,Bacteria,1,Campilobacterota,1,Campylobacteria,1,Campylobacterales,1,Arcobacteraceae,1,Halarcobacter,0.853294623
Bin7,0.000191761,OTU_2359,0.09339733,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Bacteria,1,Spirochaetota,0.919070263,Spirochaetia,0.919070263,Spirochaetales,0.919070263,Spirochaetaceae,0.919070263,Sphaerochaeta,0.897149252
Bin8,0.001434814,OTU_388,0.302270214,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Bacteria,1,Spirochaetota,1,Spirochaetia,1,Spirochaetales,1,Spirochaetaceae,1,Sphaerochaeta,0.837686801
Bin9,0.006100797,OTU_564,0.329089013,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta,Bacteria,1,Spirochaetota,1,Spirochaetia,1,Spirochaetales,1,Spirochaetaceae,1,Sphaerochaeta,0.999570272
Bin10,0.000333039,OTU_407,0.231860879,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta,Bacteria,1,Spirochaetota,0.979868116,Spirochaetia,0.924390791,Spirochaetales,0.924390791,Spirochaetaceae,0.924390791,Sediminispirochaeta,0.377359584
Bin11,0.000290677,OTU_930,0.250956647,Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,RBG-16-49-21,Bacteria,1,Spirochaetota,0.611752454,Leptospirae,0.611752454,Leptospirales,0.611752454,Leptospiraceae,0.611752454,RBG-16-49-21,0.604126295
Bin12,7.69E-05,OTU_2953,0.235005876,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,uncultured,uncultured__bacterium,Bacteria,1,Firmicutes,0.971345684,Clostridia,0.916182566,Peptostreptococcales-Tissierellales,0.760473639,uncultured,0.329709453,uncultured__bacterium,0.462703158
