"Group","Process","Observed","Mean","Stdev","Min","Quartile25","Median","Quartile75","Max","Lower.whisker","Lower.hinge","Median","Upper.hinge","Upper.whisker","Outlier1","Outlier2","Outlier3","Outlier4","Outlier5","Outlier6"
"D0","Heterogeneous.Selection","0.0002230014","0.0002220563","6.677412e-05","7.071183e-05","0.0001761815","0.0002228527","0.0002723809","0.0004082428","7.071183e-05","0.0001761815","0.0002228527","0.0002723809","0.0004082428",NA,NA,NA,NA,NA,NA
"D0","Homogeneous.Selection","0.2341497965","0.2346350687","1.215953e-02","2.071885e-01","0.2264241392","0.2327880210","0.2390221974","0.2731259129","2.156197e-01","0.2264241392","0.2327880210","0.2390221974","0.2567912222","0.26929944","0.2641945","0.27126441","0.27312591","0.26668371","0.2071885"
"D0","Dispersal.Limitation","0.3008113727","0.2998160383","3.342231e-02","1.534068e-01","0.2851722018","0.3078996130","0.3223806344","0.3539672827","2.354727e-01","0.2851722018","0.3078996130","0.3223806344","0.3539672827","0.21540138","0.2190514","0.15340677","0.21010771",NA,NA
"D0","Homogenizing.Dispersal","0.0510275112","0.0514268256","1.017675e-02","3.453530e-02","0.0448381867","0.0495314239","0.0550719932","0.0956521093","3.453530e-02","0.0448381867","0.0495314239","0.0550719932","0.0675590459","0.07306882","0.0782664","0.09565211","0.09411468","0.07272039",NA
"D0","Drift.and.Others","0.4137883181","0.4139000112","2.216900e-02","3.719549e-01","0.3982596871","0.4124967969","0.4248877793","0.4835059620","3.719549e-01","0.3982596871","0.4124967969","0.4248877793","0.4630670569","0.46941576","0.4673656","0.47926847","0.48350596",NA,NA
"D0","Stochasticity","0.7656272020","0.7651428751","1.219359e-02","7.266934e-01","0.7607057195","0.7670116982","0.7733860415","0.7927407885","7.429622e-01","0.7607057195","0.7670116982","0.7733860415","0.7842695284","0.73048701","0.7356211","0.72832735","0.72669343","0.73308085","0.7927408"
"D1","Heterogeneous.Selection","0.0004610062","0.0004761913","0.0001232896","0.0002404858","0.0003899219","0.0004664672","0.0005488644","0.0007734443","0.0002404858","0.0003899219","0.0004664672","0.0005488644","0.0007734443",NA,NA,NA,NA,NA,NA
"D1","Homogeneous.Selection","0.5487532750","0.5508882523","0.0353365878","0.4530578836","0.5224256079","0.5541656855","0.5724127337","0.6610561011","0.4530578836","0.5224256079","0.5541656855","0.5724127337","0.6227647414","0.66105610",NA,NA,NA,NA,NA
"D1","Dispersal.Limitation","0.2540920946","0.2521432534","0.0218528943","0.1994079865","0.2373112894","0.2534889013","0.2668904149","0.3075500187","0.1994079865","0.2373112894","0.2534889013","0.2668904149","0.3075500187",NA,NA,NA,NA,NA,NA
"D1","Homogenizing.Dispersal","0.0124392113","0.0131774339","0.0041779978","0.0088130851","0.0103606118","0.0117636139","0.0146774740","0.0372864552","0.0088130851","0.0103606118","0.0117636139","0.0146774740","0.0199440561","0.02417213","0.02777135","0.03728646",NA,NA,NA
"D1","Drift.and.Others","0.1842544129","0.1833148692","0.0315919343","0.1118880046","0.1613413798","0.1865288090","0.2058194425","0.2591257862","0.1118880046","0.1613413798","0.1865288090","0.2058194425","0.2591257862",NA,NA,NA,NA,NA,NA
