"Group1","Group2","Heterogeneous.Selection_Relative.Diff","Heterogeneous.Selection_Cohen.d","Heterogeneous.Selection_Effect.Size","Heterogeneous.Selection_P.value","Homogeneous.Selection_Relative.Diff","Homogeneous.Selection_Cohen.d","Homogeneous.Selection_Effect.Size","Homogeneous.Selection_P.value","Dispersal.Limitation_Relative.Diff","Dispersal.Limitation_Cohen.d","Dispersal.Limitation_Effect.Size","Dispersal.Limitation_P.value","Homogenizing.Dispersal_Relative.Diff","Homogenizing.Dispersal_Cohen.d","Homogenizing.Dispersal_Effect.Size","Homogenizing.Dispersal_P.value","Drift.and.Others_Relative.Diff","Drift.and.Others_Cohen.d","Drift.and.Others_Effect.Size","Drift.and.Others_P.value","Stochasticity_Relative.Diff","Stochasticity_Cohen.d","Stochasticity_Effect.Size","Stochasticity_P.value"
"D0","D1","-0.516272463926069","-2.56328911425527","large","0.0278972102789721","-0.573305878556776","-11.9680940431757","large","0","0.155310876804613","1.68833914314527","large","0.113588641135886","0.756225396306715","4.91708395541712","large","0.0002999700029997","0.554713352738882","8.44936120235147","large","0","0.411220346396541","11.9653082299043","large","0"
"D0","D3","0.389760018528814","1.19080837258437","large","0.181581841815818","-0.693701352298749","-15.8522214027812","large","0","0.993709862905536","12.599671909196","large","0","0.886454659873727","6.32228442881246","large","0","0.449649753256038","5.22761837048108","large","0","0.692520611524825","15.8455135962033","large","0"
"D0","D5","-0.119864158400279","-0.329752447437618","small","0.451954804519548","-0.605701227572646","-8.54421108335369","large","0","0.645197072855936","6.44328437606257","large","0.0003999600039996","0.966953997053311","6.90060971990801","large","0","0.281050015365492","2.98727776574652","large","0.0165983401659834","0.469835822562351","8.54000627637088","large","0"
"D0","D6","-0.995741547934907","-5.54712431779275","large","0","-0.663246544509182","-15.6773143371247","large","0","0.894219395942099","10.8967931319744","large","0","0.991614769380114","7.08776664144651","large","0","0.468157686877963","7.09126635510684","large","0","0.670442714485293","19.0047626475634","large","0"
"D0","D7","-0.99713820806232","-6.34575617971889","large","0","-0.53531682630355","-10.6956432157672","large","0","0.666992450708097","6.59430409225204","large","0.0002999700029997","0.999802510901055","7.14514753125189","large","0","0.231485087549556","2.94887373706846","large","0.0193980601939806","0.453800717424747","12.5916972052678","large","0"
"D0","D0_vs_D1","-0.936594749264826","-11.8700221330135","large","0","-0.453317982653325","-15.6558646245525","large","0","-0.437610121016849","-9.41269743007577","large","0","0.966511185395526","6.90964614004344","large","0","0.923673995257665","22.5533249251053","large","0","0.257899737607442","15.9296371030737","large","0"
"D0","D0_vs_D3","-0.982329128601052","-9.47014834285181","large","0","-0.347071095997004","-7.92860820766979","large","0","-0.302204989237236","-3.94268339756345","large","0.0004999500049995","0.661544109912622","4.67900865337581","large","0","0.564012028911294","10.4078202534784","large","0","0.178757306801168","8.83019027547496","large","0"
"D0","D0_vs_D5","-0.99063987006655","-12.0326496431671","large","0","-0.239350743442524","-3.38446887579285","large","0.0043995600439956","-0.271979765039623","-3.35184035269856","large","0.0004999500049995","-0.106221907801705","-0.534939858333463","medium","0.316268373162684","0.521340630784524","8.12395422785272","large","0","0.127060104254475","4.5409216193982","large","0"
"D0","D0_vs_D6","-0.99158682878993","-15.460690795278","large","0","-0.104355375698503","-1.72120507718212","large","0.0980901909809019","-0.242478141044212","-3.33964040351906","large","0.0001999800019998","0.13553849485574","0.802620043612719","large","0.281271872812719","0.345434387880889","7.00211261771368","large","0","0.0699622675019684","3.26013823540258","large","0.0084991500849915"
"D0","D0_vs_D7","-0.993471833794351","-17.4290849097315","large","0","0.0637770750667047","0.976920884398277","large","0.244375562443756","-0.122117966594505","-1.32113102498465","large","0.155084491550845","-0.373788207087801","-3.17590769177897","large","0.0263973602639736","0.220659783182969","4.11403788595842","large","0.0006999300069993","0.0248208196236786","1.01298494161338","large","0.234776522347765"
