Method,GroupBasedOn,Group,Index,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,bin50,bin51,bin52,bin53,bin54,bin55,bin56,bin57,bin58,bin59,bin60,bin61,bin62,bin63,bin64,bin65,bin66,bin67,bin68,bin69,bin70,bin71,bin72,bin73,bin74,bin75,bin76,bin77,bin78,bin79,bin80,bin81,bin82,bin83,bin84,bin85,bin86,bin87,bin88,bin89,bin90,bin91,bin92,bin93,bin94,bin95,bin96,bin97,bin98,bin99,bin100,bin101,bin102,bin103,bin104,bin105,bin106,bin107,bin108,bin109,bin110,bin111,bin112,bin113,bin114,bin115,bin116,bin117,bin118,bin119,bin120,bin121,bin122,bin123,bin124,bin125
CbMPDiCbraya,Group,D0,HeS,0,0,0,0,0,0.130305129,0.241644713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086390028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476866887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196712477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CbMPDiCbraya,Group,D0,HoS,0,0.024785242,0,0.330130058,1,0.716392375,0.0629072,0,1,0.224975971,0.139497376,0.043519204,1,0.099879802,0,0,0,0,0,0,0.149692376,0,0,0,0,0,0,0.048461478,0.19703933,0,0.978666648,0,0.031912227,0.612800264,0.06753394,0.352423272,0.00815223,0,1,0.615384615,0.872801367,0,0,0.939729472,0.197968528,1,0,0,0,1,0.449070134,0.097565655,0.690869706,1,0,0.746020138,0,0,0,0,0,0,0,0.247220284,0.696947429,0.870375858,0,0.320276758,0,0,0.439551632,0.636274173,0,0.088229071,0.500730004,0,0,0,0.011278396,0,0,0,0,0.023007379,0,0,0,0,0,0,0,0,0.132234724,0,0,0.591684787,0.120689822,0,0.380047024,0.011512339,1,1,0.011840258,1,1,0.079225273,0.103620401,1,1,0.662308605,0,0,0.401646908,0.0773493,0,0.486904301,0.382682875,0,0,0,0,1,0.815627198,1,0.453730777
CbMPDiCbraya,Group,D0,DL,0.140370928,0,0.234767044,0,0,0,0,0,0,0.529186143,0.600463243,0,0,0.768087365,0.751147982,0.71832933,0.698376157,0.707270875,0.726342066,0.754860198,0.674087346,0.586253055,0.751337276,0.648576372,0.821264693,0.757456136,0.759866782,0.657739993,0.634805914,0.849762805,0.011020486,0.830696391,0,0,0,0,0,0,0,0,0.023713062,0,0,0,0,0,0,0,0,0,0.342051298,0.037458868,0,0,0,0,0.576117347,0.41996603,0.737660636,0.639510496,0.534787095,0.348174011,0.794637467,0.555579417,0.238954131,0.099475111,0.696372598,0,0,0.102083861,0,0,0,0,0,0.726979768,0,0,0.703270181,0.471902289,0.820069175,0.727059964,0.787793926,0,0,0.702453966,0.803401841,0.706671035,0.466507083,0.551535564,0.404034051,0,0.117748482,0,0.752817402,0.248060098,0.283295139,0.064812378,0,0.286075116,0,0,0,0,0,0.428461228,0,0,0,0.165766219,0.532642753,0.224456008,0,0,0.539538544,0,0.187367794,0.445293654,0,0.689339243,0.307422311,0,0.092478865,0,0
CbMPDiCbraya,Group,D0,HD,0.230731961,0.238217062,0.162105408,0.669869942,0,0.153302496,0.695448087,0.499074046,0,0.040711154,0.01195737,0.923587447,0,0,0,0.010145347,0.008869658,0,0,0,0,0.040215653,0,0.008071127,0,0,0,0.019785572,0.008596846,0,0,0.024132117,0.809721212,0.118193348,0.846076031,0.588123582,0.99184777,0.372980417,0,0.384615385,0.020388657,0.251877727,1,0.014914616,0.69185255,0,0.528707938,0.774810875,0.107196974,0,0.009114939,0.277911946,0.265052862,0,0.857329167,0.165511107,0,0.033835994,0.04110186,0.016940155,0.106273131,0.254210282,0.010128127,0,0,0,0,0.444555555,0.237151067,0.239141014,0.440077679,0.363725827,0.923840354,0.911770929,0.488806989,0.068329149,1,0.186523649,0.009344216,0.070567927,0.031321411,0.012475125,0.020915313,0.50262411,0.468535093,0,0.009170194,0.014496579,0.019922059,0.010465533,0.131982186,0.590784836,0.094565819,0.123578382,0,0.020573464,0.015876707,0.135970905,0.451956043,0.15650868,0,0,0.182532204,0,0,0.032634053,0.022655587,0,0,0.055511393,0,0.281439969,0.011378004,0.9226507,0.107023805,0.513095699,0.082202389,0.179086262,0.989914794,0.011313335,0.035807359,0,0.039562719,0,0.12743542
CbMPDiCbraya,Group,D0,DR,0.628897111,0.736997696,0.603127548,0,0,0,0,0.500925954,0,0.205126733,0.248082011,0.032893349,0,0.132032833,0.248852018,0.271525324,0.292754185,0.292729125,0.273657934,0.245139802,0.176220279,0.373531292,0.248662724,0.343352501,0.178735307,0.242543864,0.240133218,0.274012957,0.15955791,0.150237195,0.010312866,0.145171492,0.158366561,0.269006389,0,0.059453145,0,0.627019583,0,0,0.083096913,0.748122273,0,0.045355912,0.110178922,0,0.471292062,0.225189125,0.41593614,0,0.199763629,0.587063531,0.044077432,0,0.142670833,0.088468755,0.423882653,0.546197976,0.221237504,0.343549348,0.358939775,0.397615707,0.195234405,0.1972003,0.064098439,0.030149031,0.303627402,0.03845521,0.762848933,0.658775125,0.12037069,0,0.076159646,0,0.010463007,0.204691083,0,0.813476351,0.276107207,0.457529784,0.148609414,0.260464911,0.191290762,0.474368511,0.531464907,0.297546034,0.187427965,0.278832386,0.513570858,0.437998903,0.463983763,0.409215164,0.655450975,0.876421618,0.247182598,0.139681651,0.580138332,0.799216717,0.167996933,0.545903865,0,0,0.805627538,0,0,0.459679446,0.873724013,0,0,0.116413783,0.467357247,0.494104023,0.586975088,0,0.353437651,0,0.347746942,0.375620085,0.010085206,0.299347423,0.65677033,0,0.052331219,0,0.418833803
CbMPDiCbraya,Group,D0,DominantProcess,DR,DR,DR,HD,HoS,HoS,HD,DR,HoS,DL,DL,HD,HoS,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,DL,HoS,DL,HD,HoS,HD,HD,HD,DR,HoS,HoS,HoS,DR,HD,HoS,HD,HoS,HD,HD,HeS,HoS,HoS,DR,HoS,HoS,HD,HoS,DL,DR,DL,DL,DL,DR,DL,DL,HoS,HoS,DL,HD,DR,DR,HD,HoS,HD,HD,HoS,DL,HD,DR,DL,DL,DL,DL,DL,HD,DR,DL,DL,DL,DR,DL,DR,HD,DR,DR,DL,HoS,DR,DR,HD,DR,HoS,HoS,DR,HoS,HoS,DR,DR,HoS,HoS,HoS,DL,DR,DR,HD,DL,HD,HoS,DL,HD,DL,DR,HoS,HoS,HoS,HoS
CbMPDiCbraya,Group,D0,DominantProcessImportance,0.628897111,0.736997696,0.603127548,0.669869942,1,0.716392375,0.695448087,0.500925954,1,0.529186143,0.600463243,0.923587447,1,0.768087365,0.751147982,0.71832933,0.698376157,0.707270875,0.726342066,0.754860198,0.674087346,0.586253055,0.751337276,0.648576372,0.821264693,0.757456136,0.759866782,0.657739993,0.634805914,0.849762805,0.978666648,0.830696391,0.809721212,0.612800264,0.846076031,0.588123582,0.99184777,0.627019583,1,0.615384615,0.872801367,0.748122273,1,0.939729472,0.69185255,1,0.528707938,0.774810875,0.476866887,1,0.449070134,0.587063531,0.690869706,1,0.857329167,0.746020138,0.576117347,0.546197976,0.737660636,0.639510496,0.534787095,0.397615707,0.794637467,0.555579417,0.696947429,0.870375858,0.696372598,0.444555555,0.762848933,0.658775125,0.440077679,0.636274173,0.923840354,0.911770929,0.500730004,0.726979768,1,0.813476351,0.703270181,0.471902289,0.820069175,0.727059964,0.787793926,0.50262411,0.531464907,0.702453966,0.803401841,0.706671035,0.513570858,0.551535564,0.463983763,0.590784836,0.655450975,0.876421618,0.752817402,0.591684787,0.580138332,0.799216717,0.451956043,0.545903865,1,1,0.805627538,1,1,0.459679446,0.873724013,1,1,0.662308605,0.532642753,0.494104023,0.586975088,0.9226507,0.539538544,0.513095699,0.382682875,0.445293654,0.989914794,0.689339243,0.65677033,1,0.815627198,1,0.453730777
CbMPDiCbraya,Group,D0,DominantProcessPvalue,0.01,0,0.02,0.15,0,0,0.02,0.41,0,0.07,0.03,0,0,0,0,0,0,0,0,0,0.01,0.05,0,0.02,0,0,0,0.01,0.01,0,0,0,0,0.16,0.01,0.18,0,0.1,0,0.22,0,0,0,0,0.02,0,0.48,0,0.44,0,0.32,0,0.05,0,0,0,0.11,0.29,0,0.03,0.1,0.35,0,0.13,0.02,0,0.02,0.14,0,0,0.53,0.14,0,0,0.66,0.01,0,0,0,0.43,0,0,0,0.58,0.19,0.04,0,0,0.53,0.22,0.3,0.18,0.02,0,0,0.07,0.04,0,0.4,0.17,0,0,0,0,0,0.5,0,0,0,0.02,0.37,0.1,0.29,0,0.05,0.46,0.54,0.37,0,0.01,0.12,0,0,0,0.5
CbMPDiCbraya,Group,D1,HeS,0,0,0.115609795,0,0,0,0,0,0,0,0.103919821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074137617,0,0,0,0,0,0,0,0.092936135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108904491,0,0,0,0,0,0,0.044740037,0.041437684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097396718,0
CbMPDiCbraya,Group,D1,HoS,0.052379557,0.129023584,0.034231298,0.536270957,0,0,0.013640944,0,1,0,0.26303347,0.670516147,1,0.088770579,0.009687346,0,0.376868084,0,0,0,0,0.343322515,0.066829667,0.030022178,0,0,0,0.032071438,0.987668467,0,0.843478576,0,0.015537688,0.94049185,0,0.086474301,0.505643467,0.037700521,1,0.297606305,0.366579153,0,0,0.393319519,0,1,0.287507415,0,0,0.932422394,0.046348529,0.015868026,0.665237341,1,0,0.575499376,0.357333471,0,0.132373994,0,0.0121977,0.099785997,0.009246318,0.022768217,0.483386849,0.058915775,0,0.017928659,1,1,0,0.278764793,0.23531759,0.172261959,0.911699791,0.116411029,0,0,0,0.595329862,0.03427418,0,0.819656976,0.013491347,0,0,0,0.777557493,0,0.68223347,0,1,0.009608992,0,0,0,0,0.409381026,0,0.222857319,0.976165567,0.401201211,0.570717681,1,1,0,0.753962895,1,1,0,0,1,1,0.788259443,0,0.786217982,0.008464491,0.990000091,0.601417286,0.010358595,0.356856203,1,0.166070742,0,0.139913396
