Method,GroupBasedOn,Group,HeS,HoS,DL,HD,DR
CbMPDiCbraya,Group,D0,0.000223001,0.234149797,0.300811373,0.051027511,0.413788318
CbMPDiCbraya,Group,D1,0.000461006,0.548753275,0.254092095,0.012439211,0.184254413
CbMPDiCbraya,Group,D3,0.000136084,0.764449332,0.001892145,0.005793936,0.227728503
CbMPDiCbraya,Group,D5,0.000253372,0.593838513,0.106728756,0.001686255,0.297493105
CbMPDiCbraya,Group,D6,0.052366777,0.695315201,0.031820009,0.000427877,0.220070136
CbMPDiCbraya,Group,D7,0.077923697,0.503891274,0.100172458,1.01E-05,0.318002493
CbMPDiCbraya,Group,D0_vs_D1,0.003517081,0.428310771,0.534880488,0.001708851,0.031582809
CbMPDiCbraya,Group,D0_vs_D3,0.012619718,0.358614537,0.431088454,0.017270562,0.180406729
CbMPDiCbraya,Group,D0_vs_D5,0.023824606,0.307828864,0.41319095,0.057091924,0.198063655
CbMPDiCbraya,Group,D0_vs_D6,0.026506225,0.261431588,0.397099264,0.044111319,0.270851604
CbMPDiCbraya,Group,D0_vs_D7,0.034159885,0.219216407,0.342655802,0.081486027,0.322481878
CbMPDiCbraya,Group,D1_vs_D3,0.015912241,0.544811088,0.163214116,0.018708299,0.257354256
CbMPDiCbraya,Group,D1_vs_D5,0.07014523,0.464796415,0.162737126,0.089157165,0.213164065
CbMPDiCbraya,Group,D1_vs_D6,0.074931973,0.453065824,0.142812186,0.081021188,0.24816883
CbMPDiCbraya,Group,D1_vs_D7,0.091822256,0.402737434,0.163093924,0.099743274,0.242603112
CbMPDiCbraya,Group,D3_vs_D5,0.001026082,0.676651755,0.067695553,0.001887924,0.252738686
CbMPDiCbraya,Group,D3_vs_D6,0.032706629,0.69802587,0.035818475,0.000666079,0.232782946
CbMPDiCbraya,Group,D3_vs_D7,0.052698399,0.601692477,0.063329319,0.000404063,0.281875743
CbMPDiCbraya,Group,D5_vs_D6,0.024835542,0.666493353,0.070932428,0.000782785,0.236955892
CbMPDiCbraya,Group,D5_vs_D7,0.045724391,0.586597042,0.071980948,0.000190878,0.295506741
CbMPDiCbraya,Group,D6_vs_D7,0.067525924,0.578770978,0.063505133,7.87E-05,0.290119277
