"ID","Bin","TaxonRelativeAbundance","Kingdom","Phylum","Class","Order","Family","Genus"
"OTU_8","Bin105",0.000847131497814569,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_11","Bin1",0.000305814128446174,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_9","Bin75",0.0843815685631463,"Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio"
"OTU_5","Bin85",0.00507963230356654,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_2","Bin24",2.17524984257128e-05,"Bacteria","TA06","terrestrial__metagenome","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_7","Bin25",1.32019371601067e-05,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_10","Bin1",0.000136414608943215,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Candidatus__Cloacimonas"
"OTU_13","Bin1",7.79650415446542e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_17","Bin23",7.59507846178503e-05,"Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured__bacterium","uncultured__bacterium"
"OTU_3","Bin24",1.13266865032486e-05,"Bacteria","TA06","terrestrial__metagenome","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_4","Bin2",0.000678535370989283,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_6","Bin81",7.00341550023482e-06,"Bacteria","Myxococcota","Polyangia","MidBa8","uncultured__delta__proteobacterium","uncultured__bacterium"
"OTU_15","Bin22",0.000159715233945942,"Bacteria","Thermotogota","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga"
"OTU_16","Bin105",0.000101745126208998,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_12","Bin2",0.000101613467174037,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_23","Bin1",2.90431073802928e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","SHA-4","uncultured__bacterium"
"OTU_26","Bin31",3.57436280819967e-05,"Bacteria","Gemmatimonadota","PAUC43f__marine__benthic__group","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_27","Bin22",6.79418041077547e-06,"Bacteria","Thermotogota","Thermotogae","Kosmotogales","Kosmotogaceae","uncultured"
"OTU_28","Bin105",1.20583312726797e-05,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_30","Bin1",1.3664741745484e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","PBS-18","uncultured__bacterium"
"OTU_32","Bin2",1.80643081761635e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_31","Bin87",1.80420086752861e-05,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_34","Bin1",5.58574535147795e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"OTU_36","Bin2",2.56879413692238e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_19","Bin87",7.15783034092777e-05,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_35","Bin105",0.000482096325459087,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_37","Bin25",1.51266051082965e-05,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_39","Bin124",6.44860392682323e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"OTU_20","Bin1",3.09443940683858e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR__A2-18"
"OTU_38","Bin87",1.3616580538308e-05,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_21","Bin23",4.44712009399514e-05,"Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured__bacterium","uncultured__bacterium"
"OTU_22","Bin2",5.52378033410218e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_25","Bin1",4.54131312039989e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","PBS-18","uncultured__bacterium"
"OTU_40","Bin6",5.23477720323128e-06,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","uncultured"
"OTU_44","Bin23",9.1148388178362e-06,"Bacteria","Acidobacteriota","Aminicenantia","Aminicenantales","uncultured__bacterium","uncultured__bacterium"
"OTU_24","Bin25",3.15599235592923e-05,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_45","Bin81",8.00437074070252e-06,"Bacteria","Myxococcota","bacteriap25","uncultured__delta__proteobacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_47","Bin1",2.03036355674966e-05,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_29","Bin25",2.06748008679332e-05,"Bacteria","Latescibacterota","saltmarsh__clone__LCP-67","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_43","Bin87",2.46555550543354e-05,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_46","Bin70",4.6492285753065e-05,"Bacteria","Marinimicrobia__(SAR406__clade)","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_33","Bin2",5.37730469143985e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_18","Bin3",5.25903694299005e-05,"Bacteria","Nitrospirota","Thermodesulfovibrionia","uncultured","uncultured__bacterium","uncultured__bacterium"
"OTU_42","Bin25",1.35062740810552e-05,"Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","uncultured__bacterium"
"OTU_48","Bin25",4.6389756353244e-06,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_52","Bin85",0.00266372108987607,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Halodesulfovibrio"
"OTU_50","Bin124",4.60102494345268e-06,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_53","Bin85",0.00108785615680179,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_56","Bin25",1.07884879711106e-05,"Bacteria","Latescibacterota","uncultured__organism","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_55","Bin25",5.98873412495759e-06,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_54","Bin25",6.45465422252603e-06,"Bacteria","Latescibacterota","uncultured__Bacteroidetes__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_49","Bin25",1.4242511670738e-05,"Bacteria","Latescibacterota","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_60","Bin11",6.86224931592641e-06,"Bacteria","Fermentibacterota","Fermentibacteria","Fermentibacterales","Fermentibacteraceae","uncultured__bacterium"
"OTU_58","Bin2",5.58088827771755e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_61","Bin1",4.61116447280359e-06,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae","Draconibacterium"
"OTU_59","Bin2",6.87927363693114e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_51","Bin1",3.43034061810467e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","LNR__A2-18"
"OTU_63","Bin2",4.59855470451156e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_62","Bin1",3.99533910538468e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","LK-44f","uncultured__bacterium"
"OTU_66","Bin87",8.8160895514966e-06,"Bacteria","Acidobacteriota","Thermoanaerobaculia","Thermoanaerobaculales","Thermoanaerobaculaceae","Subgroup__23"
"OTU_65","Bin84",0.000930786771046998,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio"
"OTU_57","Bin23",5.37676680669831e-06,"Bacteria","WPS-2","bacterium__ADurb.Bin236","uncultured__bacterium","uncultured__bacterium","uncultured__bacterium"
"OTU_64","Bin2",2.15920968937567e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_69","Bin69",4.44174088891456e-06,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","uncultured__bacterium","uncultured__bacterium"
"OTU_72","Bin68",4.57343240578934e-06,"Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","uncultured__bacterium","uncultured__bacterium"
"OTU_68","Bin1",3.41581170645766e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_67","Bin2",2.6300960841309e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
"OTU_75","Bin2",7.97060272235404e-07,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","CW-1__termite__group","uncultured__bacterium"
"OTU_73","Bin1",1.78154523964192e-06,"Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","MSBL8","uncultured__bacterium"
