Number.hub.removed	remain.mean	remain.sd	remain.se	weighted	consider_cascade	network
1	0.175302144249513	0.00498334017416644	0.000498334017416644	weighted	Yes	D0
2	0.173752436647173	0.00721810772379016	0.000721810772379016	weighted	Yes	D0
3	0.173947368421053	0.00738448871304241	0.000738448871304241	weighted	Yes	D0
4	0.171900584795322	0.0081541751812003	0.00081541751812003	weighted	Yes	D0
5	0.170964912280702	0.00855102038891607	0.000855102038891607	weighted	Yes	D0
6	0.170009746588694	0.00775563217049567	0.000775563217049567	weighted	Yes	D0
7	0.169200779727096	0.0073278048484687	0.00073278048484687	weighted	Yes	D0
8	0.166432748538012	0.00455919667643047	0.000455919667643047	weighted	Yes	D0
9	0.165692007797271	0	0	weighted	Yes	D0
1	0.0661500974658869	0.00032943242591582	3.2943242591582e-05	unweighted	Yes	D0
2	0.0660233918128655	0.000429672516838994	4.29672516838994e-05	unweighted	Yes	D0
3	0.0659551656920078	0.000460605811525595	4.60605811525595e-05	unweighted	Yes	D0
4	0.0658869395711501	0.000479888853720595	4.79888853720595e-05	unweighted	Yes	D0
5	0.0656335282651072	0.000464030437202264	4.64030437202264e-05	unweighted	Yes	D0
6	0.0656432748538012	0.000467224644679437	4.67224644679437e-05	unweighted	Yes	D0
7	0.0654970760233918	0.000391827608288192	3.91827608288192e-05	unweighted	Yes	D0
8	0.0654093567251462	0.000306497112802359	3.06497112802359e-05	unweighted	Yes	D0
9	0.0653021442495127	0	0	unweighted	Yes	D0
1	0.487300194931774	0.0055610798484387	0.00055610798484387	weighted	No	D0
2	0.485945419103314	0.0070395240380487	0.00070395240380487	weighted	No	D0
3	0.483460038986355	0.00844074225272634	0.000844074225272634	weighted	No	D0
4	0.482719298245614	0.00870203049258656	0.000870203049258656	weighted	No	D0
5	0.480077972709552	0.00892141645337171	0.000892141645337171	weighted	No	D0
6	0.47817738791423	0.0085754484357956	0.00085754484357956	weighted	No	D0
7	0.475146198830409	0.00709967947499342	0.000709967947499342	weighted	No	D0
8	0.472972709551657	0.00456074333850635	0.000456074333850635	weighted	No	D0
9	0.471734892787524	0	0	weighted	No	D0
1	0.501910331384016	0.00724605684701789	0.000724605684701789	unweighted	No	D0
2	0.501647173489279	0.00693309999755195	0.000693309999755195	unweighted	No	D0
3	0.497300194931774	0.0100498768986344	0.00100498768986344	unweighted	No	D0
4	0.493538011695906	0.0111530332074096	0.00111530332074096	unweighted	No	D0
5	0.491881091617934	0.0111275375932638	0.00111275375932638	unweighted	No	D0
6	0.487914230019493	0.0104506747715427	0.00104506747715427	unweighted	No	D0
7	0.484834307992203	0.00893538784584891	0.000893538784584891	unweighted	No	D0
8	0.480994152046784	0.004853564329338	0.0004853564329338	unweighted	No	D0
9	0.47953216374269	0	0	unweighted	No	D0
1	0.175302144249513	0.00498334017416644	0.000498334017416644	weighted	Yes	D0
2	0.173752436647173	0.00721810772379016	0.000721810772379016	weighted	Yes	D0
3	0.173947368421053	0.00738448871304241	0.000738448871304241	weighted	Yes	D0
4	0.171900584795322	0.0081541751812003	0.00081541751812003	weighted	Yes	D0
5	0.170964912280702	0.00855102038891607	0.000855102038891607	weighted	Yes	D0
6	0.170009746588694	0.00775563217049567	0.000775563217049567	weighted	Yes	D0
7	0.169200779727096	0.0073278048484687	0.00073278048484687	weighted	Yes	D0
8	0.166432748538012	0.00455919667643047	0.000455919667643047	weighted	Yes	D0
9	0.165692007797271	0	0	weighted	Yes	D0
1	0.0661500974658869	0.00032943242591582	3.2943242591582e-05	unweighted	Yes	D0
2	0.0660233918128655	0.000429672516838994	4.29672516838994e-05	unweighted	Yes	D0
3	0.0659551656920078	0.000460605811525595	4.60605811525595e-05	unweighted	Yes	D0
4	0.0658869395711501	0.000479888853720595	4.79888853720595e-05	unweighted	Yes	D0
5	0.0656335282651072	0.000464030437202264	4.64030437202264e-05	unweighted	Yes	D0
6	0.0656432748538012	0.000467224644679437	4.67224644679437e-05	unweighted	Yes	D0
7	0.0654970760233918	0.000391827608288192	3.91827608288192e-05	unweighted	Yes	D0
8	0.0654093567251462	0.000306497112802359	3.06497112802359e-05	unweighted	Yes	D0
9	0.0653021442495127	0	0	unweighted	Yes	D0
1	0.487300194931774	0.0055610798484387	0.00055610798484387	weighted	No	D0
2	0.485945419103314	0.0070395240380487	0.00070395240380487	weighted	No	D0
3	0.483460038986355	0.00844074225272634	0.000844074225272634	weighted	No	D0
4	0.482719298245614	0.00870203049258656	0.000870203049258656	weighted	No	D0
5	0.480077972709552	0.00892141645337171	0.000892141645337171	weighted	No	D0
6	0.47817738791423	0.0085754484357956	0.00085754484357956	weighted	No	D0
7	0.475146198830409	0.00709967947499342	0.000709967947499342	weighted	No	D0
8	0.472972709551657	0.00456074333850635	0.000456074333850635	weighted	No	D0
9	0.471734892787524	0	0	weighted	No	D0
1	0.501910331384016	0.00724605684701789	0.000724605684701789	unweighted	No	D0
2	0.501647173489279	0.00693309999755195	0.000693309999755195	unweighted	No	D0
3	0.497300194931774	0.0100498768986344	0.00100498768986344	unweighted	No	D0
4	0.493538011695906	0.0111530332074096	0.00111530332074096	unweighted	No	D0
5	0.491881091617934	0.0111275375932638	0.00111275375932638	unweighted	No	D0
6	0.487914230019493	0.0104506747715427	0.00104506747715427	unweighted	No	D0
7	0.484834307992203	0.00893538784584891	0.000893538784584891	unweighted	No	D0
8	0.480994152046784	0.004853564329338	0.0004853564329338	unweighted	No	D0
9	0.47953216374269	0	0	unweighted	No	D0
