from	to	type
OTU_1029	OTU_1039	1.000
OTU_1029	OTU_1051	1.000
OTU_1029	OTU_1064	1.000
OTU_1037	OTU_741	1.000
OTU_1039	OTU_1051	1.000
OTU_1039	OTU_944	1.000
OTU_1051	OTU_944	1.000
OTU_1053	OTU_270	1.000
OTU_1054	OTU_1238	-1.000
OTU_1054	OTU_142	-1.000
OTU_1054	OTU_2480	-1.000
OTU_1054	OTU_3010	-1.000
OTU_1054	OTU_3117	-1.000
OTU_1095	OTU_1101	-1.000
OTU_1095	OTU_1158	-1.000
OTU_1095	OTU_757	-1.000
OTU_1096	OTU_944	1.000
OTU_1101	OTU_2163	-1.000
OTU_1122	OTU_2163	-1.000
OTU_1122	OTU_2368	-1.000
OTU_1122	OTU_2480	-1.000
OTU_1122	OTU_2642	-1.000
OTU_1122	OTU_3121	-1.000
OTU_1122	OTU_785	-1.000
OTU_1126	OTU_181	-1.000
OTU_1126	OTU_2275	-1.000
OTU_1126	OTU_768	-1.000
OTU_1143	OTU_1814	-1.000
OTU_1143	OTU_2681	-1.000
OTU_1158	OTU_2368	-1.000
OTU_1158	OTU_2480	-1.000
OTU_1158	OTU_3117	-1.000
OTU_1200	OTU_396	-1.000
OTU_1201	OTU_128	-1.000
OTU_1234	OTU_1814	-1.000
OTU_1234	OTU_747	-1.000
OTU_1234	OTU_757	-1.000
OTU_1238	OTU_2099	-1.000
OTU_1238	OTU_275	-1.000
OTU_1238	OTU_747	-1.000
OTU_1238	OTU_856	-1.000
OTU_128	OTU_2226	-1.000
OTU_128	OTU_2642	-1.000
OTU_132	OTU_402	1.000
OTU_1372	OTU_1814	-1.000
OTU_1372	OTU_743	-1.000
OTU_1372	OTU_757	-1.000
OTU_1373	OTU_2163	-1.000
OTU_1373	OTU_2368	-1.000
OTU_1373	OTU_563	-1.000
OTU_146	OTU_164	1.000
OTU_146	OTU_5	1.000
OTU_1484	OTU_181	-1.000
OTU_1484	OTU_2368	-1.000
OTU_1484	OTU_747	-1.000
OTU_1484	OTU_757	-1.000
OTU_1484	OTU_785	-1.000
OTU_1488	OTU_376	-1.000
OTU_1488	OTU_563	-1.000
OTU_157	OTU_608	1.000
OTU_164	OTU_5	1.000
OTU_1759	OTU_519	-1.000
OTU_1759	OTU_757	-1.000
OTU_181	OTU_2099	-1.000
OTU_181	OTU_2407	-1.000
OTU_181	OTU_2642	-1.000
OTU_181	OTU_2681	-1.000
OTU_181	OTU_2974	-1.000
OTU_181	OTU_3320	-1.000
OTU_181	OTU_468	-1.000
OTU_181	OTU_741	-1.000
OTU_181	OTU_824	-1.000
OTU_1814	OTU_2594	-1.000
OTU_1814	OTU_2651	-1.000
OTU_1814	OTU_2974	-1.000
OTU_1814	OTU_3308	-1.000
OTU_1814	OTU_396	-1.000
OTU_1846	OTU_743	-1.000
OTU_1849	OTU_396	-1.000
OTU_1849	OTU_743	-1.000
OTU_191	OTU_2226	-1.000
OTU_191	OTU_2480	-1.000
OTU_191	OTU_3121	-1.000
OTU_191	OTU_741	-1.000
OTU_2020	OTU_2103	1.000
OTU_2020	OTU_53	1.000
OTU_2033	OTU_519	-1.000
OTU_2033	OTU_757	-1.000
OTU_2099	OTU_2416	-1.000
OTU_214	OTU_2368	-1.000
OTU_214	OTU_275	-1.000
OTU_214	OTU_3450	-1.000
OTU_214	OTU_429	-1.000
OTU_214	OTU_528	-1.000
OTU_214	OTU_558	-1.000
OTU_214	OTU_563	-1.000
OTU_214	OTU_747	-1.000
OTU_214	OTU_856	-1.000
OTU_2163	OTU_3010	-1.000
OTU_2163	OTU_468	-1.000
OTU_2206	OTU_3462	1.000
OTU_2206	OTU_743	-1.000
OTU_2226	OTU_376	-1.000
OTU_2275	OTU_2407	-1.000
OTU_2275	OTU_2651	-1.000
OTU_2275	OTU_2974	-1.000
OTU_2314	OTU_743	-1.000
OTU_2326	OTU_603	-1.000
OTU_2326	OTU_743	-1.000
OTU_2357	OTU_2601	1.000
OTU_2368	OTU_2896	-1.000
OTU_2368	OTU_468	-1.000
OTU_2407	OTU_768	-1.000
OTU_2416	OTU_2681	-1.000
OTU_2416	OTU_563	-1.000
OTU_2416	OTU_757	-1.000
OTU_2480	OTU_768	-1.000
OTU_2598	OTU_9	-1.000
OTU_2631	OTU_733	-1.000
OTU_2642	OTU_519	-1.000
OTU_2651	OTU_538	-1.000
OTU_2651	OTU_757	-1.000
OTU_2651	OTU_908	-1.000
OTU_2681	OTU_468	-1.000
OTU_275	OTU_537	-1.000
OTU_275	OTU_538	-1.000
OTU_2763	OTU_757	-1.000
OTU_2896	OTU_518	-1.000
OTU_2896	OTU_743	-1.000
OTU_2960	OTU_3464	1.000
OTU_2974	OTU_376	-1.000
OTU_2974	OTU_519	-1.000
OTU_2974	OTU_531	-1.000
OTU_2974	OTU_563	-1.000
OTU_2974	OTU_745	-1.000
OTU_3117	OTU_3308	-1.000
OTU_3117	OTU_519	-1.000
OTU_3308	OTU_376	-1.000
OTU_3308	OTU_563	-1.000
OTU_3308	OTU_785	-1.000
OTU_3310	OTU_3464	1.000
OTU_3335	OTU_3464	1.000
OTU_3374	OTU_768	-1.000
OTU_3450	OTU_768	-1.000
OTU_376	OTU_403	-1.000
OTU_376	OTU_741	-1.000
OTU_376	OTU_856	-1.000
OTU_385	OTU_757	-1.000
OTU_388	OTU_440	1.000
OTU_396	OTU_468	-1.000
OTU_396	OTU_519	-1.000
OTU_396	OTU_756	-1.000
OTU_396	OTU_757	-1.000
OTU_411	OTU_733	1.000
OTU_425	OTU_535	1.000
OTU_425	OTU_554	1.000
OTU_425	OTU_745	1.000
OTU_435	OTU_750	1.000
OTU_440	OTU_785	-1.000
OTU_453	OTU_793	-1.000
OTU_519	OTU_824	-1.000
OTU_528	OTU_537	-1.000
OTU_528	OTU_538	-1.000
OTU_535	OTU_9	1.000
OTU_537	OTU_747	-1.000
OTU_537	OTU_757	-1.000
OTU_537	OTU_9	-1.000
OTU_538	OTU_563	-1.000
OTU_538	OTU_9	-1.000
OTU_539	OTU_757	-1.000
OTU_554	OTU_9	1.000
OTU_747	OTU_793	-1.000
OTU_756	OTU_768	-1.000
OTU_757	OTU_793	-1.000
OTU_768	OTU_854	-1.000
OTU_947	OTU_948	1.000
