OTUID	RelAbund	Group	Kingdom	Phylum	Class	Order	Family	Genus
OTU_1004	0	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1004	7.03089482629207e-05	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1004	5.79382693310074e-06	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1004	4.58711898196917e-06	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1004	0.000105246744924734	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1004	0.00253353175559317	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
OTU_1010	0.0061463035979322	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_1010	3.56635665487084e-05	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_1010	4.48035806778109e-06	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_1010	9.30185284629902e-06	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_1010	6.81452946471432e-05	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_1010	0.0142805382980489	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured
OTU_1011	0.00013524816750034	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1011	0.00112473019316616	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1011	0.000386569751505425	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1011	0.00196129632581913	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1011	0.000997583570394391	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1011	0.00124979969176847	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia
OTU_1012	0.00185713189392193	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1012	0	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1012	0	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1012	0	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
OTU_1012	0	D6	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured
