OTUID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi	Group	Kingdom	Phylum	Class	Order	Family	Genus	CultStrains	Identity
OTU_1004	28	2.257929606	2.872289462	0.14457384	0.105820106	M1	1.076785182	0.471938776	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D107084	90.353
OTU_1010	4	2.122915632	2.068718711	0.000821108	0.166666667	M2	-0.477899669	0.375	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured	X10	87.324
OTU_1011	4	0.427209868	0.448296524	2.14E-05	0.333333333	M1	1.704025734	0	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D619003B	100
OTU_1012	5	0.656965424	0.614304163	1.71E-07	0	M8	2.450947339	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D106009	88.263
OTU_1014	3	1.955279831	2.002479665	0.000289361	0	M1	0.669438681	0	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D722001	95.755
OTU_1014	6	0.490140869	0.811444106	0.240490224	0	M1	0.220415508	0.5	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D722001	95.755
OTU_1018	19	0.291280336	0.64523359	2.29E-05	0.304093567	M2	0.93841874	0	D0	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D105048	87.47
OTU_1021	4	0.067115609	0.172842698	0.002053336	0.166666667	M9	0.801783726	0.375	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D306045A	88.208
OTU_1025	3	0.616922091	0.807338832	0.097441586	0	M4	-0.206284249	0.444444444	D3	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	Lentimicrobium	D737007	88.18
OTU_1030	43	1.589785337	1.856217735	0.263860812	0.143964563	M1	3.21855516	0.088696593	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D510014	94.34
OTU_1033	20	0.580376638	0.886492531	0.144893806	0.231578947	M1	0.979432001	0.18	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	92.254
OTU_1035	2	4.979295046	5.635587728	4.96E-08	0	M5	-0.644305169	0.5	D0	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes__vadinHA17	uncultured__Bacteroidetes__bacterium	NA	NA
OTU_1042	60	4.554691614	4.688380151	0.29497815	0.064971751	M1	4.581499691	0.155	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D720001A	94.104
OTU_1044	4	0.521359185	0.334283089	0.048876539	0	M4	0.515710623	0.375	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	Carboxylicivirga	D104049F	91.509
OTU_1049	16	0.288931554	0.559641254	0.147170065	0.233333333	M1	0.784725639	0	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D111070	92.925
OTU_1052	5	0.315239015	0.498302416	0.178667863	0	M7	0.380142961	0.56	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	93.882
OTU_1052	24	2.411318607	2.67174329	0.1620159	0.257246377	M1	1.076785182	0.350694444	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	93.882
OTU_1054	5	0.338548436	0.089961763	0.060140052	0	M3	1.158648244	0.32	D5	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	D721004B	91.765
OTU_1057	16	1.37880629	0.936130957	0.100530019	0.3	M1	0.590019278	0.21875	D1	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D720001A	90.845
OTU_1062	10	1.788694904	3.414646072	0.301330125	0	M4	2.68169524	0.58	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	D732004A	96.934
OTU_1073	59	5.972927234	4.525777488	0.354510965	0.136762127	M1	4.581499691	0.129273197	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D104049F	87.324
OTU_1076	3	1.240960839	0.506303359	0.052852687	0	M5	0.092057462	0.444444444	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Marinifilum	D720001A	95.283
OTU_1096	4	0.223329054	0.127043185	0.108526415	0	M2	0.194037631	0.375	D7	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Sunxiuqinia	D726006A	92.488
OTU_1097	2	0.281354841	-0.112769591	0.001011145	0	M5	0.092057462	0	D3	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured__bacterium	D109044B	96.226
OTU_1103	7	0.107312029	-0.042343777	0.066355573	0.142857143	M1	-0.188806169	0.244897959	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	D104049F	87.559
OTU_1108	27	2.351960616	2.742259309	0.174486339	0.179487179	M1	1.368844724	0.312757202	D1	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	uncultured__bacterium	X10	87.822
