"Family","Group","Count.sum","Total_isolates","Candidate_responder","Family_label"
"Bacillaceae","D0",13,32,FALSE,"Bacillaceae"
"Bacillaceae","D1",11,32,FALSE,"Bacillaceae"
"Bacillaceae","D3",2,32,FALSE,"Bacillaceae"
"Bacillaceae","D5",0,32,FALSE,"Bacillaceae"
"Bacillaceae","D6",1,32,FALSE,"Bacillaceae"
"Bacillaceae","D7",5,32,FALSE,"Bacillaceae"
"Campylobacteraceae","D0",1,38,FALSE,"Campylobacteraceae"
"Campylobacteraceae","D1",9,38,FALSE,"Campylobacteraceae"
"Campylobacteraceae","D3",11,38,FALSE,"Campylobacteraceae"
"Campylobacteraceae","D5",11,38,FALSE,"Campylobacteraceae"
"Campylobacteraceae","D6",5,38,FALSE,"Campylobacteraceae"
"Campylobacteraceae","D7",1,38,FALSE,"Campylobacteraceae"
"Clostridiaceae","D0",4,56,FALSE,"Clostridiaceae"
"Clostridiaceae","D1",52,56,FALSE,"Clostridiaceae"
"Clostridiaceae","D3",0,56,FALSE,"Clostridiaceae"
"Clostridiaceae","D5",0,56,FALSE,"Clostridiaceae"
"Clostridiaceae","D6",0,56,FALSE,"Clostridiaceae"
"Clostridiaceae","D7",0,56,FALSE,"Clostridiaceae"
"Cohaesibacteraceae","D0",1,112,FALSE,"Cohaesibacteraceae"
"Cohaesibacteraceae","D1",21,112,FALSE,"Cohaesibacteraceae"
"Cohaesibacteraceae","D3",45,112,FALSE,"Cohaesibacteraceae"
"Cohaesibacteraceae","D5",27,112,FALSE,"Cohaesibacteraceae"
"Cohaesibacteraceae","D6",14,112,FALSE,"Cohaesibacteraceae"
"Cohaesibacteraceae","D7",4,112,FALSE,"Cohaesibacteraceae"
"Exiguobacterium_f","D0",2,76,FALSE,"Exiguobacterium_f"
"Exiguobacterium_f","D1",12,76,FALSE,"Exiguobacterium_f"
"Exiguobacterium_f","D3",1,76,FALSE,"Exiguobacterium_f"
"Exiguobacterium_f","D5",11,76,FALSE,"Exiguobacterium_f"
"Exiguobacterium_f","D6",32,76,FALSE,"Exiguobacterium_f"
"Exiguobacterium_f","D7",18,76,FALSE,"Exiguobacterium_f"
"Flavobacteriaceae","D0",11,28,FALSE,"Flavobacteriaceae"
"Flavobacteriaceae","D1",17,28,FALSE,"Flavobacteriaceae"
"Flavobacteriaceae","D3",0,28,FALSE,"Flavobacteriaceae"
"Flavobacteriaceae","D5",0,28,FALSE,"Flavobacteriaceae"
"Flavobacteriaceae","D6",0,28,FALSE,"Flavobacteriaceae"
"Flavobacteriaceae","D7",0,28,FALSE,"Flavobacteriaceae"
"Marinifilaceae","D0",1,65,TRUE,"Marinifilaceae *"
"Marinifilaceae","D1",36,65,TRUE,"Marinifilaceae *"
"Marinifilaceae","D3",0,65,TRUE,"Marinifilaceae *"
"Marinifilaceae","D5",4,65,TRUE,"Marinifilaceae *"
"Marinifilaceae","D6",3,65,TRUE,"Marinifilaceae *"
"Marinifilaceae","D7",21,65,TRUE,"Marinifilaceae *"
"Marinobacter_f","D0",4,31,FALSE,"Marinobacter_f"
"Marinobacter_f","D1",11,31,FALSE,"Marinobacter_f"
"Marinobacter_f","D3",1,31,FALSE,"Marinobacter_f"
"Marinobacter_f","D5",0,31,FALSE,"Marinobacter_f"
"Marinobacter_f","D6",1,31,FALSE,"Marinobacter_f"
"Marinobacter_f","D7",14,31,FALSE,"Marinobacter_f"
"Oceanospirillaceae","D0",2,40,FALSE,"Oceanospirillaceae"
"Oceanospirillaceae","D1",6,40,FALSE,"Oceanospirillaceae"
"Oceanospirillaceae","D3",21,40,FALSE,"Oceanospirillaceae"
"Oceanospirillaceae","D5",1,40,FALSE,"Oceanospirillaceae"
"Oceanospirillaceae","D6",2,40,FALSE,"Oceanospirillaceae"
"Oceanospirillaceae","D7",8,40,FALSE,"Oceanospirillaceae"
"Ornithinimicrobiaceae","D0",5,37,FALSE,"Ornithinimicrobiaceae"
"Ornithinimicrobiaceae","D1",30,37,FALSE,"Ornithinimicrobiaceae"
"Ornithinimicrobiaceae","D3",0,37,FALSE,"Ornithinimicrobiaceae"
"Ornithinimicrobiaceae","D5",0,37,FALSE,"Ornithinimicrobiaceae"
"Ornithinimicrobiaceae","D6",0,37,FALSE,"Ornithinimicrobiaceae"
"Ornithinimicrobiaceae","D7",2,37,FALSE,"Ornithinimicrobiaceae"
"Prolixibacteraceae","D0",72,643,TRUE,"Prolixibacteraceae *"
"Prolixibacteraceae","D1",297,643,TRUE,"Prolixibacteraceae *"
"Prolixibacteraceae","D3",118,643,TRUE,"Prolixibacteraceae *"
"Prolixibacteraceae","D5",35,643,TRUE,"Prolixibacteraceae *"
"Prolixibacteraceae","D6",58,643,TRUE,"Prolixibacteraceae *"
"Prolixibacteraceae","D7",63,643,TRUE,"Prolixibacteraceae *"
"Psychromonadaceae","D0",0,34,FALSE,"Psychromonadaceae"
"Psychromonadaceae","D1",15,34,FALSE,"Psychromonadaceae"
"Psychromonadaceae","D3",17,34,FALSE,"Psychromonadaceae"
"Psychromonadaceae","D5",0,34,FALSE,"Psychromonadaceae"
