OTUID	D0	D1	D3	D5	D6	D7
Acidimangrovimonas indica	0	1	0	0	0	0
Acidimangrovimonas pyrenivorans	0	1	0	0	0	0
Acidimangrovimonas sediminis	1	1	0	0	0	0
Actinotalea solisilvae	1	0	0	0	0	0
Aestuariicoccus marinus	0	1	0	0	0	0
Agromyces indicus	1	0	0	0	0	0
Algoriphagus aquimaris	1	1	0	0	0	0
Algoriphagus marincola	1	1	0	0	0	0
Algoriphagus marinus	0	1	0	0	0	0
Alkalibacterium putridalgicola	0	1	0	0	0	0
Alteromonas aestuariivivens	0	0	0	0	0	1
Aquicoccus porphyridii	1	1	0	0	0	0
Arenibacillus arenosus	1	1	0	0	0	1
Arthrobacter agilis	0	0	0	0	1	0
Arthrobacter ginsengisoli	0	1	0	0	0	0
Arthrobacter ruber	0	0	0	0	1	0
Ascidiaceihabitans donghaensis	1	1	0	0	0	0
Bacillus altitudinis	1	0	0	0	0	0
Bacillus fungorum	0	1	0	0	0	0
Bacillus haynesii	1	0	0	0	0	0
Bacillus licheniformis	1	0	0	0	0	0
Bacillus marisflavi	1	0	0	0	0	0
Bacillus megaterium	1	0	0	0	0	0
Bacillus paramycoides	0	0	0	0	0	1
Bacillus safensis subsp. osmophilus	1	0	0	0	0	0
Bacillus subtilis subsp. inaquosorum	1	0	0	0	0	0
Bacillus zanthoxyli	1	0	0	0	0	0
Brevibacterium frigoritolerans	1	0	0	0	0	0
Catenococcus thiocycli	0	1	1	1	1	1
Celeribacter halophilus	1	0	0	0	0	0
Charonomicrobium ambiphototrophicum	1	0	0	0	0	0
Citrobacter freundii	0	0	0	0	1	0
Cohaesibacter marisflavi	1	1	1	1	1	1
Congregibacter litoralis	1	0	0	0	0	0
Cytobacillus firmus	1	0	0	0	0	0
Defluviimonas aestuarii	0	1	0	0	0	0
Defluviimonas nitratireducens	0	1	0	0	0	0
Draconibacterium orientale	1	1	1	1	1	1
Draconibacterium sediminis	1	1	1	1	0	0
Erythrobacter nanhaisediminis	1	0	0	0	0	0
Erythrobacter pelagi	0	1	0	0	0	0
Erythrobacter seohaensis	0	1	0	0	0	0
Erythrobacter vulgaris	0	1	0	0	0	0
Exiguobacterium aestuarii	0	1	0	0	0	0
Exiguobacterium aurantiacum	0	0	0	0	0	1
Exiguobacterium mexicanum	0	1	0	1	1	1
Exiguobacterium profundum	1	0	1	0	1	0
Fictibacillus halophilus	0	0	0	0	1	0
Flavobacterium stagni	1	0	0	0	0	0
Gemmobacter aestuarii	0	1	0	0	0	0
Georgenia muralis	1	1	0	0	0	0
Halalkalibacillus halophilus	0	1	0	0	0	0
Halarcobacter bivalviorum	1	0	1	1	1	1
Halarcobacter ebronensis	0	1	0	1	0	0
Haliea alexandrii	1	0	0	0	0	0
Haliea atlantica	1	1	0	0	0	0
Halobacillus kuroshimensis	1	1	0	0	0	0
Halomonas denitrificans	0	0	0	0	1	0
Halomonas piezotolerans	0	1	0	0	0	0
Halomonas saccharevitans	0	0	1	0	1	0
Halomonas ventosae	1	0	0	0	0	0
Hoeflea olei	0	1	0	0	0	0
Ilumatobacter fluminis	1	0	0	0	0	0
Kocuria rosea	0	1	0	0	0	0
Kocuria salina	1	1	0	0	0	0
Labrenzia alexandrii	0	0	0	0	0	1
Leisingera caerulea	0	0	0	0	0	1
Lentibacter algarum	0	0	0	0	0	1
Lutimaribacter saemankumensis	1	1	0	0	0	0
Malaciobacter halophilus	0	0	1	1	0	0
Maliponia aquimaris	1	1	0	0	0	0
Mangrovibacterium marinum	1	1	1	1	0	1
Maribacter aurantiacus	1	0	0	0	0	0
Maribellus luteus	1	1	1	0	0	0
Marimonas arenosa	1	0	0	0	0	0
Marinifilum albidiflavum	0	0	0	0	0	1
Marinifilum fragile	1	1	0	1	1	1
Marinilabilia salmonicolor	0	1	0	0	0	0
Mariniphaga anaerophila	1	1	0	0	0	0
Marinobacter adhaerens	0	0	1	0	0	1
Marinobacter flavimaris	1	0	0	0	0	0
Marinobacter hydrocarbonoclasticus	1	1	0	0	0	1
Marinobacter pelagius	0	1	0	0	1	0
Marinobacter segnicrescens	1	0	0	0	0	0
Marinobacterium iners	0	1	0	0	0	0
Marinobacterium litorale	0	0	0	0	0	1
Marinobacterium maritimum	1	1	1	1	0	1
Marinobacterium stanieri	1	0	1	0	1	0
Maritimibacter lacisalsi	1	1	0	0	0	0
Marivita cryptomonadis	1	0	0	0	1	0
