Group	Strains	Similarity	Accession	Genus_Species	Taxon
D0	A112	91.00	NR_074692	Thioalkalivibrio sulfidiphilus	Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae
D0	A161	91.30	MG597180	Flavobacterium stagni	Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
D0	A225	93.58	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A137	95.31	jgi.1107759	Mariniphaga anaerophila	Bacteroidetes;Bacteroidia;Marinilabiliales;Prolixibacteraceae
D0	A072	96.15	Y10678	Sandaracinobacter sibiricus	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
D0	A206	96.16	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A079	96.22	AB360343	Ilumatobacter fluminis	Actinobacteria;Acidimicrobiia;Iamiales;Ilumatobacteraceae
D0	A167	97.10	KJ782425	Maritimibacter lacisalsi	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A136	97.17	LC065367	Nocardioides pakistanensis	Actinobacteria;Actinomycetia;Propionibacteriales;Nocardioidaceae
D0	A038	97.18	AM745438	Rhodobacter maris	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A059	97.47	KJ782425	Maritimibacter lacisalsi	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A182	97.60	KJ729028	Ascidiaceihabitans donghaensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A052	97.69	MG799855	Meridianimarinicoccus roseus	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A128	97.69	KJ729028	Ascidiaceihabitans donghaensis	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
D0	A217	97.72	MF113254	Aquicoccus porphyridii	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae
